chemistry,feature,fold,seed,weights_file,sha256,param_count,weights_provenance
NMC,G4,DST,0,/home/user/바탕화면/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/DST/0/s3_3l_bm_gru_g4_r_dst_s012_b2048_e200_seed0_final_epoch200_weights.pt,05a9ec22e844bbbf4504c00e2159b60ecf9925c6009a4c920691f79a34b55942,120068,frozen_package
NMC,G4,DST,1,/home/user/바탕화면/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/DST/1/s3_3l_bm_gru_g4_r_dst_s012_b2048_e200_seed1_final_epoch200_weights.pt,f72d423ccc78d9d4c3f9aaa6e7dc3f87803f73f785c7159e073eb28ef2aa3d77,120068,frozen_package
NMC,G4,DST,2,/home/user/바탕화면/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/DST/2/s3_3l_bm_gru_g4_r_dst_s012_b2048_e200_seed2_final_epoch200_weights.pt,8b4ce71de8b1f07a44d3e9055480323a7552adaf5252079e9c524cc14fc3d9a8,120068,frozen_package
NMC,G4,FUDS,0,/home/user/바탕화면/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/FUDS/0/s3_3l_bm_gru_g4_r_fuds_s012_b2048_e200_seed0_final_epoch200_weights.pt,2749c0dede7e46419a1c966876bfcc65d55cf05580e162801206958f5b978fe2,120068,frozen_package
NMC,G4,FUDS,1,/home/user/바탕화면/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/FUDS/1/s3_3l_bm_gru_g4_r_fuds_s012_b2048_e200_seed1_final_epoch200_weights.pt,42436d14bb1b22efbd85d8e57286ec1f28d467d069dd05be9381a7a17a5b2656,120068,frozen_package
NMC,G4,FUDS,2,/home/user/바탕화면/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/FUDS/2/s3_3l_bm_gru_g4_r_fuds_s012_b2048_e200_seed2_final_epoch200_weights.pt,a9aa5c83a819e4bb221b74926d503b79fb2c83e061f63805368f58bec5e0ff7f,120068,frozen_package
NMC,G4,US06,0,/home/user/바탕화면/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/US06/0/s3_3l_bm_gru_g4_r_us06_s012_b2048_e200_seed0_final_epoch200_weights.pt,7a53b3786fbf4e8e35fc9b2ae1c8a20457069946875b2552274d5ad3696a0649,120068,frozen_package
NMC,G4,US06,1,/home/user/바탕화면/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/US06/1/s3_3l_bm_gru_g4_r_us06_s012_b2048_e200_seed1_final_epoch200_weights.pt,e85610c3c7c1e13046209d69ae5ba0b1820bcaaf67849237c3b101411738167c,120068,frozen_package
NMC,G4,US06,2,/home/user/바탕화면/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/US06/2/s3_3l_bm_gru_g4_r_us06_s012_b2048_e200_seed2_final_epoch200_weights.pt,909ffec18fb6fa91989ce1d588bd072d578add406044d1424028b550f29d3381,120068,frozen_package
NMC,T6,DST,0,/home/user/바탕화면/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/T6/DST/0/s3_3l_rg_gru_t6_r_dst_s012_b2048_e200_seed0_final_epoch200_weights.pt,8ded4ba3779342f2420b2e5109e4cb5b4145452ea3ca072ebdd0dd6a339a12d9,119044,frozen_package
