chemistry,feature,fold,seed,n_pred_samples,max_abs_delta_vs_archived,bit_identical,mae_anchor_check,status,max_abs_label_delta,archive_file
NMC,G4,DST,0,31305,2.5993652341682605e-07,True,0.31720368392991266,PASS,5.9001427632487946e-08,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_dst_s012_b2048_e200_seed0_sel200_condinv_trainDST25_selected_seed0_ep200_base_test_prediction_rows.csv.gz
NMC,G4,DST,1,31305,2.553184509368478e-07,True,0.2951035063840056,PASS,5.9001427632487946e-08,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_dst_s012_b2048_e200_seed1_sel200_condinv_trainDST25_selected_seed1_ep200_base_test_prediction_rows.csv.gz
NMC,G4,DST,2,31305,2.3774948121335626e-07,True,0.29930904653848933,PASS,5.9001427632487946e-08,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_dst_s012_b2048_e200_seed2_sel200_condinv_trainDST25_selected_seed2_ep200_base_test_prediction_rows.csv.gz
NMC,G4,FUDS,0,32278,2.217720032060555e-07,True,0.3297631238587471,PASS,5.9078702152604023e-08,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_fuds_s012_b2048_e200_seed0_sel200_condinv_trainDST25_selected_seed0_ep200_base_test_prediction_rows.csv.gz
NMC,G4,FUDS,1,32278,2.661750793109263e-07,True,0.35357981076720607,PASS,5.9078702152604023e-08,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_fuds_s012_b2048_e200_seed1_sel200_condinv_trainDST25_selected_seed1_ep200_base_test_prediction_rows.csv.gz
NMC,G4,FUDS,2,32278,2.0108718867817288e-07,True,0.33020821665183864,PASS,5.9078702152604023e-08,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_fuds_s012_b2048_e200_seed2_sel200_condinv_trainDST25_selected_seed2_ep200_base_test_prediction_rows.csv.gz
NMC,G4,US06,0,30899,2.0730590821749217e-07,True,0.34331231746597285,PASS,5.924502533005693e-08,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_us06_s012_b2048_e200_seed0_sel200_condinv_trainDST25_selected_seed0_ep200_base_test_prediction_rows.csv.gz
NMC,G4,US06,1,30899,2.0674438472312318e-07,True,0.3449679810642928,PASS,5.924502533005693e-08,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_us06_s012_b2048_e200_seed1_sel200_condinv_trainDST25_selected_seed1_ep200_base_test_prediction_rows.csv.gz
NMC,G4,US06,2,30899,2.0817771148595732e-07,True,0.3359955836258269,PASS,5.924502533005693e-08,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_us06_s012_b2048_e200_seed2_sel200_condinv_trainDST25_selected_seed2_ep200_base_test_prediction_rows.csv.gz
NMC,T6,DST,0,31305,2.1203012466608495e-07,True,0.3169107862144895,PASS,5.9001427632487946e-08,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_rg_gru_t6_r_dst_s012_b2048_e200_seed0_sel200_condinv_trainDST25_selected_seed0_ep200_base_test_prediction_rows.csv.gz
NMC,T6,DST,1,31305,2.1687622064892054e-07,True,0.2586413755797797,PASS,5.9001427632487946e-08,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_rg_gru_t6_r_dst_s012_b2048_e200_seed1_sel200_condinv_trainDST25_selected_seed1_ep200_base_test_prediction_rows.csv.gz
NMC,T6,DST,2,31305,2.9247848511160246e-07,True,0.2781765224780271,PASS,5.9001427632487946e-08,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_rg_gru_t6_r_dst_s012_b2048_e200_seed2_sel200_condinv_trainDST25_selected_seed2_ep200_base_test_prediction_rows.csv.gz
NMC,T6,FUDS,0,32278,2.0646286014169846e-07,True,0.33788214968368413,PASS,5.9078702152604023e-08,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_rg_gru_t6_r_fuds_s012_b2048_e200_seed0_sel200_condinv_trainDST25_selected_seed0_ep200_base_test_prediction_rows.csv.gz
NMC,T6,FUDS,1,32278,2.0740432737920145e-07,True,0.35546544398451796,PASS,5.9078702152604023e-08,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_rg_gru_t6_r_fuds_s012_b2048_e200_seed1_sel200_condinv_trainDST25_selected_seed1_ep200_base_test_prediction_rows.csv.gz
NMC,T6,FUDS,2,32278,2.084609985741892e-07,True,0.3513869509149827,PASS,5.9078702152604023e-08,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_rg_gru_t6_r_fuds_s012_b2048_e200_seed2_sel200_condinv_trainDST25_selected_seed2_ep200_base_test_prediction_rows.csv.gz
NMC,T6,US06,0,30899,2.3731994625020292e-07,True,0.28001296577504486,PASS,5.924502533005693e-08,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_rg_gru_t6_r_us06_s012_b2048_e200_seed0_sel200_condinv_trainDST25_selected_seed0_ep200_base_test_prediction_rows.csv.gz
NMC,T6,US06,1,30899,2.3756683353859387e-07,True,0.27742382593824727,PASS,5.924502533005693e-08,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_rg_gru_t6_r_us06_s012_b2048_e200_seed1_sel200_condinv_trainDST25_selected_seed1_ep200_base_test_prediction_rows.csv.gz
NMC,T6,US06,2,30899,2.3447799679665593e-07,True,0.2906484287756285,PASS,5.924502533005693e-08,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_rg_gru_t6_r_us06_s012_b2048_e200_seed2_sel200_condinv_trainDST25_selected_seed2_ep200_base_test_prediction_rows.csv.gz
LFP,G4,DST,0,55713,2.552772522257385e-07,True,0.512421312236625,PASS,5.92007729505184e-08,/home/user/바탕화면/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/runs/all8_train_all8_test/tier1/nmc_goal_vcorr_it_train_dst_selector_results/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutdst_s012_b2048_e200_seed0_sel200_condinv_trainDST25_selected_seed0_ep200_base_test_prediction_rows.csv.gz
LFP,G4,DST,1,55713,2.6091232296909794e-07,True,0.45843939873956674,PASS,5.92007729505184e-08,/home/user/바탕화면/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/runs/all8_train_all8_test/tier1/nmc_goal_vcorr_it_train_dst_selector_results/lfpconfirm_all8_train_all8_test_tier1_gru_residual_g4_holdoutdst_s012_b2048_e200_seed1_sel200_condinv_trainDST25_selected_seed1_ep200_base_test_prediction_rows.csv.gz
