model_id,chemistry,fold,method,precision,method_code,chemistry_code,state_dim,temperatures_C,input_signals,initial_soc_condition,dt_policy,build_status,flash_status
lfp_dst_adaptive_hysteresis_2rc_ekf,LFP,DST,adaptive_hysteresis_2rc_ekf,FP64_SOFTWARE,3,2,4,-10;0;10;20;25;30;40;50,raw V/I/T,oracle at reset,1.0s latency; recorded per-step dt parity,PASS,PASS
lfp_dst_coulomb_count,LFP,DST,coulomb_count,FP32,0,2,1,-10;0;10;20;25;30;40;50,raw V/I/T,oracle at reset,1.0s latency; recorded per-step dt parity,PASS,PASS
lfp_dst_hysteresis_2rc_ekf,LFP,DST,hysteresis_2rc_ekf,FP64_SOFTWARE,5,2,4,-10;0;10;20;25;30;40;50,raw V/I/T,oracle at reset,1.0s latency; recorded per-step dt parity,PASS,PASS
lfp_dst_hysteresis_2rc_ukf,LFP,DST,hysteresis_2rc_ukf,FP64_SOFTWARE,4,2,4,-10;0;10;20;25;30;40;50,raw V/I/T,oracle at reset,1.0s latency; recorded per-step dt parity,PASS,PASS
lfp_dst_plain_2rc_ekf,LFP,DST,plain_2rc_ekf,FP64_SOFTWARE,2,2,3,-10;0;10;20;25;30;40;50,raw V/I/T,oracle at reset,1.0s latency; recorded per-step dt parity,PASS,PASS
lfp_fuds_adaptive_hysteresis_2rc_ekf,LFP,FUDS,adaptive_hysteresis_2rc_ekf,FP64_SOFTWARE,3,2,4,-10;0;10;20;25;30;40;50,raw V/I/T,oracle at reset,1.0s latency; recorded per-step dt parity,PASS,PASS
lfp_fuds_coulomb_count,LFP,FUDS,coulomb_count,FP32,0,2,1,-10;0;10;20;25;30;40;50,raw V/I/T,oracle at reset,1.0s latency; recorded per-step dt parity,PASS,PASS
lfp_fuds_hysteresis_2rc_ekf,LFP,FUDS,hysteresis_2rc_ekf,FP64_SOFTWARE,5,2,4,-10;0;10;20;25;30;40;50,raw V/I/T,oracle at reset,1.0s latency; recorded per-step dt parity,PASS,PASS
lfp_fuds_hysteresis_2rc_ukf,LFP,FUDS,hysteresis_2rc_ukf,FP64_SOFTWARE,4,2,4,-10;0;10;20;25;30;40;50,raw V/I/T,oracle at reset,1.0s latency; recorded per-step dt parity,PASS,PASS
lfp_fuds_plain_2rc_ekf,LFP,FUDS,plain_2rc_ekf,FP64_SOFTWARE,2,2,3,-10;0;10;20;25;30;40;50,raw V/I/T,oracle at reset,1.0s latency; recorded per-step dt parity,PASS,PASS
lfp_us06_adaptive_hysteresis_2rc_ekf,LFP,US06,adaptive_hysteresis_2rc_ekf,FP64_SOFTWARE,3,2,4,-10;0;10;20;25;30;40;50,raw V/I/T,oracle at reset,1.0s latency; recorded per-step dt parity,PASS,PASS
lfp_us06_coulomb_count,LFP,US06,coulomb_count,FP32,0,2,1,-10;0;10;20;25;30;40;50,raw V/I/T,oracle at reset,1.0s latency; recorded per-step dt parity,PASS,PASS
lfp_us06_hysteresis_2rc_ekf,LFP,US06,hysteresis_2rc_ekf,FP64_SOFTWARE,5,2,4,-10;0;10;20;25;30;40;50,raw V/I/T,oracle at reset,1.0s latency; recorded per-step dt parity,PASS,PASS
lfp_us06_hysteresis_2rc_ukf,LFP,US06,hysteresis_2rc_ukf,FP64_SOFTWARE,4,2,4,-10;0;10;20;25;30;40;50,raw V/I/T,oracle at reset,1.0s latency; recorded per-step dt parity,PASS,PASS
lfp_us06_plain_2rc_ekf,LFP,US06,plain_2rc_ekf,FP64_SOFTWARE,2,2,3,-10;0;10;20;25;30;40;50,raw V/I/T,oracle at reset,1.0s latency; recorded per-step dt parity,PASS,PASS
nmc_dst_1rc_ekf,NMC,DST,1RC_EKF,FP64_SOFTWARE,1,1,2,0;25;45,raw V/I/T,oracle at reset,1.0s latency; recorded per-step dt parity,PASS,PASS
nmc_dst_2rc_ekf,NMC,DST,2RC_EKF,FP64_SOFTWARE,2,1,3,0;25;45,raw V/I/T,oracle at reset,1.0s latency; recorded per-step dt parity,PASS,PASS
nmc_dst_2rc_ukf,NMC,DST,2RC_UKF,FP64_SOFTWARE,4,1,3,0;25;45,raw V/I/T,oracle at reset,1.0s latency; recorded per-step dt parity,PASS,PASS
nmc_dst_adaptive_2rc_ekf,NMC,DST,Adaptive_2RC_EKF,FP64_SOFTWARE,3,1,3,0;25;45,raw V/I/T,oracle at reset,1.0s latency; recorded per-step dt parity,PASS,PASS
nmc_dst_cc,NMC,DST,CC,FP32,0,1,1,0;25;45,raw V/I/T,oracle at reset,1.0s latency; recorded per-step dt parity,PASS,PASS
nmc_fuds_1rc_ekf,NMC,FUDS,1RC_EKF,FP64_SOFTWARE,1,1,2,0;25;45,raw V/I/T,oracle at reset,1.0s latency; recorded per-step dt parity,PASS,PASS
nmc_fuds_2rc_ekf,NMC,FUDS,2RC_EKF,FP64_SOFTWARE,2,1,3,0;25;45,raw V/I/T,oracle at reset,1.0s latency; recorded per-step dt parity,PASS,PASS
nmc_fuds_2rc_ukf,NMC,FUDS,2RC_UKF,FP64_SOFTWARE,4,1,3,0;25;45,raw V/I/T,oracle at reset,1.0s latency; recorded per-step dt parity,PASS,PASS
nmc_fuds_adaptive_2rc_ekf,NMC,FUDS,Adaptive_2RC_EKF,FP64_SOFTWARE,3,1,3,0;25;45,raw V/I/T,oracle at reset,1.0s latency; recorded per-step dt parity,PASS,PASS
nmc_fuds_cc,NMC,FUDS,CC,FP32,0,1,1,0;25;45,raw V/I/T,oracle at reset,1.0s latency; recorded per-step dt parity,PASS,PASS
nmc_us06_1rc_ekf,NMC,US06,1RC_EKF,FP64_SOFTWARE,1,1,2,0;25;45,raw V/I/T,oracle at reset,1.0s latency; recorded per-step dt parity,PASS,PASS
nmc_us06_2rc_ekf,NMC,US06,2RC_EKF,FP64_SOFTWARE,2,1,3,0;25;45,raw V/I/T,oracle at reset,1.0s latency; recorded per-step dt parity,PASS,PASS
nmc_us06_2rc_ukf,NMC,US06,2RC_UKF,FP64_SOFTWARE,4,1,3,0;25;45,raw V/I/T,oracle at reset,1.0s latency; recorded per-step dt parity,PASS,PASS
nmc_us06_adaptive_2rc_ekf,NMC,US06,Adaptive_2RC_EKF,FP64_SOFTWARE,3,1,3,0;25;45,raw V/I/T,oracle at reset,1.0s latency; recorded per-step dt parity,PASS,PASS
nmc_us06_cc,NMC,US06,CC,FP32,0,1,1,0;25;45,raw V/I/T,oracle at reset,1.0s latency; recorded per-step dt parity,PASS,PASS
