model_id,chemistry,fold,method,precision,clock_hz,n_repetitions,warmup_steps,input_path,median_cycles,p95_cycles,min_cycles,max_cycles,median_us,p95_us,min_us,max_us
lfp_dst_adaptive_hysteresis_2rc_ekf,LFP,DST,adaptive_hysteresis_2rc_ekf,FP64_SOFTWARE,250000000,1024,10,raw_V_I_T_fixed_1Hz_scheduler,99993.5,100482.85,96237,100730,399.974,401.9314,384.948,402.92
lfp_dst_coulomb_count,LFP,DST,coulomb_count,FP32,250000000,1024,10,raw_V_I_T_fixed_1Hz_scheduler,1484.0,1485.0,1474,1495,5.936,5.94,5.896,5.98
lfp_dst_hysteresis_2rc_ekf,LFP,DST,hysteresis_2rc_ekf,FP64_SOFTWARE,250000000,1024,10,raw_V_I_T_fixed_1Hz_scheduler,94505.5,95017.85,90519,95175,378.022,380.0714,362.076,380.7
lfp_dst_hysteresis_2rc_ukf,LFP,DST,hysteresis_2rc_ukf,FP64_SOFTWARE,250000000,1024,10,raw_V_I_T_fixed_1Hz_scheduler,740123.5,760359.6,711525,799629,2960.494,3041.4384,2846.1,3198.516
lfp_dst_plain_2rc_ekf,LFP,DST,plain_2rc_ekf,FP64_SOFTWARE,250000000,1024,10,raw_V_I_T_fixed_1Hz_scheduler,57753.5,57873.85,56710,57969,231.014,231.4954,226.84,231.876
lfp_fuds_adaptive_hysteresis_2rc_ekf,LFP,FUDS,adaptive_hysteresis_2rc_ekf,FP64_SOFTWARE,250000000,1024,10,raw_V_I_T_fixed_1Hz_scheduler,100183.5,100646.55,95822,100898,400.734,402.5862,383.288,403.592
lfp_fuds_coulomb_count,LFP,FUDS,coulomb_count,FP32,250000000,1024,10,raw_V_I_T_fixed_1Hz_scheduler,1485.0,1485.0,1474,1496,5.94,5.94,5.896,5.984
lfp_fuds_hysteresis_2rc_ekf,LFP,FUDS,hysteresis_2rc_ekf,FP64_SOFTWARE,250000000,1024,10,raw_V_I_T_fixed_1Hz_scheduler,94659.5,95136.55,90611,95311,378.638,380.5462,362.444,381.244
lfp_fuds_hysteresis_2rc_ukf,LFP,FUDS,hysteresis_2rc_ukf,FP64_SOFTWARE,250000000,1024,10,raw_V_I_T_fixed_1Hz_scheduler,785007.5,821721.15,734346,869151,3140.03,3286.8846000000003,2937.384,3476.604
lfp_fuds_plain_2rc_ekf,LFP,FUDS,plain_2rc_ekf,FP64_SOFTWARE,250000000,1024,10,raw_V_I_T_fixed_1Hz_scheduler,57784.0,57896.0,56556,58017,231.136,231.584,226.224,232.068
