model_id,chemistry,fold,method,precision,state_dim,text_bytes,data_bytes,bss_bytes,flash_bytes,static_ram_bytes,stack_highwater_bytes,runtime_state_bytes,asset_bytes
lfp_dst_adaptive_hysteresis_2rc_ekf,LFP,DST,adaptive_hysteresis_2rc_ekf,FP64_SOFTWARE,4,418476,92,12992,418568,13084,1116,200,385216
lfp_dst_coulomb_count,LFP,DST,coulomb_count,FP32,1,28224,12,12580,28236,12592,416,104,64
lfp_dst_hysteresis_2rc_ekf,LFP,DST,hysteresis_2rc_ekf,FP64_SOFTWARE,4,418276,92,12992,418368,13084,1116,200,385216
lfp_dst_hysteresis_2rc_ukf,LFP,DST,hysteresis_2rc_ukf,FP64_SOFTWARE,4,302460,92,12992,302552,13084,1860,200,385216
lfp_dst_plain_2rc_ekf,LFP,DST,plain_2rc_ekf,FP64_SOFTWARE,3,225348,92,12992,225440,13084,1076,200,193024
lfp_fuds_adaptive_hysteresis_2rc_ekf,LFP,FUDS,adaptive_hysteresis_2rc_ekf,FP64_SOFTWARE,4,418476,92,12992,418568,13084,1116,200,385216
lfp_fuds_coulomb_count,LFP,FUDS,coulomb_count,FP32,1,28224,12,12580,28236,12592,416,104,64
lfp_fuds_hysteresis_2rc_ekf,LFP,FUDS,hysteresis_2rc_ekf,FP64_SOFTWARE,4,418276,92,12992,418368,13084,1116,200,385216
lfp_fuds_hysteresis_2rc_ukf,LFP,FUDS,hysteresis_2rc_ukf,FP64_SOFTWARE,4,302460,92,12992,302552,13084,1860,200,385216
lfp_fuds_plain_2rc_ekf,LFP,FUDS,plain_2rc_ekf,FP64_SOFTWARE,3,225348,92,12992,225440,13084,1076,200,193024
lfp_us06_adaptive_hysteresis_2rc_ekf,LFP,US06,adaptive_hysteresis_2rc_ekf,FP64_SOFTWARE,4,418476,92,12992,418568,13084,1116,200,385216
lfp_us06_coulomb_count,LFP,US06,coulomb_count,FP32,1,28224,12,12580,28236,12592,416,104,64
lfp_us06_hysteresis_2rc_ekf,LFP,US06,hysteresis_2rc_ekf,FP64_SOFTWARE,4,418276,92,12992,418368,13084,1116,200,385216
lfp_us06_hysteresis_2rc_ukf,LFP,US06,hysteresis_2rc_ukf,FP64_SOFTWARE,4,302460,92,12992,302552,13084,1860,200,385216
lfp_us06_plain_2rc_ekf,LFP,US06,plain_2rc_ekf,FP64_SOFTWARE,3,225348,92,12992,225440,13084,1076,200,193024
nmc_dst_1rc_ekf,NMC,DST,1RC_EKF,FP64_SOFTWARE,2,64116,92,12992,64208,13084,1404,200,24456
nmc_dst_2rc_ekf,NMC,DST,2RC_EKF,FP64_SOFTWARE,3,64420,92,12992,64512,13084,1476,200,24456
nmc_dst_2rc_ukf,NMC,DST,2RC_UKF,FP64_SOFTWARE,3,68812,92,12992,68904,13084,1784,200,24456
nmc_dst_adaptive_2rc_ekf,NMC,DST,Adaptive_2RC_EKF,FP64_SOFTWARE,3,64604,92,12992,64696,13084,1476,200,24456
nmc_dst_cc,NMC,DST,CC,FP32,1,28172,12,12580,28184,12592,416,104,24
nmc_fuds_1rc_ekf,NMC,FUDS,1RC_EKF,FP64_SOFTWARE,2,64116,92,12992,64208,13084,1404,200,24456
nmc_fuds_2rc_ekf,NMC,FUDS,2RC_EKF,FP64_SOFTWARE,3,64420,92,12992,64512,13084,1476,200,24456
nmc_fuds_2rc_ukf,NMC,FUDS,2RC_UKF,FP64_SOFTWARE,3,68812,92,12992,68904,13084,1784,200,24456
nmc_fuds_adaptive_2rc_ekf,NMC,FUDS,Adaptive_2RC_EKF,FP64_SOFTWARE,3,64604,92,12992,64696,13084,1476,200,24456
nmc_fuds_cc,NMC,FUDS,CC,FP32,1,28172,12,12580,28184,12592,416,104,24
nmc_us06_1rc_ekf,NMC,US06,1RC_EKF,FP64_SOFTWARE,2,64116,92,12992,64208,13084,1404,200,24456
nmc_us06_2rc_ekf,NMC,US06,2RC_EKF,FP64_SOFTWARE,3,64420,92,12992,64512,13084,1476,200,24456
nmc_us06_2rc_ukf,NMC,US06,2RC_UKF,FP64_SOFTWARE,3,68812,92,12992,68904,13084,1784,200,24456
nmc_us06_adaptive_2rc_ekf,NMC,US06,Adaptive_2RC_EKF,FP64_SOFTWARE,3,64604,92,12992,64696,13084,1476,200,24456
nmc_us06_cc,NMC,US06,CC,FP32,1,28172,12,12580,28184,12592,416,104,24
