chemistry,feature,fold,seed,onnx_file,sha256,opset,static_shape,rewrites_applied,graph_kind,operations
NMC,G4,DST,0,onnx/nmc_g4_dst_s0_static.onnx,b8c740409682949af08cabbc76e5f20819ddfedf39f976bdaf7e81b23bb86e56,17,"[1, 50, 17]",none,static,"{""Add"": 7, ""Clip"": 1, ""Concat"": 1, ""Constant"": 10, ""Expand"": 1, ""GRU"": 1, ""Gather"": 3, ""LayerNormalization"": 3, ""MatMul"": 6, ""Mul"": 5, ""Shape"": 1, ""Sigmoid"": 5, ""Squeeze"": 1, ""Tanh"": 1, ""Transpose"": 2, ""Unsqueeze"": 1}"
NMC,G4,DST,0,onnx/nmc_g4_dst_s0_dynamic.onnx,7cda5a417403e0513757b07024845a1f56c4eefe10fdfa2d8f3d580121745769,17,batch_dynamic,none,dynamic_batch,"{""Add"": 7, ""Clip"": 1, ""Concat"": 1, ""Constant"": 10, ""Expand"": 1, ""GRU"": 1, ""Gather"": 3, ""LayerNormalization"": 3, ""MatMul"": 6, ""Mul"": 5, ""Shape"": 1, ""Sigmoid"": 5, ""Squeeze"": 1, ""Tanh"": 1, ""Transpose"": 2, ""Unsqueeze"": 1}"
NMC,G4,DST,1,onnx/nmc_g4_dst_s1_static.onnx,e58443e75782aba14f0ac4aa8da5f16f16436c23744b5af68948b172e54d29cf,17,"[1, 50, 17]",none,static,"{""Add"": 7, ""Clip"": 1, ""Concat"": 1, ""Constant"": 10, ""Expand"": 1, ""GRU"": 1, ""Gather"": 3, ""LayerNormalization"": 3, ""MatMul"": 6, ""Mul"": 5, ""Shape"": 1, ""Sigmoid"": 5, ""Squeeze"": 1, ""Tanh"": 1, ""Transpose"": 2, ""Unsqueeze"": 1}"
NMC,G4,DST,1,onnx/nmc_g4_dst_s1_dynamic.onnx,eb7545f06fbdb27b5e96be150cc48f5d87678ec583217284a46f6d1a265f2e25,17,batch_dynamic,none,dynamic_batch,"{""Add"": 7, ""Clip"": 1, ""Concat"": 1, ""Constant"": 10, ""Expand"": 1, ""GRU"": 1, ""Gather"": 3, ""LayerNormalization"": 3, ""MatMul"": 6, ""Mul"": 5, ""Shape"": 1, ""Sigmoid"": 5, ""Squeeze"": 1, ""Tanh"": 1, ""Transpose"": 2, ""Unsqueeze"": 1}"
NMC,G4,DST,2,onnx/nmc_g4_dst_s2_static.onnx,8239dcedf4f98718c368cc4d45833c39b5d35bf8c37e6836e491d3bf00668c0a,17,"[1, 50, 17]",none,static,"{""Add"": 7, ""Clip"": 1, ""Concat"": 1, ""Constant"": 10, ""Expand"": 1, ""GRU"": 1, ""Gather"": 3, ""LayerNormalization"": 3, ""MatMul"": 6, ""Mul"": 5, ""Shape"": 1, ""Sigmoid"": 5, ""Squeeze"": 1, ""Tanh"": 1, ""Transpose"": 2, ""Unsqueeze"": 1}"
NMC,G4,DST,2,onnx/nmc_g4_dst_s2_dynamic.onnx,6937fb46a76e18618d789747d4f85863340591d3a87b236ba1f49ee120918fba,17,batch_dynamic,none,dynamic_batch,"{""Add"": 7, ""Clip"": 1, ""Concat"": 1, ""Constant"": 10, ""Expand"": 1, ""GRU"": 1, ""Gather"": 3, ""LayerNormalization"": 3, ""MatMul"": 6, ""Mul"": 5, ""Shape"": 1, ""Sigmoid"": 5, ""Squeeze"": 1, ""Tanh"": 1, ""Transpose"": 2, ""Unsqueeze"": 1}"
NMC,G4,FUDS,0,onnx/nmc_g4_fuds_s0_static.onnx,968938b7a1729e816f33396974eaeaeee554070808004fdb71d926d3c4fea254,17,"[1, 50, 17]",none,static,"{""Add"": 7, ""Clip"": 1, ""Concat"": 1, ""Constant"": 10, ""Expand"": 1, ""GRU"": 1, ""Gather"": 3, ""LayerNormalization"": 3, ""MatMul"": 6, ""Mul"": 5, ""Shape"": 1, ""Sigmoid"": 5, ""Squeeze"": 1, ""Tanh"": 1, ""Transpose"": 2, ""Unsqueeze"": 1}"
NMC,G4,FUDS,0,onnx/nmc_g4_fuds_s0_dynamic.onnx,33882c5e542253c25f4c9ba4a5ee8a8fd4b24b11ee06419badcf3121a3de4ca1,17,batch_dynamic,none,dynamic_batch,"{""Add"": 7, ""Clip"": 1, ""Concat"": 1, ""Constant"": 10, ""Expand"": 1, ""GRU"": 1, ""Gather"": 3, ""LayerNormalization"": 3, ""MatMul"": 6, ""Mul"": 5, ""Shape"": 1, ""Sigmoid"": 5, ""Squeeze"": 1, ""Tanh"": 1, ""Transpose"": 2, ""Unsqueeze"": 1}"
NMC,G4,FUDS,1,onnx/nmc_g4_fuds_s1_static.onnx,b3c53e94fe2cb5a237729542ae300e750fcb83595e4d95c2ebb4ea57e5d18409,17,"[1, 50, 17]",none,static,"{""Add"": 7, ""Clip"": 1, ""Concat"": 1, ""Constant"": 10, ""Expand"": 1, ""GRU"": 1, ""Gather"": 3, ""LayerNormalization"": 3, ""MatMul"": 6, ""Mul"": 5, ""Shape"": 1, ""Sigmoid"": 5, ""Squeeze"": 1, ""Tanh"": 1, ""Transpose"": 2, ""Unsqueeze"": 1}"
NMC,G4,FUDS,1,onnx/nmc_g4_fuds_s1_dynamic.onnx,9625b6cd1b788291fdc07f55c40f0d8fac0f6ae29a51f6a926ae075c82dca533,17,batch_dynamic,none,dynamic_batch,"{""Add"": 7, ""Clip"": 1, ""Concat"": 1, ""Constant"": 10, ""Expand"": 1, ""GRU"": 1, ""Gather"": 3, ""LayerNormalization"": 3, ""MatMul"": 6, ""Mul"": 5, ""Shape"": 1, ""Sigmoid"": 5, ""Squeeze"": 1, ""Tanh"": 1, ""Transpose"": 2, ""Unsqueeze"": 1}"
NMC,G4,FUDS,2,onnx/nmc_g4_fuds_s2_static.onnx,440f686ac8ae3eb734245b1481b3b6b34d423afdd05ca531d88d90e88b8615aa,17,"[1, 50, 17]",none,static,"{""Add"": 7, ""Clip"": 1, ""Concat"": 1, ""Constant"": 10, ""Expand"": 1, ""GRU"": 1, ""Gather"": 3, ""LayerNormalization"": 3, ""MatMul"": 6, ""Mul"": 5, ""Shape"": 1, ""Sigmoid"": 5, ""Squeeze"": 1, ""Tanh"": 1, ""Transpose"": 2, ""Unsqueeze"": 1}"
NMC,G4,FUDS,2,onnx/nmc_g4_fuds_s2_dynamic.onnx,ca4019f144161aca805786d030bf3cda341b2a4ad29231542006e29625a4c219,17,batch_dynamic,none,dynamic_batch,"{""Add"": 7, ""Clip"": 1, ""Concat"": 1, ""Constant"": 10, ""Expand"": 1, ""GRU"": 1, ""Gather"": 3, ""LayerNormalization"": 3, ""MatMul"": 6, ""Mul"": 5, ""Shape"": 1, ""Sigmoid"": 5, ""Squeeze"": 1, ""Tanh"": 1, ""Transpose"": 2, ""Unsqueeze"": 1}"
NMC,G4,US06,0,onnx/nmc_g4_us06_s0_static.onnx,6600495f62448c4ebfe0d4c3202b9a1c5f9b5748a2105377ca8b6f369a729d8d,17,"[1, 50, 17]",none,static,"{""Add"": 7, ""Clip"": 1, ""Concat"": 1, ""Constant"": 10, ""Expand"": 1, ""GRU"": 1, ""Gather"": 3, ""LayerNormalization"": 3, ""MatMul"": 6, ""Mul"": 5, ""Shape"": 1, ""Sigmoid"": 5, ""Squeeze"": 1, ""Tanh"": 1, ""Transpose"": 2, ""Unsqueeze"": 1}"
NMC,G4,US06,0,onnx/nmc_g4_us06_s0_dynamic.onnx,1c8a9d3d9186433448d3b6e979ff415aed3d4eca59dbae74d972fdf5d1bbf947,17,batch_dynamic,none,dynamic_batch,"{""Add"": 7, ""Clip"": 1, ""Concat"": 1, ""Constant"": 10, ""Expand"": 1, ""GRU"": 1, ""Gather"": 3, ""LayerNormalization"": 3, ""MatMul"": 6, ""Mul"": 5, ""Shape"": 1, ""Sigmoid"": 5, ""Squeeze"": 1, ""Tanh"": 1, ""Transpose"": 2, ""Unsqueeze"": 1}"
NMC,G4,US06,1,onnx/nmc_g4_us06_s1_static.onnx,2dbe95adad91be6a21379a3da939f21e7a987be3a5f64418ff04edbecab78ea8,17,"[1, 50, 17]",none,static,"{""Add"": 7, ""Clip"": 1, ""Concat"": 1, ""Constant"": 10, ""Expand"": 1, ""GRU"": 1, ""Gather"": 3, ""LayerNormalization"": 3, ""MatMul"": 6, ""Mul"": 5, ""Shape"": 1, ""Sigmoid"": 5, ""Squeeze"": 1, ""Tanh"": 1, ""Transpose"": 2, ""Unsqueeze"": 1}"
NMC,G4,US06,1,onnx/nmc_g4_us06_s1_dynamic.onnx,0e4021b312d469e74e1c87aac2761a93ee7d63b03ec1359fa6729054cd8a4419,17,batch_dynamic,none,dynamic_batch,"{""Add"": 7, ""Clip"": 1, ""Concat"": 1, ""Constant"": 10, ""Expand"": 1, ""GRU"": 1, ""Gather"": 3, ""LayerNormalization"": 3, ""MatMul"": 6, ""Mul"": 5, ""Shape"": 1, ""Sigmoid"": 5, ""Squeeze"": 1, ""Tanh"": 1, ""Transpose"": 2, ""Unsqueeze"": 1}"
NMC,G4,US06,2,onnx/nmc_g4_us06_s2_static.onnx,13346f6464e911835a9cf8c9671e099f0691dc3a645801b2939b9021dcf154d4,17,"[1, 50, 17]",none,static,"{""Add"": 7, ""Clip"": 1, ""Concat"": 1, ""Constant"": 10, ""Expand"": 1, ""GRU"": 1, ""Gather"": 3, ""LayerNormalization"": 3, ""MatMul"": 6, ""Mul"": 5, ""Shape"": 1, ""Sigmoid"": 5, ""Squeeze"": 1, ""Tanh"": 1, ""Transpose"": 2, ""Unsqueeze"": 1}"
NMC,G4,US06,2,onnx/nmc_g4_us06_s2_dynamic.onnx,151ae802a81d07d49c8888b05e4d7137e0fd099cdbf9d73e1160c74acc8a049e,17,batch_dynamic,none,dynamic_batch,"{""Add"": 7, ""Clip"": 1, ""Concat"": 1, ""Constant"": 10, ""Expand"": 1, ""GRU"": 1, ""Gather"": 3, ""LayerNormalization"": 3, ""MatMul"": 6, ""Mul"": 5, ""Shape"": 1, ""Sigmoid"": 5, ""Squeeze"": 1, ""Tanh"": 1, ""Transpose"": 2, ""Unsqueeze"": 1}"
NMC,T6,DST,0,onnx/nmc_t6_dst_s0_static.onnx,7a967f5147f1ffbcefda8862fbadb3d201755666f29122f978298541ec633e81,17,"[1, 50, 9]",none,static,"{""Add"": 7, ""Clip"": 1, ""Concat"": 1, ""Constant"": 10, ""Expand"": 1, ""GRU"": 1, ""Gather"": 3, ""LayerNormalization"": 3, ""MatMul"": 6, ""Mul"": 5, ""Shape"": 1, ""Sigmoid"": 5, ""Squeeze"": 1, ""Tanh"": 1, ""Transpose"": 2, ""Unsqueeze"": 1}"
NMC,T6,DST,0,onnx/nmc_t6_dst_s0_dynamic.onnx,f16a4b52333748651be8bbad9bab2951c9b809adb9bdd85e7e7504a542486527,17,batch_dynamic,none,dynamic_batch,"{""Add"": 7, ""Clip"": 1, ""Concat"": 1, ""Constant"": 10, ""Expand"": 1, ""GRU"": 1, ""Gather"": 3, ""LayerNormalization"": 3, ""MatMul"": 6, ""Mul"": 5, ""Shape"": 1, ""Sigmoid"": 5, ""Squeeze"": 1, ""Tanh"": 1, ""Transpose"": 2, ""Unsqueeze"": 1}"
