chemistry,feature,fold,seed,temperature_C,mae_torch_pct,mae_onnx_pct
NMC,G4,DST,0,0,0.4057549800585608,0.40575580199642447
NMC,G4,DST,0,25,0.30563424232465153,0.3056346545309125
NMC,G4,DST,0,45,0.24022182940652573,0.24022212176982388
NMC,G4,DST,1,0,0.32346163585474597,0.32346226284177737
NMC,G4,DST,1,25,0.35290178895727187,0.3529021242756835
NMC,G4,DST,1,45,0.208947094339999,0.2089472864961325
NMC,G4,DST,2,0,0.3654054121448165,0.36540604266926224
NMC,G4,DST,2,25,0.32550068570617835,0.32550084864358225
NMC,G4,DST,2,45,0.20702104176447317,0.20702140305639896
NMC,G4,FUDS,0,0,0.4374430194847604,0.43744279761822696
NMC,G4,FUDS,0,25,0.2689406923930672,0.26894082827524896
NMC,G4,FUDS,0,45,0.2829056596984139,0.2829056054456762
NMC,G4,FUDS,1,0,0.4638365569919313,0.46383670564868024
NMC,G4,FUDS,1,25,0.2956309906424772,0.29563160238217
NMC,G4,FUDS,1,45,0.3012718846672096,0.3012718316533393
NMC,G4,FUDS,2,0,0.43929225908491054,0.4392922179670864
NMC,G4,FUDS,2,25,0.26675169510418506,0.26675195937951063
NMC,G4,FUDS,2,45,0.2845806957664203,0.28458087522520925
NMC,G4,US06,0,0,0.4785535712493818,0.4785533602430629
NMC,G4,US06,0,25,0.3713079252315281,0.3713072076462141
NMC,G4,US06,0,45,0.18007545591700855,0.1800756987914956
NMC,G4,US06,1,0,0.5022000326069997,0.5021997932058571
NMC,G4,US06,1,25,0.33119830003132056,0.33119743229203297
NMC,G4,US06,1,45,0.20150561055455798,0.2015053173448149
NMC,G4,US06,2,0,0.4595000922974094,0.45949972344114537
NMC,G4,US06,2,25,0.3881315749819163,0.3881308606554867
NMC,G4,US06,2,45,0.16035508359815492,0.16035471629518994
NMC,T6,DST,0,0,0.3994152192753898,0.399416210380266
NMC,T6,DST,0,25,0.3386027326853554,0.33860327639732385
NMC,T6,DST,0,45,0.2127144066827231,0.2127154384110562
NMC,T6,DST,1,0,0.3207794063134302,0.3207801416239483
NMC,T6,DST,1,25,0.23554590887407242,0.23554626131782538
NMC,T6,DST,1,45,0.21959881155183641,0.2195987998182477
NMC,T6,DST,2,0,0.32858831664703453,0.32858920021451615
NMC,T6,DST,2,25,0.30364478322975397,0.3036450582218604
NMC,T6,DST,2,45,0.20229646755729283,0.2022973482715257
NMC,T6,FUDS,0,0,0.4264616898304422,0.426461572417068
NMC,T6,FUDS,0,25,0.2988847934583262,0.29888490626617514
NMC,T6,FUDS,0,45,0.288299965762284,0.2882999654083219
NMC,T6,FUDS,1,0,0.4791548853073632,0.47915493321387126
NMC,T6,FUDS,1,25,0.28659898133079853,0.2865996893109208
NMC,T6,FUDS,1,45,0.3006424653153921,0.3006424091158628
NMC,T6,FUDS,2,0,0.44676209373806663,0.44676207730636575
NMC,T6,FUDS,2,25,0.30798973820617004,0.3079902971177852
NMC,T6,FUDS,2,45,0.2994090208007113,0.2994090863802365
NMC,T6,US06,0,0,0.47612473964291446,0.4761252832912368
NMC,T6,US06,0,25,0.19439126951364835,0.19439085871900844
NMC,T6,US06,0,45,0.16952288816857172,0.1695235130615221
NMC,T6,US06,1,0,0.4551387532790577,0.45513868045561534
NMC,T6,US06,1,25,0.2690279616039042,0.26902743499622284
NMC,T6,US06,1,45,0.10810476293177997,0.10810518356123554
NMC,T6,US06,2,0,0.43221027446048427,0.43221005054024686
NMC,T6,US06,2,25,0.3031241785881802,0.3031240037648023
NMC,T6,US06,2,45,0.13661083327822102,0.13661109927460674
LFP,G4,DST,0,-10,0.71013826186843,0.7101387457647821
LFP,G4,DST,0,0,0.4510889902676433,0.451089424949995
LFP,G4,DST,0,10,0.3945979002041789,0.3945983092920241
