model,precision,clock_mhz,n_reps,cycles_median,cycles_p90,cycles_max,us_median,us_p90,estimates_per_second,includes_preprocessing,network_cycles_median,preprocessing_window_cycles_median,preprocessing_window_us_median,warmup_outputs_discarded,latency_temperature_C,chemistry,feature,fold,seed,status
nmc_g4_dst_s0,fp32,250.0,1024,58466305.0,58480676.4,58488223,233865.22,233922.7056,4.275967157493534,True,58425202.0,41103.0,164.412,10,0,NMC,G4,DST,0,PASS
nmc_g4_dst_s1,fp32,250.0,1024,58475173.0,58519068.7,58531759,233900.692,234076.2748,4.275318689523159,True,58434070.5,41103.0,164.412,10,0,NMC,G4,DST,1,PASS
nmc_g4_dst_s2,fp32,250.0,1024,58483332.0,58498288.9,58507770,233933.328,233993.1556,4.274722240518034,True,58442229.0,41103.0,164.412,10,0,NMC,G4,DST,2,PASS
nmc_g4_fuds_s0,fp32,250.0,1024,58477301.5,58492008.3,58498757,233909.206,233968.03319999998,4.275163073316576,True,58436194.0,41102.0,164.408,10,0,NMC,G4,FUDS,0,PASS
nmc_g4_fuds_s1,fp32,250.0,1024,58487130.5,58503259.6,58507971,233948.522,234013.03840000002,4.2744446147858115,True,58446024.5,41102.0,164.408,10,0,NMC,G4,FUDS,1,PASS
nmc_g4_fuds_s2,fp32,250.0,1024,58488927.0,58505492.5,58513286,233955.708,234021.97,4.274313324298119,True,58447824.5,41102.0,164.408,10,0,NMC,G4,FUDS,2,PASS
nmc_g4_us06_s0,fp32,250.0,1024,58503831.0,58510250.5,58519822,234015.324,234041.002,4.273224432088901,True,58462729.0,41101.0,164.404,10,0,NMC,G4,US06,0,PASS
nmc_g4_us06_s1,fp32,250.0,1024,58485405.0,58503825.9,58512746,233941.62,234015.30359999998,4.274570724097747,True,58444307.5,41101.0,164.404,10,0,NMC,G4,US06,1,PASS
nmc_g4_us06_s2,fp32,250.0,1024,58498575.5,58507866.0,58511645,233994.302,234031.464,4.2736083376936245,True,58457477.5,41101.0,164.404,10,0,NMC,G4,US06,2,PASS
nmc_t6_dst_s0,fp32,250.0,1024,58002057.5,58026644.3,58033145,232008.23,232106.5772,4.31019192724327,True,57978976.0,23082.0,92.328,10,0,NMC,T6,DST,0,PASS
nmc_t6_dst_s1,fp32,250.0,1024,58002370.5,58014036.1,58022052,232009.482,232056.14440000002,4.310168668020215,True,57979288.5,23082.0,92.328,10,0,NMC,T6,DST,1,PASS
