model,precision,flash_model_bytes,flash_total_bytes,ram_arena_bytes,ram_window_buffer_bytes,ram_other_bytes,ram_total_bytes,evidence,ram_preprocessing_state_bytes,flash_increment_vs_base_bytes,ram_increment_vs_base_bytes,stack_highwater_bytes,chemistry,feature,fold,seed,status
nmc_g4_dst_s0,fp32,479292,535328,58184,3400,20964,82548,firmware/h563_raw_vit/Build/nmc_g4_dst_s0/cema_h563_bench.map;firmware/h563_raw_vit/Build/nmc_g4_dst_s0/size.txt;stedgeai/models/nmc_g4_dst_s0/output/cema_generate_report.txt,72,515124,70068,940,NMC,G4,DST,0,PASS
nmc_g4_dst_s1,fp32,479292,535328,58184,3400,20964,82548,firmware/h563_raw_vit/Build/nmc_g4_dst_s1/cema_h563_bench.map;firmware/h563_raw_vit/Build/nmc_g4_dst_s1/size.txt;stedgeai/models/nmc_g4_dst_s1/output/cema_generate_report.txt,72,515124,70068,940,NMC,G4,DST,1,PASS
nmc_g4_dst_s2,fp32,479292,535328,58184,3400,20964,82548,firmware/h563_raw_vit/Build/nmc_g4_dst_s2/cema_h563_bench.map;firmware/h563_raw_vit/Build/nmc_g4_dst_s2/size.txt;stedgeai/models/nmc_g4_dst_s2/output/cema_generate_report.txt,72,515124,70068,940,NMC,G4,DST,2,PASS
nmc_g4_fuds_s0,fp32,479292,535328,58184,3400,20964,82548,firmware/h563_raw_vit/Build/nmc_g4_fuds_s0/cema_h563_bench.map;firmware/h563_raw_vit/Build/nmc_g4_fuds_s0/size.txt;stedgeai/models/nmc_g4_fuds_s0/output/cema_generate_report.txt,72,515124,70068,940,NMC,G4,FUDS,0,PASS
nmc_g4_fuds_s1,fp32,479292,535328,58184,3400,20964,82548,firmware/h563_raw_vit/Build/nmc_g4_fuds_s1/cema_h563_bench.map;firmware/h563_raw_vit/Build/nmc_g4_fuds_s1/size.txt;stedgeai/models/nmc_g4_fuds_s1/output/cema_generate_report.txt,72,515124,70068,940,NMC,G4,FUDS,1,PASS
nmc_g4_fuds_s2,fp32,479292,535328,58184,3400,20964,82548,firmware/h563_raw_vit/Build/nmc_g4_fuds_s2/cema_h563_bench.map;firmware/h563_raw_vit/Build/nmc_g4_fuds_s2/size.txt;stedgeai/models/nmc_g4_fuds_s2/output/cema_generate_report.txt,72,515124,70068,940,NMC,G4,FUDS,2,PASS
nmc_g4_us06_s0,fp32,479292,535328,58184,3400,20964,82548,firmware/h563_raw_vit/Build/nmc_g4_us06_s0/cema_h563_bench.map;firmware/h563_raw_vit/Build/nmc_g4_us06_s0/size.txt;stedgeai/models/nmc_g4_us06_s0/output/cema_generate_report.txt,72,515124,70068,940,NMC,G4,US06,0,PASS
nmc_g4_us06_s1,fp32,479292,535328,58184,3400,20964,82548,firmware/h563_raw_vit/Build/nmc_g4_us06_s1/cema_h563_bench.map;firmware/h563_raw_vit/Build/nmc_g4_us06_s1/size.txt;stedgeai/models/nmc_g4_us06_s1/output/cema_generate_report.txt,72,515124,70068,940,NMC,G4,US06,1,PASS
nmc_g4_us06_s2,fp32,479292,535328,58184,3400,20964,82548,firmware/h563_raw_vit/Build/nmc_g4_us06_s2/cema_h563_bench.map;firmware/h563_raw_vit/Build/nmc_g4_us06_s2/size.txt;stedgeai/models/nmc_g4_us06_s2/output/cema_generate_report.txt,72,515124,70068,940,NMC,G4,US06,2,PASS
nmc_t6_dst_s0,fp32,475196,531156,56584,1800,20964,79348,firmware/h563_raw_vit/Build/nmc_t6_dst_s0/cema_h563_bench.map;firmware/h563_raw_vit/Build/nmc_t6_dst_s0/size.txt;stedgeai/models/nmc_t6_dst_s0/output/cema_generate_report.txt,72,510952,66868,908,NMC,T6,DST,0,PASS
nmc_t6_dst_s1,fp32,475196,531156,56584,1800,20964,79348,firmware/h563_raw_vit/Build/nmc_t6_dst_s1/cema_h563_bench.map;firmware/h563_raw_vit/Build/nmc_t6_dst_s1/size.txt;stedgeai/models/nmc_t6_dst_s1/output/cema_generate_report.txt,72,510952,66868,908,NMC,T6,DST,1,PASS
nmc_t6_dst_s2,fp32,475196,531156,56584,1800,20964,79348,firmware/h563_raw_vit/Build/nmc_t6_dst_s2/cema_h563_bench.map;firmware/h563_raw_vit/Build/nmc_t6_dst_s2/size.txt;stedgeai/models/nmc_t6_dst_s2/output/cema_generate_report.txt,72,510952,66868,908,NMC,T6,DST,2,PASS
nmc_t6_fuds_s0,fp32,475196,531156,56584,1800,20964,79348,firmware/h563_raw_vit/Build/nmc_t6_fuds_s0/cema_h563_bench.map;firmware/h563_raw_vit/Build/nmc_t6_fuds_s0/size.txt;stedgeai/models/nmc_t6_fuds_s0/output/cema_generate_report.txt,72,510952,66868,908,NMC,T6,FUDS,0,PASS
nmc_t6_fuds_s1,fp32,475196,531156,56584,1800,20964,79348,firmware/h563_raw_vit/Build/nmc_t6_fuds_s1/cema_h563_bench.map;firmware/h563_raw_vit/Build/nmc_t6_fuds_s1/size.txt;stedgeai/models/nmc_t6_fuds_s1/output/cema_generate_report.txt,72,510952,66868,908,NMC,T6,FUDS,1,PASS
nmc_t6_fuds_s2,fp32,475196,531156,56584,1800,20964,79348,firmware/h563_raw_vit/Build/nmc_t6_fuds_s2/cema_h563_bench.map;firmware/h563_raw_vit/Build/nmc_t6_fuds_s2/size.txt;stedgeai/models/nmc_t6_fuds_s2/output/cema_generate_report.txt,72,510952,66868,908,NMC,T6,FUDS,2,PASS
nmc_t6_us06_s0,fp32,475196,531156,56584,1800,20964,79348,firmware/h563_raw_vit/Build/nmc_t6_us06_s0/cema_h563_bench.map;firmware/h563_raw_vit/Build/nmc_t6_us06_s0/size.txt;stedgeai/models/nmc_t6_us06_s0/output/cema_generate_report.txt,72,510952,66868,908,NMC,T6,US06,0,PASS
nmc_t6_us06_s1,fp32,475196,531156,56584,1800,20964,79348,firmware/h563_raw_vit/Build/nmc_t6_us06_s1/cema_h563_bench.map;firmware/h563_raw_vit/Build/nmc_t6_us06_s1/size.txt;stedgeai/models/nmc_t6_us06_s1/output/cema_generate_report.txt,72,510952,66868,908,NMC,T6,US06,1,PASS
