model,precision,n_windows,max_abs_diff_pct,mean_abs_diff_pct,transport,chemistry,feature,fold,seed,timebase,status
nmc_g4_dst_s0,fp32,66,1.921325684106634e-05,4.824676744987564e-06,"UART3 raw float32 V/I/T, 921600 8N1 little-endian",NMC,G4,DST,0,fixed 1.0 s; timestamp not transmitted,PASS
nmc_g4_dst_s1,fp32,66,1.7881393432617188e-05,4.244573188550545e-06,"UART3 raw float32 V/I/T, 921600 8N1 little-endian",NMC,G4,DST,1,fixed 1.0 s; timestamp not transmitted,PASS
nmc_g4_dst_s2,fp32,66,1.7881393432617188e-05,3.883332917184541e-06,"UART3 raw float32 V/I/T, 921600 8N1 little-endian",NMC,G4,DST,2,fixed 1.0 s; timestamp not transmitted,PASS
nmc_g4_fuds_s0,fp32,66,1.1920928955078125e-05,3.341472510135535e-06,"UART3 raw float32 V/I/T, 921600 8N1 little-endian",NMC,G4,FUDS,0,fixed 1.0 s; timestamp not transmitted,PASS
nmc_g4_fuds_s1,fp32,66,1.1920928955078125e-05,4.063953052867543e-06,"UART3 raw float32 V/I/T, 921600 8N1 little-endian",NMC,G4,FUDS,1,fixed 1.0 s; timestamp not transmitted,PASS
nmc_g4_fuds_s2,fp32,66,1.1920928955078125e-05,4.425193324233547e-06,"UART3 raw float32 V/I/T, 921600 8N1 little-endian",NMC,G4,FUDS,2,fixed 1.0 s; timestamp not transmitted,PASS
nmc_g4_us06_s0,fp32,66,1.1920928955078125e-05,4.515503392075047e-06,"UART3 raw float32 V/I/T, 921600 8N1 little-endian",NMC,G4,US06,0,fixed 1.0 s; timestamp not transmitted,PASS
nmc_g4_us06_s1,fp32,66,1.1920928955078125e-05,3.612402713660038e-06,"UART3 raw float32 V/I/T, 921600 8N1 little-endian",NMC,G4,US06,1,fixed 1.0 s; timestamp not transmitted,PASS
nmc_g4_us06_s2,fp32,66,1.1920928955078125e-05,3.7930228493430396e-06,"UART3 raw float32 V/I/T, 921600 8N1 little-endian",NMC,G4,US06,2,fixed 1.0 s; timestamp not transmitted,PASS
nmc_t6_dst_s0,fp32,66,1.1920928955078125e-05,3.7930228493430396e-06,"UART3 raw float32 V/I/T, 921600 8N1 little-endian",NMC,T6,DST,0,fixed 1.0 s; timestamp not transmitted,PASS
nmc_t6_dst_s1,fp32,66,1.7881393432617188e-05,3.431782577977036e-06,"UART3 raw float32 V/I/T, 921600 8N1 little-endian",NMC,T6,DST,1,fixed 1.0 s; timestamp not transmitted,PASS
