chemistry,feature,fold,seed,model_id,status,rewrites_applied,precision,target,optimization,compression,macc,weights_bytes,activations_bytes,runtime_flash_bytes,runtime_ram_bytes,toolchain_flash_bytes,toolchain_ram_bytes,input_bytes,report,log
NMC,G4,DST,0,nmc_g4_dst_s0,PASS,none,fp32,stm32h5,time,lossless,6270100,479292,58184,31070,7952,1632,0,3400,stedgeai/models/nmc_g4_dst_s0/output/cema_generate_report.txt,stedgeai/models/nmc_g4_dst_s0/generate.log
NMC,G4,DST,1,nmc_g4_dst_s1,PASS,none,fp32,stm32h5,time,lossless,6270100,479292,58184,31070,7952,1632,0,3400,stedgeai/models/nmc_g4_dst_s1/output/cema_generate_report.txt,stedgeai/models/nmc_g4_dst_s1/generate.log
NMC,G4,DST,2,nmc_g4_dst_s2,PASS,none,fp32,stm32h5,time,lossless,6270100,479292,58184,31070,7952,1632,0,3400,stedgeai/models/nmc_g4_dst_s2/output/cema_generate_report.txt,stedgeai/models/nmc_g4_dst_s2/generate.log
NMC,G4,FUDS,0,nmc_g4_fuds_s0,PASS,none,fp32,stm32h5,time,lossless,6270100,479292,58184,31070,7952,1632,0,3400,stedgeai/models/nmc_g4_fuds_s0/output/cema_generate_report.txt,stedgeai/models/nmc_g4_fuds_s0/generate.log
NMC,G4,FUDS,1,nmc_g4_fuds_s1,PASS,none,fp32,stm32h5,time,lossless,6270100,479292,58184,31070,7952,1632,0,3400,stedgeai/models/nmc_g4_fuds_s1/output/cema_generate_report.txt,stedgeai/models/nmc_g4_fuds_s1/generate.log
NMC,G4,FUDS,2,nmc_g4_fuds_s2,PASS,none,fp32,stm32h5,time,lossless,6270100,479292,58184,31070,7952,1632,0,3400,stedgeai/models/nmc_g4_fuds_s2/output/cema_generate_report.txt,stedgeai/models/nmc_g4_fuds_s2/generate.log
NMC,G4,US06,0,nmc_g4_us06_s0,PASS,none,fp32,stm32h5,time,lossless,6270100,479292,58184,31070,7952,1632,0,3400,stedgeai/models/nmc_g4_us06_s0/output/cema_generate_report.txt,stedgeai/models/nmc_g4_us06_s0/generate.log
NMC,G4,US06,1,nmc_g4_us06_s1,PASS,none,fp32,stm32h5,time,lossless,6270100,479292,58184,31070,7952,1632,0,3400,stedgeai/models/nmc_g4_us06_s1/output/cema_generate_report.txt,stedgeai/models/nmc_g4_us06_s1/generate.log
NMC,G4,US06,2,nmc_g4_us06_s2,PASS,none,fp32,stm32h5,time,lossless,6270100,479292,58184,31070,7952,1632,0,3400,stedgeai/models/nmc_g4_us06_s2/output/cema_generate_report.txt,stedgeai/models/nmc_g4_us06_s2/generate.log
NMC,T6,DST,0,nmc_t6_dst_s0,PASS,none,fp32,stm32h5,time,lossless,6218900,475196,56584,31066,7952,1632,0,1800,stedgeai/models/nmc_t6_dst_s0/output/cema_generate_report.txt,stedgeai/models/nmc_t6_dst_s0/generate.log
