model,source_weights_sha256,path_step_index,step_tool,step_version,artifact_file,artifact_sha256,rewrites_applied
nmc_g4_dst_s0,05a9ec22e844bbbf4504c00e2159b60ecf9925c6009a4c920691f79a34b55942,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/nmc_g4_dst_s0/source_weights.pt,05a9ec22e844bbbf4504c00e2159b60ecf9925c6009a4c920691f79a34b55942,none
nmc_g4_dst_s0,05a9ec22e844bbbf4504c00e2159b60ecf9925c6009a4c920691f79a34b55942,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/nmc_g4_dst_s0/model_static.onnx,b8c740409682949af08cabbc76e5f20819ddfedf39f976bdaf7e81b23bb86e56,none
nmc_g4_dst_s0,05a9ec22e844bbbf4504c00e2159b60ecf9925c6009a4c920691f79a34b55942,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/nmc_g4_dst_s0/cema_data.c,974f8c5fb5e0aabe311c5243e6c0eaa032918dc30a8d73b67bd721db64239333,none
nmc_g4_dst_s0,05a9ec22e844bbbf4504c00e2159b60ecf9925c6009a4c920691f79a34b55942,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/nmc_g4_dst_s0/cema_h563_bench.elf,db11ce127892742629b8c32f1ca4bc231f13a591632c7cf73445b8873ea1fa78,none
nmc_g4_dst_s1,f72d423ccc78d9d4c3f9aaa6e7dc3f87803f73f785c7159e073eb28ef2aa3d77,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/nmc_g4_dst_s1/source_weights.pt,f72d423ccc78d9d4c3f9aaa6e7dc3f87803f73f785c7159e073eb28ef2aa3d77,none
nmc_g4_dst_s1,f72d423ccc78d9d4c3f9aaa6e7dc3f87803f73f785c7159e073eb28ef2aa3d77,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/nmc_g4_dst_s1/model_static.onnx,e58443e75782aba14f0ac4aa8da5f16f16436c23744b5af68948b172e54d29cf,none
nmc_g4_dst_s1,f72d423ccc78d9d4c3f9aaa6e7dc3f87803f73f785c7159e073eb28ef2aa3d77,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/nmc_g4_dst_s1/cema_data.c,5c31e4ed82d9018ea12c9d5459827037833b14f2aae3d20cc30474473643213c,none
nmc_g4_dst_s1,f72d423ccc78d9d4c3f9aaa6e7dc3f87803f73f785c7159e073eb28ef2aa3d77,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/nmc_g4_dst_s1/cema_h563_bench.elf,f8cc4f2541c84fc20bba84d9d9c3d87a8aa8ecf1282d5b575bae7d3434b77fa6,none
nmc_g4_dst_s2,8b4ce71de8b1f07a44d3e9055480323a7552adaf5252079e9c524cc14fc3d9a8,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/nmc_g4_dst_s2/source_weights.pt,8b4ce71de8b1f07a44d3e9055480323a7552adaf5252079e9c524cc14fc3d9a8,none
nmc_g4_dst_s2,8b4ce71de8b1f07a44d3e9055480323a7552adaf5252079e9c524cc14fc3d9a8,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/nmc_g4_dst_s2/model_static.onnx,8239dcedf4f98718c368cc4d45833c39b5d35bf8c37e6836e491d3bf00668c0a,none
