track,chemistry,method_or_feature,fold,seed_or_init,precision,measured,reason
A_nn_partial_record_e2e,NMC,G4,DST,0,fp32,True,22 outputs x 3 temperatures after warmup
A_nn_full_record_e2e,NMC,G4,DST,0,fp32,False,MISSING_not_measured; would require multi-hour MCU replay
A_nn_latency,NMC,G4,DST,0,fp32,True,1024 DWT repetitions
A_nn_memory,NMC,G4,DST,0,fp32,True,"linker map, stack watermark, ST report"
A_nn_stage_proxy,NMC,G4,DST,0,fp32,True,PC proxy; MCU intermediate stages not captured
A_nn_partial_record_e2e,NMC,G4,DST,1,fp32,True,22 outputs x 3 temperatures after warmup
A_nn_full_record_e2e,NMC,G4,DST,1,fp32,False,MISSING_not_measured; would require multi-hour MCU replay
A_nn_latency,NMC,G4,DST,1,fp32,True,1024 DWT repetitions
A_nn_memory,NMC,G4,DST,1,fp32,True,"linker map, stack watermark, ST report"
A_nn_stage_proxy,NMC,G4,DST,1,fp32,True,PC proxy; MCU intermediate stages not captured
A_nn_partial_record_e2e,NMC,G4,DST,2,fp32,True,22 outputs x 3 temperatures after warmup
A_nn_full_record_e2e,NMC,G4,DST,2,fp32,False,MISSING_not_measured; would require multi-hour MCU replay
A_nn_latency,NMC,G4,DST,2,fp32,True,1024 DWT repetitions
A_nn_memory,NMC,G4,DST,2,fp32,True,"linker map, stack watermark, ST report"
A_nn_stage_proxy,NMC,G4,DST,2,fp32,True,PC proxy; MCU intermediate stages not captured
A_nn_partial_record_e2e,NMC,G4,FUDS,0,fp32,True,22 outputs x 3 temperatures after warmup
A_nn_full_record_e2e,NMC,G4,FUDS,0,fp32,False,MISSING_not_measured; would require multi-hour MCU replay
A_nn_latency,NMC,G4,FUDS,0,fp32,True,1024 DWT repetitions
A_nn_memory,NMC,G4,FUDS,0,fp32,True,"linker map, stack watermark, ST report"
A_nn_stage_proxy,NMC,G4,FUDS,0,fp32,True,PC proxy; MCU intermediate stages not captured
A_nn_partial_record_e2e,NMC,G4,FUDS,1,fp32,True,22 outputs x 3 temperatures after warmup
A_nn_full_record_e2e,NMC,G4,FUDS,1,fp32,False,MISSING_not_measured; would require multi-hour MCU replay
A_nn_latency,NMC,G4,FUDS,1,fp32,True,1024 DWT repetitions
A_nn_memory,NMC,G4,FUDS,1,fp32,True,"linker map, stack watermark, ST report"
A_nn_stage_proxy,NMC,G4,FUDS,1,fp32,True,PC proxy; MCU intermediate stages not captured
A_nn_partial_record_e2e,NMC,G4,FUDS,2,fp32,True,22 outputs x 3 temperatures after warmup
A_nn_full_record_e2e,NMC,G4,FUDS,2,fp32,False,MISSING_not_measured; would require multi-hour MCU replay
A_nn_latency,NMC,G4,FUDS,2,fp32,True,1024 DWT repetitions
A_nn_memory,NMC,G4,FUDS,2,fp32,True,"linker map, stack watermark, ST report"
A_nn_stage_proxy,NMC,G4,FUDS,2,fp32,True,PC proxy; MCU intermediate stages not captured
A_nn_partial_record_e2e,NMC,G4,US06,0,fp32,True,22 outputs x 3 temperatures after warmup
A_nn_full_record_e2e,NMC,G4,US06,0,fp32,False,MISSING_not_measured; would require multi-hour MCU replay
A_nn_latency,NMC,G4,US06,0,fp32,True,1024 DWT repetitions
A_nn_memory,NMC,G4,US06,0,fp32,True,"linker map, stack watermark, ST report"
A_nn_stage_proxy,NMC,G4,US06,0,fp32,True,PC proxy; MCU intermediate stages not captured
A_nn_partial_record_e2e,NMC,G4,US06,1,fp32,True,22 outputs x 3 temperatures after warmup
A_nn_full_record_e2e,NMC,G4,US06,1,fp32,False,MISSING_not_measured; would require multi-hour MCU replay
A_nn_latency,NMC,G4,US06,1,fp32,True,1024 DWT repetitions
A_nn_memory,NMC,G4,US06,1,fp32,True,"linker map, stack watermark, ST report"
A_nn_stage_proxy,NMC,G4,US06,1,fp32,True,PC proxy; MCU intermediate stages not captured
A_nn_partial_record_e2e,NMC,G4,US06,2,fp32,True,22 outputs x 3 temperatures after warmup
A_nn_full_record_e2e,NMC,G4,US06,2,fp32,False,MISSING_not_measured; would require multi-hour MCU replay
A_nn_latency,NMC,G4,US06,2,fp32,True,1024 DWT repetitions
