chemistry,fold,temperature_C,path,bytes,sha256
NMC,DST,0,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/0C/NMC_0C_DST.csv,6370829,4b777cce3ec960281180f656e4f66c070355f1d47ca4deb282afeb5623afd842
NMC,DST,25,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/25C/NMC_25C_DST.csv,7239546,28db046b6f290450ad3e0e45d6b51d01c5826d2196758680adff5b55655e380a
NMC,DST,45,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/45C/NMC_45C_DST.csv,7639836,6ec8f99d3bee331efd6eebcfb9328d6bbae8f1b0fd3fc4b1ae73c708fda5ee45
NMC,FUDS,0,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/0C/NMC_0C_FUDS.csv,6604801,b858aa2800df0c7395a90856d13e2d52a2eaba362eebf26de8d221ec1b02848a
NMC,FUDS,25,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/25C/NMC_25C_FUDS.csv,7542253,ef4d47e12c45a29e3e3f39a7d21efcce2e0bdbe1b4947e3d32a6cb6e8c944071
NMC,FUDS,45,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/45C/NMC_45C_FUDS.csv,7832774,53105b6f99f2ab0a5644929d5ce28ceffc3d2d872fe78f1cb8cf1f9d915be239
NMC,US06,0,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/0C/NMC_0C_US06.csv,6487002,46ebea30d8185b20962f16c748f397fd391ac9ad5dd096d1d27e9c850360d612
NMC,US06,25,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/25C/NMC_25C_US06.csv,7113197,0b46a9f471beda42ae8e94520078d166695c23e681bd4a7fffd80d10789b5bc2
NMC,US06,45,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/45C/NMC_45C_US06.csv,7331843,ba6ca20ca6a375cab32810418ce2dac00253d56ff5e7b7b51f178c110c20f0d7
LFP,DST,-10,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_DST.csv,1617043,a1c61ce62f41e5278b5f53d1db9b36539ce273e3f8ccc8cf8049c260ed4497cb
LFP,DST,0,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/0C/LFP_0C_DST.csv,2117738,b9d65f6cc08652ef142f252284bbc558e1518e9a1f9e3564e750641c0ccdab8b
LFP,DST,10,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/10C/LFP_10C_DST.csv,2218853,69ab856855289bf595eb95105980470a35a4d516fe3e4b89ccd94f4487b7aaa5
LFP,DST,20,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/20C/LFP_20C_DST.csv,2298459,e1f09fe07481d6fb3ca0c9b9f93617b70fbb1bf0dc31ca46af5e16de47b87db4
LFP,DST,25,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/25C/LFP_25C_DST.csv,2180952,cc82549f6a31f8ab6faaee042fd90c515cff0457624111dc3fccb84ea0ff82fc
LFP,DST,30,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/30C/LFP_30C_DST.csv,2345550,b1c677cdc62b153e3d3ad4871556354e33ab923ddbdf9819a9d91819e0a5c32c
