chemistry,method,init_condition,fold,temperature_C,metric,value
LFP,adaptive_hysteresis_2rc_ekf,oracle,DST,-10,q_soc_addition_lost_steps,MISSING_not_applicable_to_actual_FP64_filter_build
LFP,adaptive_hysteresis_2rc_ekf,oracle,DST,-10,p_update_quantization_ratio,MISSING_not_applicable_to_actual_FP64_filter_build
LFP,adaptive_hysteresis_2rc_ekf,oracle,DST,-10,rc_discretization_cancellation,MISSING_not_applicable_to_actual_FP64_filter_build
LFP,adaptive_hysteresis_2rc_ekf,oracle,DST,-10,covariance_asymmetry_max,MISSING_not_instrumented
LFP,adaptive_hysteresis_2rc_ekf,oracle,DST,-10,covariance_negative_eigen_steps,MISSING_not_instrumented
LFP,adaptive_hysteresis_2rc_ekf,oracle,DST,-10,cholesky_failure_steps,MISSING_not_instrumented
LFP,adaptive_hysteresis_2rc_ekf,oracle,DST,-10,cc_accumulator_bias_pct,MISSING_not_applicable_to_actual_FP64_filter_build
LFP,adaptive_hysteresis_2rc_ekf,oracle,DST,-10,ocv_inversion_steps_illconditioned,MISSING_not_instrumented
LFP,adaptive_hysteresis_2rc_ekf,oracle,DST,-10,gamma_rail_hit_fraction,MISSING_not_instrumented
LFP,adaptive_hysteresis_2rc_ekf,oracle,DST,0,q_soc_addition_lost_steps,MISSING_not_applicable_to_actual_FP64_filter_build
LFP,adaptive_hysteresis_2rc_ekf,oracle,DST,0,p_update_quantization_ratio,MISSING_not_applicable_to_actual_FP64_filter_build
LFP,adaptive_hysteresis_2rc_ekf,oracle,DST,0,rc_discretization_cancellation,MISSING_not_applicable_to_actual_FP64_filter_build
LFP,adaptive_hysteresis_2rc_ekf,oracle,DST,0,covariance_asymmetry_max,MISSING_not_instrumented
LFP,adaptive_hysteresis_2rc_ekf,oracle,DST,0,covariance_negative_eigen_steps,MISSING_not_instrumented
LFP,adaptive_hysteresis_2rc_ekf,oracle,DST,0,cholesky_failure_steps,MISSING_not_instrumented
LFP,adaptive_hysteresis_2rc_ekf,oracle,DST,0,cc_accumulator_bias_pct,MISSING_not_applicable_to_actual_FP64_filter_build
LFP,adaptive_hysteresis_2rc_ekf,oracle,DST,0,ocv_inversion_steps_illconditioned,MISSING_not_instrumented
LFP,adaptive_hysteresis_2rc_ekf,oracle,DST,0,gamma_rail_hit_fraction,MISSING_not_instrumented
LFP,adaptive_hysteresis_2rc_ekf,oracle,DST,10,q_soc_addition_lost_steps,MISSING_not_applicable_to_actual_FP64_filter_build
LFP,adaptive_hysteresis_2rc_ekf,oracle,DST,10,p_update_quantization_ratio,MISSING_not_applicable_to_actual_FP64_filter_build
LFP,adaptive_hysteresis_2rc_ekf,oracle,DST,10,rc_discretization_cancellation,MISSING_not_applicable_to_actual_FP64_filter_build
LFP,adaptive_hysteresis_2rc_ekf,oracle,DST,10,covariance_asymmetry_max,MISSING_not_instrumented
LFP,adaptive_hysteresis_2rc_ekf,oracle,DST,10,covariance_negative_eigen_steps,MISSING_not_instrumented
LFP,adaptive_hysteresis_2rc_ekf,oracle,DST,10,cholesky_failure_steps,MISSING_not_instrumented
LFP,adaptive_hysteresis_2rc_ekf,oracle,DST,10,cc_accumulator_bias_pct,MISSING_not_applicable_to_actual_FP64_filter_build
LFP,adaptive_hysteresis_2rc_ekf,oracle,DST,10,ocv_inversion_steps_illconditioned,MISSING_not_instrumented
