chemistry,method,precision,clock_mhz,stage,n_reps,cycles_median,cycles_p90,us_median,us_p90
LFP,adaptive_hysteresis_2rc_ekf,fp64,250.0,predict_step,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
LFP,adaptive_hysteresis_2rc_ekf,fp64,250.0,update_step,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
LFP,adaptive_hysteresis_2rc_ekf,fp64,250.0,ocv_lookup,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
LFP,adaptive_hysteresis_2rc_ekf,fp64,250.0,total_per_sample,1024,99993.5,100430.0,399.974,401.72
LFP,cc,fp32,250.0,predict_step,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
LFP,cc,fp32,250.0,update_step,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
LFP,cc,fp32,250.0,ocv_lookup,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
LFP,cc,fp32,250.0,total_per_sample,1024,1484.0,1484.0,5.936,5.936
LFP,hysteresis_2rc_ekf,fp64,250.0,predict_step,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
LFP,hysteresis_2rc_ekf,fp64,250.0,update_step,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
LFP,hysteresis_2rc_ekf,fp64,250.0,ocv_lookup,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
LFP,hysteresis_2rc_ekf,fp64,250.0,total_per_sample,1024,94505.5,94973.7,378.022,379.8948
LFP,2rc_ukf,fp64,250.0,predict_step,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
LFP,2rc_ukf,fp64,250.0,update_step,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
LFP,2rc_ukf,fp64,250.0,ocv_lookup,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
LFP,2rc_ukf,fp64,250.0,total_per_sample,1024,740123.5,756103.4,2960.494,3024.4136000000003
LFP,plain_2rc_ekf,fp64,250.0,predict_step,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
LFP,plain_2rc_ekf,fp64,250.0,update_step,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
LFP,plain_2rc_ekf,fp64,250.0,ocv_lookup,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
LFP,plain_2rc_ekf,fp64,250.0,total_per_sample,1024,57753.5,57848.0,231.014,231.392
LFP,adaptive_hysteresis_2rc_ekf,fp64,250.0,predict_step,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
LFP,adaptive_hysteresis_2rc_ekf,fp64,250.0,update_step,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
LFP,adaptive_hysteresis_2rc_ekf,fp64,250.0,ocv_lookup,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
LFP,adaptive_hysteresis_2rc_ekf,fp64,250.0,total_per_sample,1024,100183.5,100585.8,400.734,402.3432
LFP,cc,fp32,250.0,predict_step,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
LFP,cc,fp32,250.0,update_step,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
LFP,cc,fp32,250.0,ocv_lookup,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
LFP,cc,fp32,250.0,total_per_sample,1024,1485.0,1485.0,5.94,5.94
LFP,hysteresis_2rc_ekf,fp64,250.0,predict_step,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
LFP,hysteresis_2rc_ekf,fp64,250.0,update_step,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
LFP,hysteresis_2rc_ekf,fp64,250.0,ocv_lookup,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
LFP,hysteresis_2rc_ekf,fp64,250.0,total_per_sample,1024,94659.5,95085.7,378.638,380.3428
LFP,2rc_ukf,fp64,250.0,predict_step,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
LFP,2rc_ukf,fp64,250.0,update_step,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
LFP,2rc_ukf,fp64,250.0,ocv_lookup,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
LFP,2rc_ukf,fp64,250.0,total_per_sample,1024,785007.5,807821.9,3140.03,3231.2876
LFP,plain_2rc_ekf,fp64,250.0,predict_step,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured,MISSING_not_measured
