chemistry,method,init_condition,precision,fold,temperature_C,mae_pct,rmse_pct,n_points,status,reason
LFP,adaptive_hysteresis_2rc_ekf,oracle,fp64,DST,-10,0.0785629492226624,MISSING_not_recorded,5235,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,adaptive_hysteresis_2rc_ekf,oracle,fp64,DST,0,0.1482900165018893,MISSING_not_recorded,6671,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,adaptive_hysteresis_2rc_ekf,oracle,fp64,DST,10,0.3416996997897517,MISSING_not_recorded,7031,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,adaptive_hysteresis_2rc_ekf,oracle,fp64,DST,20,0.4088753194297579,MISSING_not_recorded,7254,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,adaptive_hysteresis_2rc_ekf,oracle,fp64,DST,25,0.4260804747082387,MISSING_not_recorded,7319,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,adaptive_hysteresis_2rc_ekf,oracle,fp64,DST,30,0.1881221343106639,MISSING_not_recorded,7391,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,adaptive_hysteresis_2rc_ekf,oracle,fp64,DST,40,0.4314575716186233,MISSING_not_recorded,7397,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,adaptive_hysteresis_2rc_ekf,oracle,fp64,DST,50,0.1155000671304731,MISSING_not_recorded,7415,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,cc,oracle,fp32,DST,-10,0.1705749057456427,MISSING_not_recorded,5235,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,cc,oracle,fp32,DST,0,0.1407307519884877,MISSING_not_recorded,6671,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,cc,oracle,fp32,DST,10,0.1402439656448523,MISSING_not_recorded,7031,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,cc,oracle,fp32,DST,20,0.267687051429716,MISSING_not_recorded,7254,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,cc,oracle,fp32,DST,25,0.1587669018463027,MISSING_not_recorded,7319,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,cc,oracle,fp32,DST,30,0.051879450578355,MISSING_not_recorded,7391,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,cc,oracle,fp32,DST,40,0.2731971155544515,MISSING_not_recorded,7397,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,cc,oracle,fp32,DST,50,0.1625822095360135,MISSING_not_recorded,7415,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,hysteresis_2rc_ekf,oracle,fp64,DST,-10,0.1486646005204746,MISSING_not_recorded,5235,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,hysteresis_2rc_ekf,oracle,fp64,DST,0,0.1788576377118463,MISSING_not_recorded,6671,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,hysteresis_2rc_ekf,oracle,fp64,DST,10,0.2628451318381898,MISSING_not_recorded,7031,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,hysteresis_2rc_ekf,oracle,fp64,DST,20,0.4402932054314406,MISSING_not_recorded,7254,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,hysteresis_2rc_ekf,oracle,fp64,DST,25,0.3924627357326137,MISSING_not_recorded,7319,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,hysteresis_2rc_ekf,oracle,fp64,DST,30,0.2174914591026574,MISSING_not_recorded,7391,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,hysteresis_2rc_ekf,oracle,fp64,DST,40,0.4218024002788608,MISSING_not_recorded,7397,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,hysteresis_2rc_ekf,oracle,fp64,DST,50,0.1122173551466902,MISSING_not_recorded,7415,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,2rc_ukf,oracle,fp64,DST,-10,6.6968515517857545,MISSING_not_recorded,5235,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,2rc_ukf,oracle,fp64,DST,0,4.539103164091307,MISSING_not_recorded,6671,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,2rc_ukf,oracle,fp64,DST,10,5.606120740536055,MISSING_not_recorded,7031,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,2rc_ukf,oracle,fp64,DST,20,2.2880205611588416,MISSING_not_recorded,7254,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,2rc_ukf,oracle,fp64,DST,25,2.46073113843171,MISSING_not_recorded,7319,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,2rc_ukf,oracle,fp64,DST,30,1.7597159428294826,MISSING_not_recorded,7391,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,2rc_ukf,oracle,fp64,DST,40,3.249844576220532,MISSING_not_recorded,7397,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,2rc_ukf,oracle,fp64,DST,50,2.796379906352031,MISSING_not_recorded,7415,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,plain_2rc_ekf,oracle,fp64,DST,-10,0.1296482602596197,MISSING_not_recorded,5235,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,plain_2rc_ekf,oracle,fp64,DST,0,0.4031319537474628,MISSING_not_recorded,6671,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,plain_2rc_ekf,oracle,fp64,DST,10,0.3447321700065835,MISSING_not_recorded,7031,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,plain_2rc_ekf,oracle,fp64,DST,20,0.6308268108110526,MISSING_not_recorded,7254,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,plain_2rc_ekf,oracle,fp64,DST,25,0.4991017751960387,MISSING_not_recorded,7319,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,plain_2rc_ekf,oracle,fp64,DST,30,0.3456578151883375,MISSING_not_recorded,7391,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,plain_2rc_ekf,oracle,fp64,DST,40,0.4587275869779603,MISSING_not_recorded,7397,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,plain_2rc_ekf,oracle,fp64,DST,50,0.1200022267236889,MISSING_not_recorded,7415,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,adaptive_hysteresis_2rc_ekf,oracle,fp64,FUDS,-10,0.0792794085200089,MISSING_not_recorded,5621,PASS,actual MCU precision; no precision relabeling or mixed aggregation
