chemistry,method,precision,flash_code_bytes,flash_tables_bytes,ram_state_bytes,ram_covariance_bytes,ram_total_bytes,requires_initial_soc,evidence
LFP,adaptive_hysteresis_2rc_ekf,fp64,33352,385216,72,128,13084,True,evidence/kf/lfp_dst_adaptive_hysteresis_2rc_ekf/cema_h563_kf_bench.map;evidence/kf/lfp_dst_adaptive_hysteresis_2rc_ekf/size.txt
LFP,cc,fp32,28172,64,40,64,12592,True,evidence/kf/lfp_dst_coulomb_count/cema_h563_kf_bench.map;evidence/kf/lfp_dst_coulomb_count/size.txt
LFP,hysteresis_2rc_ekf,fp64,33152,385216,72,128,13084,True,evidence/kf/lfp_dst_hysteresis_2rc_ekf/cema_h563_kf_bench.map;evidence/kf/lfp_dst_hysteresis_2rc_ekf/size.txt
LFP,2rc_ukf,fp64,-82664,385216,72,128,13084,True,evidence/kf/lfp_dst_hysteresis_2rc_ukf/cema_h563_kf_bench.map;evidence/kf/lfp_dst_hysteresis_2rc_ukf/size.txt
LFP,plain_2rc_ekf,fp64,32416,193024,72,128,13084,True,evidence/kf/lfp_dst_plain_2rc_ekf/cema_h563_kf_bench.map;evidence/kf/lfp_dst_plain_2rc_ekf/size.txt
LFP,adaptive_hysteresis_2rc_ekf,fp64,33352,385216,72,128,13084,True,evidence/kf/lfp_fuds_adaptive_hysteresis_2rc_ekf/cema_h563_kf_bench.map;evidence/kf/lfp_fuds_adaptive_hysteresis_2rc_ekf/size.txt
LFP,cc,fp32,28172,64,40,64,12592,True,evidence/kf/lfp_fuds_coulomb_count/cema_h563_kf_bench.map;evidence/kf/lfp_fuds_coulomb_count/size.txt
LFP,hysteresis_2rc_ekf,fp64,33152,385216,72,128,13084,True,evidence/kf/lfp_fuds_hysteresis_2rc_ekf/cema_h563_kf_bench.map;evidence/kf/lfp_fuds_hysteresis_2rc_ekf/size.txt
LFP,2rc_ukf,fp64,-82664,385216,72,128,13084,True,evidence/kf/lfp_fuds_hysteresis_2rc_ukf/cema_h563_kf_bench.map;evidence/kf/lfp_fuds_hysteresis_2rc_ukf/size.txt
LFP,plain_2rc_ekf,fp64,32416,193024,72,128,13084,True,evidence/kf/lfp_fuds_plain_2rc_ekf/cema_h563_kf_bench.map;evidence/kf/lfp_fuds_plain_2rc_ekf/size.txt
LFP,adaptive_hysteresis_2rc_ekf,fp64,33352,385216,72,128,13084,True,evidence/kf/lfp_us06_adaptive_hysteresis_2rc_ekf/cema_h563_kf_bench.map;evidence/kf/lfp_us06_adaptive_hysteresis_2rc_ekf/size.txt
LFP,cc,fp32,28172,64,40,64,12592,True,evidence/kf/lfp_us06_coulomb_count/cema_h563_kf_bench.map;evidence/kf/lfp_us06_coulomb_count/size.txt
LFP,hysteresis_2rc_ekf,fp64,33152,385216,72,128,13084,True,evidence/kf/lfp_us06_hysteresis_2rc_ekf/cema_h563_kf_bench.map;evidence/kf/lfp_us06_hysteresis_2rc_ekf/size.txt
LFP,2rc_ukf,fp64,-82664,385216,72,128,13084,True,evidence/kf/lfp_us06_hysteresis_2rc_ukf/cema_h563_kf_bench.map;evidence/kf/lfp_us06_hysteresis_2rc_ukf/size.txt
LFP,plain_2rc_ekf,fp64,32416,193024,72,128,13084,True,evidence/kf/lfp_us06_plain_2rc_ekf/cema_h563_kf_bench.map;evidence/kf/lfp_us06_plain_2rc_ekf/size.txt
NMC,1RC_EKF,fp64,39752,24456,72,128,13084,True,evidence/kf/nmc_dst_1rc_ekf/cema_h563_kf_bench.map;evidence/kf/nmc_dst_1rc_ekf/size.txt
NMC,2RC_EKF,fp64,40056,24456,72,128,13084,True,evidence/kf/nmc_dst_2rc_ekf/cema_h563_kf_bench.map;evidence/kf/nmc_dst_2rc_ekf/size.txt
NMC,2RC_UKF,fp64,44448,24456,72,128,13084,True,evidence/kf/nmc_dst_2rc_ukf/cema_h563_kf_bench.map;evidence/kf/nmc_dst_2rc_ukf/size.txt
NMC,Adaptive_2RC_EKF,fp64,40240,24456,72,128,13084,True,evidence/kf/nmc_dst_adaptive_2rc_ekf/cema_h563_kf_bench.map;evidence/kf/nmc_dst_adaptive_2rc_ekf/size.txt
NMC,CC,fp32,28160,24,40,64,12592,True,evidence/kf/nmc_dst_cc/cema_h563_kf_bench.map;evidence/kf/nmc_dst_cc/size.txt
NMC,1RC_EKF,fp64,39752,24456,72,128,13084,True,evidence/kf/nmc_fuds_1rc_ekf/cema_h563_kf_bench.map;evidence/kf/nmc_fuds_1rc_ekf/size.txt
NMC,2RC_EKF,fp64,40056,24456,72,128,13084,True,evidence/kf/nmc_fuds_2rc_ekf/cema_h563_kf_bench.map;evidence/kf/nmc_fuds_2rc_ekf/size.txt
NMC,2RC_UKF,fp64,44448,24456,72,128,13084,True,evidence/kf/nmc_fuds_2rc_ukf/cema_h563_kf_bench.map;evidence/kf/nmc_fuds_2rc_ukf/size.txt
NMC,Adaptive_2RC_EKF,fp64,40240,24456,72,128,13084,True,evidence/kf/nmc_fuds_adaptive_2rc_ekf/cema_h563_kf_bench.map;evidence/kf/nmc_fuds_adaptive_2rc_ekf/size.txt
NMC,CC,fp32,28160,24,40,64,12592,True,evidence/kf/nmc_fuds_cc/cema_h563_kf_bench.map;evidence/kf/nmc_fuds_cc/size.txt
NMC,1RC_EKF,fp64,39752,24456,72,128,13084,True,evidence/kf/nmc_us06_1rc_ekf/cema_h563_kf_bench.map;evidence/kf/nmc_us06_1rc_ekf/size.txt
NMC,2RC_EKF,fp64,40056,24456,72,128,13084,True,evidence/kf/nmc_us06_2rc_ekf/cema_h563_kf_bench.map;evidence/kf/nmc_us06_2rc_ekf/size.txt
NMC,2RC_UKF,fp64,44448,24456,72,128,13084,True,evidence/kf/nmc_us06_2rc_ukf/cema_h563_kf_bench.map;evidence/kf/nmc_us06_2rc_ukf/size.txt
NMC,Adaptive_2RC_EKF,fp64,40240,24456,72,128,13084,True,evidence/kf/nmc_us06_adaptive_2rc_ekf/cema_h563_kf_bench.map;evidence/kf/nmc_us06_adaptive_2rc_ekf/size.txt
NMC,CC,fp32,28160,24,40,64,12592,True,evidence/kf/nmc_us06_cc/cema_h563_kf_bench.map;evidence/kf/nmc_us06_cc/size.txt
