chemistry,feature,fold,seed,record_file,precision,n_compared,max_abs_diff_pct,mean_abs_diff_pct,p99_abs_diff_pct,max_diff_index,status
LFP,G4,DST,0,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_DST.csv,fp32,22,1.1920928966180355e-05,4.33488325891528e-06,1.1920928966180355e-05,58,PASS_partial_record_22_outputs
LFP,G4,DST,0,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/25C/LFP_25C_DST.csv,fp32,22,5.960464488641293e-06,3.2511624448172682e-06,5.960464488641293e-06,59,PASS_partial_record_22_outputs
LFP,G4,DST,0,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/50C/LFP_50C_DST.csv,fp32,22,1.1920928966180355e-05,4.876743665459639e-06,1.1920928963848887e-05,65,PASS_partial_record_22_outputs
LFP,G4,DST,1,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_DST.csv,fp32,22,1.1920928955078123e-05,3.2511624453219152e-06,1.0669231417126383e-05,49,PASS_partial_record_22_outputs
LFP,G4,DST,1,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/25C/LFP_25C_DST.csv,fp32,22,1.7881393432617188e-05,4.605813462944429e-06,1.537799835438224e-05,61,PASS_partial_record_22_outputs
LFP,G4,DST,1,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/50C/LFP_50C_DST.csv,fp32,22,5.960464488641293e-06,3.2511624458265618e-06,5.960464488641293e-06,51,PASS_partial_record_22_outputs
LFP,G4,DST,2,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_DST.csv,fp32,22,1.1920928966180355e-05,4.063953055390777e-06,1.0669231425897147e-05,58,PASS_partial_record_22_outputs
LFP,G4,DST,2,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/25C/LFP_25C_DST.csv,fp32,22,5.960464488641293e-06,2.9802322417974123e-06,5.960464488641293e-06,51,PASS_partial_record_22_outputs
LFP,G4,DST,2,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/50C/LFP_50C_DST.csv,fp32,22,1.1920928966180355e-05,3.7930228548941547e-06,1.0669231425897147e-05,63,PASS_partial_record_22_outputs
LFP,G4,FUDS,0,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_FUDS.csv,fp32,22,1.1920928955078123e-05,3.5220926468278306e-06,1.1920928955078123e-05,56,PASS_partial_record_22_outputs
LFP,G4,FUDS,0,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/25C/LFP_25C_FUDS.csv,fp32,22,5.960464488641293e-06,2.4383718357577e-06,5.960464488641293e-06,58,PASS_partial_record_22_outputs
LFP,G4,FUDS,0,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/50C/LFP_50C_FUDS.csv,fp32,22,1.1920928943975896e-05,2.709302036758969e-06,1.0669231408355625e-05,70,PASS_partial_record_22_outputs
LFP,G4,FUDS,1,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_FUDS.csv,fp32,22,1.1920928955078123e-05,4.06395305640007e-06,1.0669231417126383e-05,59,PASS_partial_record_22_outputs
LFP,G4,FUDS,1,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/25C/LFP_25C_FUDS.csv,fp32,22,1.1920928943975896e-05,3.7930228523709206e-06,1.0669231408355625e-05,60,PASS_partial_record_22_outputs
LFP,G4,FUDS,1,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/50C/LFP_50C_FUDS.csv,fp32,22,1.1920928943975896e-05,3.793022848838393e-06,1.0669231408355625e-05,64,PASS_partial_record_22_outputs
LFP,G4,FUDS,2,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_FUDS.csv,fp32,22,1.1920928955078123e-05,2.7093020347403818e-06,1.0669231417126383e-05,62,PASS_partial_record_22_outputs
LFP,G4,FUDS,2,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/25C/LFP_25C_FUDS.csv,fp32,22,1.1920928966180355e-05,4.334883256392046e-06,1.0669231425897147e-05,50,PASS_partial_record_22_outputs
LFP,G4,FUDS,2,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/50C/LFP_50C_FUDS.csv,fp32,22,5.960464488641293e-06,2.9802322438159994e-06,5.960464488641293e-06,49,PASS_partial_record_22_outputs
LFP,G4,US06,0,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_US06.csv,fp32,22,1.1920928955078123e-05,4.063953052867543e-06,1.0669231417126383e-05,65,PASS_partial_record_22_outputs
LFP,G4,US06,0,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/25C/LFP_25C_US06.csv,fp32,22,1.1920928966180355e-05,3.5220926468278306e-06,1.0669231425897147e-05,68,PASS_partial_record_22_outputs
LFP,G4,US06,0,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/50C/LFP_50C_US06.csv,fp32,22,1.1920928966180355e-05,3.5220926503603582e-06,1.1920928961517419e-05,49,PASS_partial_record_22_outputs
LFP,G4,US06,1,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_US06.csv,fp32,22,1.1920928943975896e-05,2.4383718347484065e-06,1.0669231408355625e-05,59,PASS_partial_record_22_outputs
LFP,G4,US06,1,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/25C/LFP_25C_US06.csv,fp32,22,1.1920928966180355e-05,4.605813461430489e-06,1.1920928961517419e-05,56,PASS_partial_record_22_outputs
LFP,G4,US06,1,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/50C/LFP_50C_US06.csv,fp32,22,1.1920928943975896e-05,4.063953053876836e-06,1.0669231408355625e-05,65,PASS_partial_record_22_outputs
LFP,G4,US06,2,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_US06.csv,fp32,22,1.1920928966180355e-05,4.876743665459639e-06,1.1920928963848887e-05,57,PASS_partial_record_22_outputs
LFP,G4,US06,2,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/25C/LFP_25C_US06.csv,fp32,22,1.1920928943975896e-05,3.2511624443126213e-06,1.0669231408355625e-05,60,PASS_partial_record_22_outputs
LFP,G4,US06,2,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/50C/LFP_50C_US06.csv,fp32,22,5.960464488641293e-06,1.8965114276994008e-06,5.960464486309824e-06,56,PASS_partial_record_22_outputs
LFP,T6,DST,0,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_DST.csv,fp32,22,1.1920928955078123e-05,4.876743663945698e-06,1.1920928955078123e-05,53,PASS_partial_record_22_outputs
LFP,T6,DST,0,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/25C/LFP_25C_DST.csv,fp32,22,1.1920928955078123e-05,4.063953055895424e-06,1.0669231417126383e-05,57,PASS_partial_record_22_outputs
LFP,T6,DST,0,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/50C/LFP_50C_DST.csv,fp32,22,1.1920928943975896e-05,3.5220926493510647e-06,1.0669231408355625e-05,50,PASS_partial_record_22_outputs
LFP,T6,DST,1,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_DST.csv,fp32,22,1.1920928955078123e-05,3.522092648341771e-06,1.1920928955078123e-05,55,PASS_partial_record_22_outputs
LFP,T6,DST,1,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/25C/LFP_25C_DST.csv,fp32,22,5.960464488641293e-06,3.793022851361627e-06,5.960464488641293e-06,51,PASS_partial_record_22_outputs
LFP,T6,DST,1,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/50C/LFP_50C_DST.csv,fp32,22,1.1920928966180355e-05,4.334883259924573e-06,1.1920928963848887e-05,51,PASS_partial_record_22_outputs
LFP,T6,DST,2,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_DST.csv,fp32,22,1.1920928943975896e-05,2.980232242302059e-06,1.0669231408355625e-05,68,PASS_partial_record_22_outputs
LFP,T6,DST,2,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/25C/LFP_25C_DST.csv,fp32,22,1.1920928966180355e-05,4.605813461935136e-06,1.0669231425897147e-05,66,PASS_partial_record_22_outputs
LFP,T6,DST,2,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/50C/LFP_50C_DST.csv,fp32,22,5.960464488641293e-06,3.2511624448172682e-06,5.960464488641293e-06,52,PASS_partial_record_22_outputs
