model,precision,clock_mhz,stage,n_reps,cycles_median,cycles_p90,cycles_max,us_median,us_p90
lfp_g4_dst_s0,fp32,250.0,preprocess_per_sample,1024,41084.0,41092.0,41108,164.336,164.368
lfp_g4_dst_s0,fp32,250.0,network_per_estimate,1024,58577831.0,58592666.2,58624343,234311.324,234370.6648
lfp_g4_dst_s0,fp32,250.0,total_per_estimate,1024,58618915.0,58633755.9,58665425,234475.66,234535.0236
lfp_g4_dst_s1,fp32,250.0,preprocess_per_sample,1024,41084.0,41092.0,41108,164.336,164.368
lfp_g4_dst_s1,fp32,250.0,network_per_estimate,1024,58537736.5,58555036.7,58583220,234150.946,234220.14680000002
lfp_g4_dst_s1,fp32,250.0,total_per_estimate,1024,58578823.5,58596126.7,58624302,234315.294,234384.5068
lfp_g4_dst_s2,fp32,250.0,preprocess_per_sample,1024,41084.0,41092.0,41108,164.336,164.368
lfp_g4_dst_s2,fp32,250.0,network_per_estimate,1024,58542918.0,58565388.6,58576485,234171.672,234261.5544
lfp_g4_dst_s2,fp32,250.0,total_per_estimate,1024,58584008.0,58606472.6,58617569,234336.032,234425.8904
lfp_g4_fuds_s0,fp32,250.0,preprocess_per_sample,1024,41090.0,41092.0,41110,164.36,164.368
lfp_g4_fuds_s0,fp32,250.0,network_per_estimate,1024,58570019.5,58583829.1,58599387,234280.078,234335.3164
lfp_g4_fuds_s0,fp32,250.0,total_per_estimate,1024,58611111.5,58624921.1,58640479,234444.446,234499.6844
lfp_g4_fuds_s1,fp32,250.0,preprocess_per_sample,1024,41090.0,41092.0,41110,164.36,164.368
lfp_g4_fuds_s1,fp32,250.0,network_per_estimate,1024,58533422.0,58547128.2,58581503,234133.688,234188.51280000003
lfp_g4_fuds_s1,fp32,250.0,total_per_estimate,1024,58574512.0,58588219.6,58622595,234298.048,234352.87840000002
lfp_g4_fuds_s2,fp32,250.0,preprocess_per_sample,1024,41090.0,41092.0,41110,164.36,164.368
lfp_g4_fuds_s2,fp32,250.0,network_per_estimate,1024,58562176.5,58573835.3,58581867,234248.706,234295.3412
lfp_g4_fuds_s2,fp32,250.0,total_per_estimate,1024,58603263.5,58614926.7,58622959,234413.054,234459.7068
lfp_g4_us06_s0,fp32,250.0,preprocess_per_sample,1024,41090.0,41092.0,41108,164.36,164.368
lfp_g4_us06_s0,fp32,250.0,network_per_estimate,1024,58574468.0,58601392.1,58617251,234297.872,234405.56840000002
lfp_g4_us06_s0,fp32,250.0,total_per_estimate,1024,58615555.0,58642480.0,58658335,234462.22,234569.92
lfp_g4_us06_s1,fp32,250.0,preprocess_per_sample,1024,41090.0,41092.0,41108,164.36,164.368
lfp_g4_us06_s1,fp32,250.0,network_per_estimate,1024,58558558.5,58577432.1,58588917,234234.234,234309.7284
lfp_g4_us06_s1,fp32,250.0,total_per_estimate,1024,58599640.5,58618522.1,58630001,234398.562,234474.0884
lfp_g4_us06_s2,fp32,250.0,preprocess_per_sample,1024,41090.0,41092.0,41108,164.36,164.368
lfp_g4_us06_s2,fp32,250.0,network_per_estimate,1024,58542776.0,58567925.5,58578048,234171.104,234271.702
lfp_g4_us06_s2,fp32,250.0,total_per_estimate,1024,58583862.0,58609015.5,58619141,234335.448,234436.062
lfp_t6_dst_s0,fp32,250.0,preprocess_per_sample,1024,23064.0,23072.0,23088,92.256,92.288
lfp_t6_dst_s0,fp32,250.0,network_per_estimate,1024,58336771.0,58373217.5,58398042,233347.084,233492.87
lfp_t6_dst_s0,fp32,250.0,total_per_estimate,1024,58359834.0,58396283.6,58421104,233439.336,233585.1344
lfp_t6_dst_s1,fp32,250.0,preprocess_per_sample,1024,23064.0,23072.0,23088,92.256,92.288
lfp_t6_dst_s1,fp32,250.0,network_per_estimate,1024,58379137.5,58395304.9,58402936,233516.55,233581.21959999998
lfp_t6_dst_s1,fp32,250.0,total_per_estimate,1024,58402205.5,58418368.9,58425998,233608.822,233673.4756
lfp_t6_dst_s2,fp32,250.0,preprocess_per_sample,1024,23064.0,23072.0,23088,92.256,92.288
lfp_t6_dst_s2,fp32,250.0,network_per_estimate,1024,58347060.0,58363165.7,58412695,233388.24,233452.66280000002
lfp_t6_dst_s2,fp32,250.0,total_per_estimate,1024,58370124.0,58386229.7,58435757,233480.496,233544.9188
lfp_t6_fuds_s0,fp32,250.0,preprocess_per_sample,1024,23070.0,23072.0,23090,92.28,92.288
lfp_t6_fuds_s0,fp32,250.0,network_per_estimate,1024,58353189.0,58372178.0,58390569,233412.756,233488.712
lfp_t6_fuds_s0,fp32,250.0,total_per_estimate,1024,58376259.5,58395248.9,58413641,233505.038,233580.9956
lfp_t6_fuds_s1,fp32,250.0,preprocess_per_sample,1024,23070.0,23072.0,23090,92.28,92.288
lfp_t6_fuds_s1,fp32,250.0,network_per_estimate,1024,58406435.5,58417182.3,58434618,233625.742,233668.7292
lfp_t6_fuds_s1,fp32,250.0,total_per_estimate,1024,58429506.5,58440254.3,58457690,233718.026,233761.0172
lfp_t6_fuds_s2,fp32,250.0,preprocess_per_sample,1024,23070.0,23072.0,23090,92.28,92.288
lfp_t6_fuds_s2,fp32,250.0,network_per_estimate,1024,58352572.5,58363418.5,58407030,233410.29,233453.674
lfp_t6_fuds_s2,fp32,250.0,total_per_estimate,1024,58375647.0,58386488.5,58430102,233502.588,233545.954
lfp_t6_us06_s0,fp32,250.0,preprocess_per_sample,1024,23070.0,23072.0,23088,92.28,92.288
lfp_t6_us06_s0,fp32,250.0,network_per_estimate,1024,58337108.5,58358647.7,58409139,233348.434,233434.5908
lfp_t6_us06_s0,fp32,250.0,total_per_estimate,1024,58360183.0,58381711.7,58432203,233440.732,233526.8468
lfp_t6_us06_s1,fp32,250.0,preprocess_per_sample,1024,23070.0,23072.0,23088,92.28,92.288
lfp_t6_us06_s1,fp32,250.0,network_per_estimate,1024,58374134.5,58389878.8,58448725,233496.538,233559.5152
lfp_t6_us06_s1,fp32,250.0,total_per_estimate,1024,58397202.5,58412950.8,58471789,233588.81,233651.8032
lfp_t6_us06_s2,fp32,250.0,preprocess_per_sample,1024,23070.0,23072.0,23088,92.28,92.288
lfp_t6_us06_s2,fp32,250.0,network_per_estimate,1024,58336678.0,58377625.0,58433708,233346.712,233510.5
lfp_t6_us06_s2,fp32,250.0,total_per_estimate,1024,58359745.0,58400697.0,58456783,233438.98,233602.788
lfp_t7_dst_s0,fp32,250.0,preprocess_per_sample,1024,27493.0,27501.0,27517,109.972,110.004
lfp_t7_dst_s0,fp32,250.0,network_per_estimate,1024,57780955.5,57891322.0,57924882,231123.822,231565.288
lfp_t7_dst_s0,fp32,250.0,total_per_estimate,1024,57808453.0,57918813.6,57952373,231233.812,231675.2544
lfp_t7_dst_s1,fp32,250.0,preprocess_per_sample,1024,27493.0,27501.0,27517,109.972,110.004
lfp_t7_dst_s1,fp32,250.0,network_per_estimate,1024,57756976.0,57839218.8,57870800,231027.904,231356.87519999998
lfp_t7_dst_s1,fp32,250.0,total_per_estimate,1024,57784469.0,57866711.8,57898291,231137.876,231466.8472
lfp_t7_dst_s2,fp32,250.0,preprocess_per_sample,1024,27493.0,27501.0,27517,109.972,110.004
lfp_t7_dst_s2,fp32,250.0,network_per_estimate,1024,57815385.0,57879335.1,57895700,231261.54,231517.34040000002
lfp_t7_dst_s2,fp32,250.0,total_per_estimate,1024,57842878.0,57906828.1,57923200,231371.512,231627.3124
lfp_t7_fuds_s0,fp32,250.0,preprocess_per_sample,1024,27499.0,27501.0,27519,109.996,110.004
lfp_t7_fuds_s0,fp32,250.0,network_per_estimate,1024,57748863.5,57867428.1,57893780,230995.454,231469.71240000002
lfp_t7_fuds_s0,fp32,250.0,total_per_estimate,1024,57776362.5,57894927.1,57921273,231105.45,231579.7084
lfp_t7_fuds_s1,fp32,250.0,preprocess_per_sample,1024,27499.0,27501.0,27519,109.996,110.004
lfp_t7_fuds_s1,fp32,250.0,network_per_estimate,1024,57715220.5,57858827.8,57893271,230860.882,231435.3112
lfp_t7_fuds_s1,fp32,250.0,total_per_estimate,1024,57742717.5,57886324.6,57920772,230970.87,231545.2984
lfp_t7_fuds_s2,fp32,250.0,preprocess_per_sample,1024,27499.0,27501.0,27519,109.996,110.004
lfp_t7_fuds_s2,fp32,250.0,network_per_estimate,1024,57779122.0,57891379.1,57912930,231116.488,231565.5164
lfp_t7_fuds_s2,fp32,250.0,total_per_estimate,1024,57806622.0,57918889.1,57940431,231226.488,231675.5564
lfp_t7_us06_s0,fp32,250.0,preprocess_per_sample,1024,27499.0,27501.0,27517,109.996,110.004
lfp_t7_us06_s0,fp32,250.0,network_per_estimate,1024,57781290.0,57884988.9,57908000,231125.16,231539.9556
lfp_t7_us06_s0,fp32,250.0,total_per_estimate,1024,57808787.0,57912489.9,57935501,231235.148,231649.9596
