model,precision,flash_weights_bytes,flash_code_bytes,flash_tables_bytes,flash_total_bytes,ram_ema_state_bytes,ram_window_buffer_bytes,ram_arena_bytes,ram_stack_peak_bytes,ram_total_bytes,evidence
base_firmware,fp32,0,20204,0,20204,0,0,0,MISSING_not_measured_for_base,12480,evidence/nn/base_firmware.map
nmc_g4_dst_s0,fp32,479292,55803,233,535328,72,3400,58184,940,82548,evidence/nn/nmc_g4_dst_s0/cema_h563_bench.map;evidence/nn/nmc_g4_dst_s0/size.txt;evidence/nn/nmc_g4_dst_s0/cema_generate_report.txt
nmc_g4_dst_s1,fp32,479292,55803,233,535328,72,3400,58184,940,82548,evidence/nn/nmc_g4_dst_s1/cema_h563_bench.map;evidence/nn/nmc_g4_dst_s1/size.txt;evidence/nn/nmc_g4_dst_s1/cema_generate_report.txt
nmc_g4_dst_s2,fp32,479292,55803,233,535328,72,3400,58184,940,82548,evidence/nn/nmc_g4_dst_s2/cema_h563_bench.map;evidence/nn/nmc_g4_dst_s2/size.txt;evidence/nn/nmc_g4_dst_s2/cema_generate_report.txt
nmc_g4_fuds_s0,fp32,479292,55803,233,535328,72,3400,58184,940,82548,evidence/nn/nmc_g4_fuds_s0/cema_h563_bench.map;evidence/nn/nmc_g4_fuds_s0/size.txt;evidence/nn/nmc_g4_fuds_s0/cema_generate_report.txt
nmc_g4_fuds_s1,fp32,479292,55803,233,535328,72,3400,58184,940,82548,evidence/nn/nmc_g4_fuds_s1/cema_h563_bench.map;evidence/nn/nmc_g4_fuds_s1/size.txt;evidence/nn/nmc_g4_fuds_s1/cema_generate_report.txt
nmc_g4_fuds_s2,fp32,479292,55803,233,535328,72,3400,58184,940,82548,evidence/nn/nmc_g4_fuds_s2/cema_h563_bench.map;evidence/nn/nmc_g4_fuds_s2/size.txt;evidence/nn/nmc_g4_fuds_s2/cema_generate_report.txt
nmc_g4_us06_s0,fp32,479292,55803,233,535328,72,3400,58184,940,82548,evidence/nn/nmc_g4_us06_s0/cema_h563_bench.map;evidence/nn/nmc_g4_us06_s0/size.txt;evidence/nn/nmc_g4_us06_s0/cema_generate_report.txt
nmc_g4_us06_s1,fp32,479292,55803,233,535328,72,3400,58184,940,82548,evidence/nn/nmc_g4_us06_s1/cema_h563_bench.map;evidence/nn/nmc_g4_us06_s1/size.txt;evidence/nn/nmc_g4_us06_s1/cema_generate_report.txt
nmc_g4_us06_s2,fp32,479292,55803,233,535328,72,3400,58184,940,82548,evidence/nn/nmc_g4_us06_s2/cema_h563_bench.map;evidence/nn/nmc_g4_us06_s2/size.txt;evidence/nn/nmc_g4_us06_s2/cema_generate_report.txt
nmc_t6_dst_s0,fp32,475196,55799,161,531156,72,1800,56584,908,79348,evidence/nn/nmc_t6_dst_s0/cema_h563_bench.map;evidence/nn/nmc_t6_dst_s0/size.txt;evidence/nn/nmc_t6_dst_s0/cema_generate_report.txt
nmc_t6_dst_s1,fp32,475196,55799,161,531156,72,1800,56584,908,79348,evidence/nn/nmc_t6_dst_s1/cema_h563_bench.map;evidence/nn/nmc_t6_dst_s1/size.txt;evidence/nn/nmc_t6_dst_s1/cema_generate_report.txt
nmc_t6_dst_s2,fp32,475196,55799,161,531156,72,1800,56584,908,79348,evidence/nn/nmc_t6_dst_s2/cema_h563_bench.map;evidence/nn/nmc_t6_dst_s2/size.txt;evidence/nn/nmc_t6_dst_s2/cema_generate_report.txt
nmc_t6_fuds_s0,fp32,475196,55799,161,531156,72,1800,56584,908,79348,evidence/nn/nmc_t6_fuds_s0/cema_h563_bench.map;evidence/nn/nmc_t6_fuds_s0/size.txt;evidence/nn/nmc_t6_fuds_s0/cema_generate_report.txt
nmc_t6_fuds_s1,fp32,475196,55799,161,531156,72,1800,56584,908,79348,evidence/nn/nmc_t6_fuds_s1/cema_h563_bench.map;evidence/nn/nmc_t6_fuds_s1/size.txt;evidence/nn/nmc_t6_fuds_s1/cema_generate_report.txt
nmc_t6_fuds_s2,fp32,475196,55799,161,531156,72,1800,56584,908,79348,evidence/nn/nmc_t6_fuds_s2/cema_h563_bench.map;evidence/nn/nmc_t6_fuds_s2/size.txt;evidence/nn/nmc_t6_fuds_s2/cema_generate_report.txt
nmc_t6_us06_s0,fp32,475196,55799,161,531156,72,1800,56584,908,79348,evidence/nn/nmc_t6_us06_s0/cema_h563_bench.map;evidence/nn/nmc_t6_us06_s0/size.txt;evidence/nn/nmc_t6_us06_s0/cema_generate_report.txt
nmc_t6_us06_s1,fp32,475196,55799,161,531156,72,1800,56584,908,79348,evidence/nn/nmc_t6_us06_s1/cema_h563_bench.map;evidence/nn/nmc_t6_us06_s1/size.txt;evidence/nn/nmc_t6_us06_s1/cema_generate_report.txt
nmc_t6_us06_s2,fp32,475196,55799,161,531156,72,1800,56584,908,79348,evidence/nn/nmc_t6_us06_s2/cema_h563_bench.map;evidence/nn/nmc_t6_us06_s2/size.txt;evidence/nn/nmc_t6_us06_s2/cema_generate_report.txt
lfp_g4_dst_s0,fp32,479292,55911,313,535516,72,3400,58184,932,82548,evidence/nn/lfp_g4_dst_s0/cema_h563_bench.map;evidence/nn/lfp_g4_dst_s0/size.txt;evidence/nn/lfp_g4_dst_s0/cema_generate_report.txt
lfp_g4_dst_s1,fp32,479292,55911,313,535516,72,3400,58184,932,82548,evidence/nn/lfp_g4_dst_s1/cema_h563_bench.map;evidence/nn/lfp_g4_dst_s1/size.txt;evidence/nn/lfp_g4_dst_s1/cema_generate_report.txt
lfp_g4_dst_s2,fp32,479292,55911,313,535516,72,3400,58184,932,82548,evidence/nn/lfp_g4_dst_s2/cema_h563_bench.map;evidence/nn/lfp_g4_dst_s2/size.txt;evidence/nn/lfp_g4_dst_s2/cema_generate_report.txt
lfp_g4_fuds_s0,fp32,479292,55911,313,535516,72,3400,58184,932,82548,evidence/nn/lfp_g4_fuds_s0/cema_h563_bench.map;evidence/nn/lfp_g4_fuds_s0/size.txt;evidence/nn/lfp_g4_fuds_s0/cema_generate_report.txt
lfp_g4_fuds_s1,fp32,479292,55911,313,535516,72,3400,58184,932,82548,evidence/nn/lfp_g4_fuds_s1/cema_h563_bench.map;evidence/nn/lfp_g4_fuds_s1/size.txt;evidence/nn/lfp_g4_fuds_s1/cema_generate_report.txt
lfp_g4_fuds_s2,fp32,479292,55911,313,535516,72,3400,58184,932,82548,evidence/nn/lfp_g4_fuds_s2/cema_h563_bench.map;evidence/nn/lfp_g4_fuds_s2/size.txt;evidence/nn/lfp_g4_fuds_s2/cema_generate_report.txt
lfp_g4_us06_s0,fp32,479292,55911,313,535516,72,3400,58184,932,82548,evidence/nn/lfp_g4_us06_s0/cema_h563_bench.map;evidence/nn/lfp_g4_us06_s0/size.txt;evidence/nn/lfp_g4_us06_s0/cema_generate_report.txt
lfp_g4_us06_s1,fp32,479292,55911,313,535516,72,3400,58184,932,82548,evidence/nn/lfp_g4_us06_s1/cema_h563_bench.map;evidence/nn/lfp_g4_us06_s1/size.txt;evidence/nn/lfp_g4_us06_s1/cema_generate_report.txt
lfp_g4_us06_s2,fp32,479292,55911,313,535516,72,3400,58184,932,82548,evidence/nn/lfp_g4_us06_s2/cema_h563_bench.map;evidence/nn/lfp_g4_us06_s2/size.txt;evidence/nn/lfp_g4_us06_s2/cema_generate_report.txt
lfp_t6_dst_s0,fp32,475196,55915,241,531352,72,1800,56584,900,79348,evidence/nn/lfp_t6_dst_s0/cema_h563_bench.map;evidence/nn/lfp_t6_dst_s0/size.txt;evidence/nn/lfp_t6_dst_s0/cema_generate_report.txt
lfp_t6_dst_s1,fp32,475196,55915,241,531352,72,1800,56584,900,79348,evidence/nn/lfp_t6_dst_s1/cema_h563_bench.map;evidence/nn/lfp_t6_dst_s1/size.txt;evidence/nn/lfp_t6_dst_s1/cema_generate_report.txt
lfp_t6_dst_s2,fp32,475196,55915,241,531352,72,1800,56584,900,79348,evidence/nn/lfp_t6_dst_s2/cema_h563_bench.map;evidence/nn/lfp_t6_dst_s2/size.txt;evidence/nn/lfp_t6_dst_s2/cema_generate_report.txt
lfp_t6_fuds_s0,fp32,475196,55915,241,531352,72,1800,56584,900,79348,evidence/nn/lfp_t6_fuds_s0/cema_h563_bench.map;evidence/nn/lfp_t6_fuds_s0/size.txt;evidence/nn/lfp_t6_fuds_s0/cema_generate_report.txt
lfp_t6_fuds_s1,fp32,475196,55915,241,531352,72,1800,56584,900,79348,evidence/nn/lfp_t6_fuds_s1/cema_h563_bench.map;evidence/nn/lfp_t6_fuds_s1/size.txt;evidence/nn/lfp_t6_fuds_s1/cema_generate_report.txt
lfp_t6_fuds_s2,fp32,475196,55915,241,531352,72,1800,56584,900,79348,evidence/nn/lfp_t6_fuds_s2/cema_h563_bench.map;evidence/nn/lfp_t6_fuds_s2/size.txt;evidence/nn/lfp_t6_fuds_s2/cema_generate_report.txt
lfp_t6_us06_s0,fp32,475196,55915,241,531352,72,1800,56584,900,79348,evidence/nn/lfp_t6_us06_s0/cema_h563_bench.map;evidence/nn/lfp_t6_us06_s0/size.txt;evidence/nn/lfp_t6_us06_s0/cema_generate_report.txt
lfp_t6_us06_s1,fp32,475196,55915,241,531352,72,1800,56584,900,79348,evidence/nn/lfp_t6_us06_s1/cema_h563_bench.map;evidence/nn/lfp_t6_us06_s1/size.txt;evidence/nn/lfp_t6_us06_s1/cema_generate_report.txt
lfp_t6_us06_s2,fp32,475196,55915,241,531352,72,1800,56584,900,79348,evidence/nn/lfp_t6_us06_s2/cema_h563_bench.map;evidence/nn/lfp_t6_us06_s2/size.txt;evidence/nn/lfp_t6_us06_s2/cema_generate_report.txt
lfp_t7_dst_s0,fp32,473124,55921,259,529304,72,2200,56984,908,80148,evidence/nn/lfp_t7_dst_s0/cema_h563_bench.map;evidence/nn/lfp_t7_dst_s0/size.txt;evidence/nn/lfp_t7_dst_s0/cema_generate_report.txt
lfp_t7_dst_s1,fp32,473124,55921,259,529304,72,2200,56984,908,80148,evidence/nn/lfp_t7_dst_s1/cema_h563_bench.map;evidence/nn/lfp_t7_dst_s1/size.txt;evidence/nn/lfp_t7_dst_s1/cema_generate_report.txt
lfp_t7_dst_s2,fp32,473124,55921,259,529304,72,2200,56984,908,80148,evidence/nn/lfp_t7_dst_s2/cema_h563_bench.map;evidence/nn/lfp_t7_dst_s2/size.txt;evidence/nn/lfp_t7_dst_s2/cema_generate_report.txt
lfp_t7_fuds_s0,fp32,473124,55921,259,529304,72,2200,56984,908,80148,evidence/nn/lfp_t7_fuds_s0/cema_h563_bench.map;evidence/nn/lfp_t7_fuds_s0/size.txt;evidence/nn/lfp_t7_fuds_s0/cema_generate_report.txt
lfp_t7_fuds_s1,fp32,473124,55921,259,529304,72,2200,56984,908,80148,evidence/nn/lfp_t7_fuds_s1/cema_h563_bench.map;evidence/nn/lfp_t7_fuds_s1/size.txt;evidence/nn/lfp_t7_fuds_s1/cema_generate_report.txt
lfp_t7_fuds_s2,fp32,473124,55921,259,529304,72,2200,56984,908,80148,evidence/nn/lfp_t7_fuds_s2/cema_h563_bench.map;evidence/nn/lfp_t7_fuds_s2/size.txt;evidence/nn/lfp_t7_fuds_s2/cema_generate_report.txt
lfp_t7_us06_s0,fp32,473124,55921,259,529304,72,2200,56984,908,80148,evidence/nn/lfp_t7_us06_s0/cema_h563_bench.map;evidence/nn/lfp_t7_us06_s0/size.txt;evidence/nn/lfp_t7_us06_s0/cema_generate_report.txt
lfp_t7_us06_s1,fp32,473124,55921,259,529304,72,2200,56984,908,80148,evidence/nn/lfp_t7_us06_s1/cema_h563_bench.map;evidence/nn/lfp_t7_us06_s1/size.txt;evidence/nn/lfp_t7_us06_s1/cema_generate_report.txt
lfp_t7_us06_s2,fp32,473124,55921,259,529304,72,2200,56984,908,80148,evidence/nn/lfp_t7_us06_s2/cema_h563_bench.map;evidence/nn/lfp_t7_us06_s2/size.txt;evidence/nn/lfp_t7_us06_s2/cema_generate_report.txt
