chemistry,feature,fold,seed,stage,max_abs_rel_diff,note
NMC,G4,DST,0,vcorr_ema,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,DST,0,channel_ema_50,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,DST,0,channel_ema_200,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,DST,0,channel_ema_800,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,DST,0,dev_channels,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,DST,0,scaler_out,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,DST,0,network_out,2.352400401198961e-07,Measured on chip; 66 deterministic outputs
NMC,G4,DST,1,vcorr_ema,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,DST,1,channel_ema_50,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,DST,1,channel_ema_200,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,DST,1,channel_ema_800,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,DST,1,dev_channels,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,DST,1,scaler_out,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,DST,1,network_out,2.138721603876717e-07,Measured on chip; 66 deterministic outputs
NMC,G4,DST,2,vcorr_ema,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,DST,2,channel_ema_50,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,DST,2,channel_ema_200,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,DST,2,channel_ema_800,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,DST,2,dev_channels,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,DST,2,scaler_out,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,DST,2,network_out,2.0464562737348006e-07,Measured on chip; 66 deterministic outputs
NMC,G4,FUDS,0,vcorr_ema,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,FUDS,0,channel_ema_50,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,FUDS,0,channel_ema_200,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,FUDS,0,channel_ema_800,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,FUDS,0,dev_channels,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,FUDS,0,scaler_out,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,FUDS,0,network_out,1.7352530208658948e-07,Measured on chip; 66 deterministic outputs
NMC,G4,FUDS,1,vcorr_ema,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,FUDS,1,channel_ema_50,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,FUDS,1,channel_ema_200,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,FUDS,1,channel_ema_800,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,FUDS,1,dev_channels,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,FUDS,1,scaler_out,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,FUDS,1,network_out,1.739091695662077e-07,Measured on chip; 66 deterministic outputs
NMC,G4,FUDS,2,vcorr_ema,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,FUDS,2,channel_ema_50,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,FUDS,2,channel_ema_200,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,FUDS,2,channel_ema_800,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,FUDS,2,dev_channels,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,FUDS,2,scaler_out,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,FUDS,2,network_out,1.6735576478715253e-07,Measured on chip; 66 deterministic outputs
NMC,G4,US06,0,vcorr_ema,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,US06,0,channel_ema_50,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
NMC,G4,US06,0,channel_ema_200,0.0,PC proxy of MCU C arithmetic compared with frozen Python feature builder; no on-chip intermediate capture
