fold_holdout,temperature_C,R0_ohm,n_events,R0_p20_ohm,R0_p80_ohm,training_profiles
DST,-10.0,0.2560277581455286,7779,0.2325490078130758,0.27373787746930905,FUDS+US06
DST,0.0,0.1943583298638542,9663,0.1843132226317811,0.20416837085916364,FUDS+US06
DST,10.0,0.16879229627126416,10092,0.1630901546481137,0.17447225715999592,FUDS+US06
DST,20.0,0.15749316813519457,10353,0.15381904699187038,0.1616258119833799,FUDS+US06
DST,25.0,0.156955187343148,10439,0.1533527687711047,0.16067438315792001,FUDS+US06
DST,30.0,0.1533598539431994,10566,0.15012301790412536,0.15669481339710495,FUDS+US06
DST,40.0,0.15230377273046994,10733,0.14955183573476977,0.15509489345738317,FUDS+US06
DST,50.0,0.15258374546982054,10771,0.15005689373578537,0.15506980473477566,FUDS+US06
FUDS,-10.0,0.2570253236718319,4352,0.23579977414240277,0.2726459683490366,DST+US06
FUDS,0.0,0.1934647704393269,5402,0.18433930729663986,0.20195942039259615,DST+US06
FUDS,10.0,0.16857429552062375,5801,0.16340174973587548,0.173376041292864,DST+US06
FUDS,20.0,0.1573336187496543,5909,0.1541514063250411,0.16051452001106564,DST+US06
FUDS,25.0,0.15681099644528282,5960,0.15354787384589744,0.15986020995614192,DST+US06
FUDS,30.0,0.15314793284404973,6026,0.15025614530787906,0.15584269228872485,DST+US06
FUDS,40.0,0.15218313697747826,6128,0.14977664696187695,0.15434882514765155,DST+US06
FUDS,50.0,0.15248094725280953,6149,0.15028214049654903,0.15426171754493567,DST+US06
US06,-10.0,0.2543096610854045,3957,0.23008266956973814,0.27355051965609567,DST+FUDS
US06,0.0,0.19531950314104152,4935,0.18555852708663909,0.20552372497979612,DST+FUDS
US06,10.0,0.16897832938897836,5003,0.16365830077182722,0.17493348541351061,DST+FUDS
US06,20.0,0.15778262733274995,5174,0.15401073041655697,0.16213989022438846,DST+FUDS
US06,25.0,0.157180166799742,5215,0.153811580891037,0.16112020306549305,DST+FUDS
US06,30.0,0.15360197013227095,5286,0.15049280246185717,0.1571292100568313,DST+FUDS
US06,40.0,0.15251273370491875,5351,0.14970689893417677,0.15535551961504893,DST+FUDS
US06,50.0,0.152702836654954,5372,0.15022638766623095,0.1554269364603977,DST+FUDS
