chemistry,feature,fold,seed,temperature,mae,rmse,aux_config,source
LFP,G4,DST,0,-10.0,0.7525873594092777,0.8635073235805254,anchor_only,new_retraining
LFP,G4,DST,0,0.0,0.5113550862921462,0.6119661905659098,anchor_only,new_retraining
LFP,G4,DST,0,10.0,0.4541642269798607,0.5582791465569091,anchor_only,new_retraining
LFP,G4,DST,0,20.0,0.4352136456279475,0.555260673340842,anchor_only,new_retraining
LFP,G4,DST,0,25.0,0.3775098705278717,0.4877582589251925,anchor_only,new_retraining
LFP,G4,DST,0,30.0,0.445127932342459,0.5485182559469219,anchor_only,new_retraining
LFP,G4,DST,0,40.0,0.6061566960606943,0.7047130048777285,anchor_only,new_retraining
LFP,G4,DST,0,50.0,0.7280028003016116,0.8507958058276086,anchor_only,new_retraining
LFP,G4,DST,1,-10.0,0.7632229139151295,0.9176791752460608,anchor_only,new_retraining
LFP,G4,DST,1,0.0,0.4825652869740199,0.5904583777287989,anchor_only,new_retraining
LFP,G4,DST,1,10.0,0.4283393112630766,0.5453079467457456,anchor_only,new_retraining
LFP,G4,DST,1,20.0,0.4500150483338866,0.5543247516989717,anchor_only,new_retraining
LFP,G4,DST,1,25.0,0.3893999246189968,0.504087264100572,anchor_only,new_retraining
LFP,G4,DST,1,30.0,0.4110441787238695,0.522900147249647,anchor_only,new_retraining
LFP,G4,DST,1,40.0,0.5632775610196231,0.6721922675273286,anchor_only,new_retraining
LFP,G4,DST,1,50.0,0.6548519883699218,0.7978981717884772,anchor_only,new_retraining
LFP,G4,DST,2,-10.0,0.6639113694913293,0.8027068892986471,anchor_only,new_retraining
LFP,G4,DST,2,0.0,0.4823657172924574,0.5593979046153554,anchor_only,new_retraining
LFP,G4,DST,2,10.0,0.3738559118088304,0.4559144236011904,anchor_only,new_retraining
LFP,G4,DST,2,20.0,0.3858358760756962,0.4812565532115169,anchor_only,new_retraining
LFP,G4,DST,2,25.0,0.3266530767264368,0.4085171415067306,anchor_only,new_retraining
LFP,G4,DST,2,30.0,0.3679556350491234,0.4508455110584938,anchor_only,new_retraining
LFP,G4,DST,2,40.0,0.4549650488728782,0.5325754620362163,anchor_only,new_retraining
LFP,G4,DST,2,50.0,0.5480413395090032,0.6516219881592916,anchor_only,new_retraining
LFP,G4,FUDS,0,-10.0,0.9938234622061538,1.124231505322479,anchor_only,new_retraining
LFP,G4,FUDS,0,0.0,0.6149549614330546,0.7560753402002688,anchor_only,new_retraining
LFP,G4,FUDS,0,10.0,0.6212514989516315,0.7396015251509094,anchor_only,new_retraining
LFP,G4,FUDS,0,20.0,0.4563342227427972,0.6030987020079515,anchor_only,new_retraining
LFP,G4,FUDS,0,25.0,0.4683333733816641,0.6241339626804508,anchor_only,new_retraining
LFP,G4,FUDS,0,30.0,0.4680327036678267,0.6170508177883566,anchor_only,new_retraining
LFP,G4,FUDS,0,40.0,0.5411900218731063,0.6872230789719896,anchor_only,new_retraining
LFP,G4,FUDS,0,50.0,0.6207807309881237,0.7775545610716434,anchor_only,new_retraining
LFP,G4,FUDS,1,-10.0,0.993036311878638,1.1684478457290592,anchor_only,new_retraining
LFP,G4,FUDS,1,0.0,0.5466157792715057,0.7057446458834032,anchor_only,new_retraining
LFP,G4,FUDS,1,10.0,0.5555339525812559,0.679509782207462,anchor_only,new_retraining
LFP,G4,FUDS,1,20.0,0.3887293667345314,0.5292774475797584,anchor_only,new_retraining
LFP,G4,FUDS,1,25.0,0.4100630066197182,0.5507775536500085,anchor_only,new_retraining
LFP,G4,FUDS,1,30.0,0.491363547437172,0.593467835990943,anchor_only,new_retraining
LFP,G4,FUDS,1,40.0,0.5835433581987215,0.7021185447454155,anchor_only,new_retraining
LFP,G4,FUDS,1,50.0,0.7496617420257045,0.873399357331667,anchor_only,new_retraining
LFP,G4,FUDS,2,-10.0,0.9604848167095038,1.084949106766132,anchor_only,new_retraining
LFP,G4,FUDS,2,0.0,0.5727636600173983,0.6651959118629612,anchor_only,new_retraining
LFP,G4,FUDS,2,10.0,0.5316237237884386,0.6345704320122124,anchor_only,new_retraining
LFP,G4,FUDS,2,20.0,0.3857811338606497,0.4997337855512819,anchor_only,new_retraining
LFP,G4,FUDS,2,25.0,0.4086479013545354,0.5408376026976546,anchor_only,new_retraining
LFP,G4,FUDS,2,30.0,0.4239170006905051,0.5516537024495491,anchor_only,new_retraining
LFP,G4,FUDS,2,40.0,0.4883158047022866,0.6094515403348998,anchor_only,new_retraining
LFP,G4,FUDS,2,50.0,0.6289831495253518,0.7730055485235847,anchor_only,new_retraining
LFP,G4,US06,0,-10.0,1.63680739129942,1.9433002748693533,anchor_only,new_retraining
LFP,G4,US06,0,0.0,0.5347289333826921,0.6416196447055229,anchor_only,new_retraining
LFP,G4,US06,0,10.0,0.3311048065090278,0.4194745832601692,anchor_only,new_retraining
LFP,G4,US06,0,20.0,0.273141232497989,0.3589783574035158,anchor_only,new_retraining
LFP,G4,US06,0,25.0,0.3760129058022822,0.4730585366210414,anchor_only,new_retraining
LFP,G4,US06,0,30.0,0.3180005748237995,0.406217278272979,anchor_only,new_retraining
LFP,G4,US06,0,40.0,0.3745979704934161,0.4524020258563201,anchor_only,new_retraining
LFP,G4,US06,0,50.0,0.4487271420134125,0.5517632096875742,anchor_only,new_retraining
LFP,G4,US06,1,-10.0,1.8718911689995443,2.149960449831938,anchor_only,new_retraining
LFP,G4,US06,1,0.0,0.7195787702113112,0.8320045402035168,anchor_only,new_retraining
LFP,G4,US06,1,10.0,0.508131218183372,0.6075473318637172,anchor_only,new_retraining
