feature,fold,seed,temperature,mae,rmse
G0,DST,0,-10.0,4.337694592553314,6.084130350988203
G0,DST,0,0.0,4.010015012191843,5.849756294229317
G0,DST,0,10.0,3.73723330597436,5.483127060239528
G0,DST,0,20.0,3.2036798796378974,4.68326104270565
G0,DST,0,25.0,2.575186266731672,4.049301055369981
G0,DST,0,30.0,2.441376017840301,3.814386114520511
G0,DST,0,40.0,1.6903851335880578,2.8734894588005733
G0,DST,0,50.0,1.3178042053613643,2.221233277306466
G0,DST,1,-10.0,3.6409726730390406,4.952410300461356
G0,DST,1,0.0,3.1017985663444736,4.5123171214176505
G0,DST,1,10.0,2.746709341549158,4.087137249183786
G0,DST,1,20.0,2.5569343619482034,3.758752787181486
G0,DST,1,25.0,2.107393700888548,3.2599213552316915
G0,DST,1,30.0,1.95718447066276,3.030895050681077
G0,DST,1,40.0,1.4906979298549712,2.3420668333601173
G0,DST,1,50.0,1.2154369601830388,1.858150259024748
G0,DST,2,-10.0,3.7873971496407135,5.127570118410351
G0,DST,2,0.0,3.032855733083188,4.400631274032558
G0,DST,2,10.0,2.6360977511540904,4.01126104505905
G0,DST,2,20.0,2.449877386353448,3.726719730239476
G0,DST,2,25.0,2.101114913892479,3.3038574610254714
G0,DST,2,30.0,1.9687157363695476,3.1206181986693213
G0,DST,2,40.0,1.4163457414210123,2.325798939680978
G0,DST,2,50.0,1.150208821750057,1.855650066944388
G0,FUDS,0,-10.0,4.844271434708605,6.0542789295566175
G0,FUDS,0,0.0,3.614828482173967,4.806714099118668
G0,FUDS,0,10.0,3.2816686550108325,4.404113266624099
G0,FUDS,0,20.0,2.501774202594923,3.496218135274423
G0,FUDS,0,25.0,2.536450242403669,3.51703694798929
G0,FUDS,0,30.0,1.9011766761964408,2.8344253333229026
G0,FUDS,0,40.0,1.5663982276850636,2.4211022419823096
G0,FUDS,0,50.0,1.24841022002957,1.9955019108943997
G0,FUDS,1,-10.0,4.610512812691977,5.73195677704191
G0,FUDS,1,0.0,3.4608080690059406,4.6094475217041015
G0,FUDS,1,10.0,3.1568029670188307,4.252097115211695
G0,FUDS,1,20.0,2.3694253293444065,3.3852664877179173
G0,FUDS,1,25.0,2.4723055062195685,3.469739906809482
G0,FUDS,1,30.0,1.865202935463644,2.7807053511542272
G0,FUDS,1,40.0,1.5173619194704628,2.34706438647422
G0,FUDS,1,50.0,1.2272908225882078,1.9360179642842563
G0,FUDS,2,-10.0,4.37561086733726,5.629511376874423
G0,FUDS,2,0.0,3.224549533134729,4.516924355279654
G0,FUDS,2,10.0,2.8611927116686355,4.024725971529675
G0,FUDS,2,20.0,2.183580678123361,3.2097620753346536
G0,FUDS,2,25.0,2.0668637698813086,3.079099329185395
G0,FUDS,2,30.0,1.6677667309146196,2.5925172148519424
G0,FUDS,2,40.0,1.353059528769844,2.1368817616509226
G0,FUDS,2,50.0,1.1608441933369054,1.7721491409334298
G0,US06,0,-10.0,4.841916090520248,6.185336657118226
G0,US06,0,0.0,3.204135570458812,4.308723735375509
G0,US06,0,10.0,2.836421866180887,3.890786444045787
G0,US06,0,20.0,2.435668810803901,3.251203503166617
G0,US06,0,25.0,1.9165788486505009,2.7737843021494744
G0,US06,0,30.0,2.0720900073765374,2.9138682608403137
G0,US06,0,40.0,1.4455370679550226,2.1741832683761597
G0,US06,0,50.0,1.18037487027885,1.806339942570289
G0,US06,1,-10.0,4.468313431272505,5.911934196109021
G0,US06,1,0.0,2.9208201187177845,4.008898243177328
G0,US06,1,10.0,2.44780540891613,3.4876228251157166
G0,US06,1,20.0,2.0596976479677798,2.9108588140118874
G0,US06,1,25.0,1.5939214841161218,2.4230521515151557
G0,US06,1,30.0,1.715909562041635,2.580798442691844
G0,US06,1,40.0,1.2702846602708038,2.012466196360964
G0,US06,1,50.0,1.119129218165294,1.7396376131157485
G0,US06,2,-10.0,4.479573849663124,5.857021876583199
G0,US06,2,0.0,2.9753688516087515,4.090271064565751
G0,US06,2,10.0,2.4430169771414767,3.446136636302457
G0,US06,2,20.0,1.922294769448631,2.703577378486521
G0,US06,2,25.0,1.492546594550172,2.2824843856535484
G0,US06,2,30.0,1.486812316135213,2.271377216432899
G0,US06,2,40.0,1.1274169901040676,1.7275223813192655
G0,US06,2,50.0,0.9816642421360028,1.4668862411166808
G4,DST,0,-10.0,0.6747136849273128,0.7990826453230739
G4,DST,0,0.0,0.5231628745343084,0.6289120028719248
G4,DST,0,10.0,0.4618607939366272,0.6075940118569259
G4,DST,0,20.0,0.4992844744888192,0.6157504402659882
G4,DST,0,25.0,0.4385553612899937,0.5734659098093342
G4,DST,0,30.0,0.4185861864426739,0.5447421447334496
G4,DST,0,40.0,0.4875941898301596,0.6198907833617326
G4,DST,0,50.0,0.5747104060866908,0.7180301207769124
G4,DST,1,-10.0,0.8350557766306822,1.028032010294424
G4,DST,1,0.0,0.744289487685208,0.9002069799413613
G4,DST,1,10.0,0.5498205046280064,0.6864993073387086
G4,DST,1,20.0,0.5107816730874742,0.6429619593981293
G4,DST,1,25.0,0.602053270132787,0.7366431785970329
G4,DST,1,30.0,0.4702696698941941,0.6083481758104534
G4,DST,1,40.0,0.6513652067273408,0.7932797413870016
G4,DST,1,50.0,0.782477059881991,0.9422894788816382
G4,DST,2,-10.0,0.6521509165067044,0.7802798196030146
G4,DST,2,0.0,0.474190644069941,0.588926561442416
G4,DST,2,10.0,0.464724176148062,0.608929126394421
G4,DST,2,20.0,0.4722284488451852,0.6222883178206533
G4,DST,2,25.0,0.3937284743497566,0.5099269163967214
G4,DST,2,30.0,0.395775699370318,0.5339148036446201
G4,DST,2,40.0,0.4962270269849034,0.6162021107387865
G4,DST,2,50.0,0.5445875497742111,0.670626723516801
G4,FUDS,0,-10.0,0.9672073299107316,1.1204296498689688
G4,FUDS,0,0.0,0.8560721478869567,1.0795823588135542
G4,FUDS,0,10.0,0.9184377211448628,1.306413422223773
G4,FUDS,0,20.0,0.915125398442472,1.3357823505018045
G4,FUDS,0,25.0,1.0523296389019132,1.542893632956105
G4,FUDS,0,30.0,1.0141545120761155,1.446134083095798
G4,FUDS,0,40.0,1.0497169327428737,1.4888081630407994
G4,FUDS,0,50.0,1.1133123815099055,1.5541197259480422
G4,FUDS,1,-10.0,1.0196347144167102,1.2752719468190898
G4,FUDS,1,0.0,0.8877526284633399,1.3271659879652125
G4,FUDS,1,10.0,0.8736654557897874,1.2228863807156567
G4,FUDS,1,20.0,0.6795662191756463,0.8861659396963137
G4,FUDS,1,25.0,0.7739374159985222,0.9983285497663116
G4,FUDS,1,30.0,0.6761111036029654,0.8534382437585383
G4,FUDS,1,40.0,0.7219346241894622,0.8848661120709811
G4,FUDS,1,50.0,0.9744056557001692,1.1720723134767617
G4,FUDS,2,-10.0,0.9184768797557692,1.17492959721434
G4,FUDS,2,0.0,0.7658561766789443,1.1638191050514166
G4,FUDS,2,10.0,0.6756613964607294,1.1229762402983452
G4,FUDS,2,20.0,0.6471098661587179,0.9458035795199872
G4,FUDS,2,25.0,0.6667158503716685,1.0394969866694213
G4,FUDS,2,30.0,0.7082083023156897,0.9289579528611154
G4,FUDS,2,40.0,0.7541358067166332,0.933010661922172
G4,FUDS,2,50.0,0.9497437434565208,1.1387924985567122
G4,US06,0,-10.0,1.3571936124576198,1.7260355531369758
G4,US06,0,0.0,0.5313048769657452,0.6693164296993873
G4,US06,0,10.0,0.5961486909406154,0.7876736355539048
G4,US06,0,20.0,0.7950047242900788,1.056762429870194
G4,US06,0,25.0,1.1363094744823128,1.4571029697351603
G4,US06,0,30.0,0.762893789091951,1.0116605328493191
G4,US06,0,40.0,0.7087961127003622,0.8781406382537965
G4,US06,0,50.0,0.5786421260115402,0.7168151178095241
G4,US06,1,-10.0,1.66858770521153,2.0649312455546243
G4,US06,1,0.0,0.6024340922380435,0.7273056347359763
G4,US06,1,10.0,0.4811915951532188,0.586150319133265
G4,US06,1,20.0,0.4202530147002759,0.5299529400500462
G4,US06,1,25.0,0.43198238857647,0.5464017371317207
G4,US06,1,30.0,0.3891365383745663,0.4917022111426717
G4,US06,1,40.0,0.3944754667732394,0.4755069569880745
G4,US06,1,50.0,0.3250388063159533,0.3966375013897622
G4,US06,2,-10.0,1.4931949335285943,1.8773992387383105
G4,US06,2,0.0,0.7174252928316803,0.8826584838224241
G4,US06,2,10.0,0.6040146752418868,0.7743083140891371
G4,US06,2,20.0,0.7839683582006814,1.0631728379702203
G4,US06,2,25.0,0.921218748650388,1.2571682219001714
G4,US06,2,30.0,0.8298137488681326,1.0944602320805086
G4,US06,2,40.0,0.8479968698365827,1.1202263088367883
G4,US06,2,50.0,0.7315238584890468,0.9299266351774894
T6,DST,0,-10.0,0.8827022927766088,1.146766294041491
T6,DST,0,0.0,0.5985784666449963,0.7573831718948735
T6,DST,0,10.0,0.4390673809651035,0.5552684195356409
T6,DST,0,20.0,0.3909000786401893,0.5238837653264803
T6,DST,0,25.0,0.3477050341418376,0.4688085779303791
T6,DST,0,30.0,0.4071931267378214,0.5219616580038869
T6,DST,0,40.0,0.5143367246597124,0.6343647598176991
T6,DST,0,50.0,0.5219747364239683,0.6547069635025922
T6,DST,1,-10.0,0.9436226801977002,1.303036542154074
T6,DST,1,0.0,0.6247129491772578,0.8890172685969187
T6,DST,1,10.0,0.4624402178858069,0.6796371151028857
T6,DST,1,20.0,0.4287758969984535,0.5595086528303803
T6,DST,1,25.0,0.4169311935840726,0.5323595644480678
T6,DST,1,30.0,0.499213666042348,0.5948150702398001
T6,DST,1,40.0,0.5488012616048072,0.6391617931202747
T6,DST,1,50.0,0.5871536308900778,0.6834087800475311
T6,DST,2,-10.0,0.8282404756591564,1.025581274475521
T6,DST,2,0.0,0.5680186157729775,0.6895375428046348
T6,DST,2,10.0,0.4126912753013336,0.5202817642570106
T6,DST,2,20.0,0.322206295782257,0.4360063158258521
T6,DST,2,25.0,0.2979386820299962,0.4292281328341177
T6,DST,2,30.0,0.2725550228712959,0.3922983908853941
T6,DST,2,40.0,0.4017773320163378,0.4991658502548611
T6,DST,2,50.0,0.4584095997337706,0.5527798001062684
T6,FUDS,0,-10.0,1.6373457719456406,2.0206507832436564
