chemistry,feature,fold,seed,temperature_C,reevaluated_mae_pct,locked_mae_pct,abs_mae_delta_pct,max_abs_prediction_delta_fraction,deterministic_bit_identical,atol,passed,package_path,locked_metric_path
NMC,G4,DST,0,0.0,0.4057549507525378,0.4057549957384864,4.4985948577380697e-08,2.5993652341682605e-07,True,1e-06,True,${SOURCE_WORKSPACE}/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/DST/0,${SOURCE_WORKSPACE}/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_dst_s012_b2048_e200_by_temperature.csv
NMC,G4,DST,0,25.0,0.3056342702863248,0.3056343446118877,7.432556292652492e-08,2.5993652341682605e-07,True,1e-06,True,${SOURCE_WORKSPACE}/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/DST/0,${SOURCE_WORKSPACE}/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_dst_s012_b2048_e200_by_temperature.csv
NMC,G4,DST,0,45.0,0.24022184286401235,0.2402217978109311,4.5053081265677974e-08,2.5993652341682605e-07,True,1e-06,True,${SOURCE_WORKSPACE}/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/DST/0,${SOURCE_WORKSPACE}/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_dst_s012_b2048_e200_by_temperature.csv
NMC,G4,DST,1,0.0,0.32346160349053454,0.3234614901312244,1.1335931016098755e-07,2.553184509368478e-07,True,1e-06,True,${SOURCE_WORKSPACE}/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/DST/1,${SOURCE_WORKSPACE}/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_dst_s012_b2048_e200_by_temperature.csv
NMC,G4,DST,1,25.0,0.35290182715512264,0.3529020682727122,2.4111758956113505e-07,2.553184509368478e-07,True,1e-06,True,${SOURCE_WORKSPACE}/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/DST/1,${SOURCE_WORKSPACE}/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_dst_s012_b2048_e200_by_temperature.csv
NMC,G4,DST,1,45.0,0.20894709943909645,0.2089469324795737,1.6695952276268855e-07,2.553184509368478e-07,True,1e-06,True,${SOURCE_WORKSPACE}/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/DST/1,${SOURCE_WORKSPACE}/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_dst_s012_b2048_e200_by_temperature.csv
NMC,G4,DST,2,0.0,0.36540538384771226,0.3654053050723602,7.877535207478914e-08,2.3774948121335626e-07,True,1e-06,True,${SOURCE_WORKSPACE}/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/DST/2,${SOURCE_WORKSPACE}/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_dst_s012_b2048_e200_by_temperature.csv
NMC,G4,DST,2,25.0,0.3255007200763857,0.325500631350439,8.872594670084055e-08,2.3774948121335626e-07,True,1e-06,True,${SOURCE_WORKSPACE}/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/DST/2,${SOURCE_WORKSPACE}/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_dst_s012_b2048_e200_by_temperature.csv
NMC,G4,DST,2,45.0,0.20702104688957584,0.2070208413502419,2.0553933394173995e-07,2.3774948121335626e-07,True,1e-06,True,${SOURCE_WORKSPACE}/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/DST/2,${SOURCE_WORKSPACE}/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_dst_s012_b2048_e200_by_temperature.csv
NMC,G4,FUDS,0,0.0,0.43744301106100597,0.4374428920109935,1.1905001245926528e-07,2.217720032060555e-07,True,1e-06,True,${SOURCE_WORKSPACE}/CEMA_SOC_ESTIMATION/nmc/kf/inference_pkg_nmc/G4/FUDS/0,${SOURCE_WORKSPACE}/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_goal_vcorr_it_train_dst_selector_results/s3_3l_bm_gru_g4_r_fuds_s012_b2048_e200_by_temperature.csv
