profile,temperature_C,locked_mae_pct,rerun_mae_pct,abs_diff_pct,tolerance_pct,pass
DST,-10.0,0.1486646233603444,0.14866462336039526,5.08759701034478e-14,1e-06,True
FUDS,-10.0,0.10932435088169311,0.10932435088172329,3.0184188481996443e-14,1e-06,True
US06,-10.0,0.0895636613064539,0.08956366130643655,1.7361112547575885e-14,1e-06,True
DST,0.0,0.17885762582373627,0.17885762582373094,5.329070518200751e-15,1e-06,True
FUDS,0.0,0.3886753816554198,0.3886753816555126,9.275913370743183e-14,1e-06,True
US06,0.0,0.047704942725405784,0.047704942725400566,5.218048215738236e-15,1e-06,True
DST,10.0,0.2628451231296527,0.2628451231296782,2.55351295663786e-14,1e-06,True
FUDS,10.0,0.33280223775412665,0.33280223775417045,4.3798298321462426e-14,1e-06,True
US06,10.0,0.05662146928502011,0.0566214692850411,2.0990154059319366e-14,1e-06,True
DST,20.0,0.440293201726996,0.44029320172699804,2.0539125955565396e-15,1e-06,True
FUDS,20.0,0.3096982712954005,0.30969827129535826,4.2243986086987206e-14,1e-06,True
US06,20.0,0.03531021028208854,0.03531021028207382,1.472433286409114e-14,1e-06,True
DST,25.0,0.3924627681405529,0.39246276814055275,1.6653345369377348e-16,1e-06,True
FUDS,25.0,0.33625605767538425,0.3362560576754266,4.235500838944972e-14,1e-06,True
US06,25.0,0.03376774520154442,0.03376774520158475,4.032885136950881e-14,1e-06,True
DST,30.0,0.2174914559429962,0.21749145594299113,5.079270337660091e-15,1e-06,True
FUDS,30.0,0.21567466252513226,0.21567466252511913,1.3128387266192476e-14,1e-06,True
US06,30.0,0.045409624652866735,0.04540962465287632,9.582612481295882e-15,1e-06,True
DST,40.0,0.42180242467517665,0.42180242467517143,5.218048215738236e-15,1e-06,True
FUDS,40.0,0.40960703547641963,0.40960703547642463,4.9960036108132044e-15,1e-06,True
US06,40.0,0.17560948421967063,0.17560948421967124,6.106226635438361e-16,1e-06,True
DST,50.0,0.11221736409534218,0.11221736409534325,1.0685896612017132e-15,1e-06,True
FUDS,50.0,0.16490055396846717,0.16490055396850292,3.574918139293004e-14,1e-06,True
US06,50.0,0.0450346729977589,0.04503467299776765,8.749945212827015e-15,1e-06,True
AGGREGATE,,0.20710812286656874,0.20710812286658128,9.275913370743183e-14,1e-06,True
