method,init,condition,profile,temperature_C,aggregation,mae,rmse,recovery_time_s,recovered,residual_error_1800s_pp,mean_lambda,inflated_fraction,diverged,n_samples,lambda_min,nis_threshold,nis_ema_beta
vff_hysteresis_2rc_ekf,oracle,DST_-10C,DST,-10.0,condition,0.1486646233603953,0.17397779760410104,0.0,1.0,0.017922559665706217,1.0,0.0,False,5235,0.9,9.0,0.5
vff_hysteresis_2rc_ekf,minus5pp,DST_-10C,DST,-10.0,condition,1.6977009680566137,1.70211193322422,,0.0,-1.7657324456572199,1.0,0.0,False,5235,0.9,9.0,0.5
vff_hysteresis_2rc_ekf,minus10pp,DST_-10C,DST,-10.0,condition,8.426218425047294,8.437665126298834,,0.0,-8.118233125790953,1.0,0.0,False,5235,0.9,9.0,0.5
vff_hysteresis_2rc_ekf,oracle,FUDS_-10C,FUDS,-10.0,condition,0.10973609358932955,0.1175779452749576,0.0,1.0,-0.12689111346462223,0.9997904710364214,0.004409171075837742,False,5621,0.95,9.0,0.5
vff_hysteresis_2rc_ekf,minus5pp,FUDS_-10C,FUDS,-10.0,condition,0.5741756509418562,0.5796769456338557,38.120350000001054,1.0,-0.5749816890907478,0.9997875961546472,0.004409171075837742,False,5621,0.95,9.0,0.5
vff_hysteresis_2rc_ekf,minus10pp,FUDS_-10C,FUDS,-10.0,condition,2.7696882549689548,2.8325488127347533,,0.0,-2.584616748251478,0.9997892457132993,0.004585537918871252,False,5621,0.95,9.0,0.5
vff_hysteresis_2rc_ekf,oracle,US06_-10C,US06,-10.0,condition,0.0889490797488193,0.10348991687649553,0.0,1.0,-0.043937571492935756,0.9997941176470588,0.00411764705882353,False,5051,0.95,2.0,0.0
vff_hysteresis_2rc_ekf,minus5pp,US06_-10C,US06,-10.0,condition,4.0482730204199955,4.055394354957669,,0.0,-4.022027268512796,0.9997941176470588,0.00411764705882353,False,5051,0.95,2.0,0.0
vff_hysteresis_2rc_ekf,minus10pp,US06_-10C,US06,-10.0,condition,7.589014592103759,7.605305844701445,,0.0,-7.936265124886621,0.9997941176470588,0.00411764705882353,False,5051,0.95,2.0,0.0
vff_hysteresis_2rc_ekf,oracle,DST_0C,DST,0.0,condition,0.17885762582373144,0.2019462863028715,0.0,1.0,-0.09989901206911567,1.0,0.0,False,6671,0.9,9.0,0.5
vff_hysteresis_2rc_ekf,minus5pp,DST_0C,DST,0.0,condition,1.2742557534668948,1.2877202093993412,5.03026299999965,1.0,-1.1299747404380223,1.0,0.0,False,6671,0.9,9.0,0.5
vff_hysteresis_2rc_ekf,minus10pp,DST_0C,DST,0.0,condition,8.76490248450711,8.845484896524288,,0.0,-8.091063146432997,0.9998698404111617,0.0026785714285714286,False,6671,0.9,9.0,0.5
vff_hysteresis_2rc_ekf,oracle,FUDS_0C,FUDS,0.0,condition,0.39163927693452993,0.39715097865276777,0.0,1.0,-0.41117975999604983,0.9996994324202788,0.00641573994867408,False,6965,0.95,9.0,0.5
vff_hysteresis_2rc_ekf,minus5pp,FUDS_0C,FUDS,0.0,condition,1.8264649772797457,2.0064127445922306,46.11309999999867,1.0,-1.6821185178884757,0.9997939144933287,0.004562303963501569,False,6965,0.95,9.0,0.5
vff_hysteresis_2rc_ekf,minus10pp,FUDS_0C,FUDS,0.0,condition,5.47955620637958,5.603429723724382,,0.0,-5.170949466125574,0.999505546194861,0.010122611919019104,False,6965,0.95,9.0,0.5
vff_hysteresis_2rc_ekf,oracle,US06_0C,US06,0.0,condition,0.04770494272544465,0.0522331894952986,0.0,1.0,-0.04571343872643574,1.0,0.0,False,6234,0.95,2.0,0.0
vff_hysteresis_2rc_ekf,minus5pp,US06_0C,US06,0.0,condition,2.0009521965700334,2.0011941032721308,,0.0,-2.0153197252909427,1.0,0.0,False,6234,0.95,2.0,0.0
vff_hysteresis_2rc_ekf,minus10pp,US06_0C,US06,0.0,condition,8.631092044112384,8.63519223761153,,0.0,-8.620036920657393,0.9999920420181442,0.0001591596371160274,False,6234,0.95,2.0,0.0
vff_hysteresis_2rc_ekf,oracle,DST_10C,DST,10.0,condition,0.2628451231296776,0.6164227813411854,0.0,1.0,-0.02203223196973747,1.0,0.0,False,7031,0.9,9.0,0.5
vff_hysteresis_2rc_ekf,minus5pp,DST_10C,DST,10.0,condition,1.427027464951873,1.549092960448832,3.0221270000001823,1.0,-1.1300203336787829,1.0,0.0,False,7031,0.9,9.0,0.5
vff_hysteresis_2rc_ekf,minus10pp,DST_10C,DST,10.0,condition,8.99829126714795,9.076726870339076,,0.0,-9.498993768121123,0.9998022598870057,0.0019774011299435027,False,7031,0.9,9.0,0.5
vff_hysteresis_2rc_ekf,oracle,FUDS_10C,FUDS,10.0,condition,0.3331477139746603,0.3590010691992606,0.0,1.0,-0.24038712559626418,0.9999451812115986,0.0011315417256011315,False,7021,0.95,9.0,0.5
vff_hysteresis_2rc_ekf,minus5pp,FUDS_10C,FUDS,10.0,condition,1.5983746828497127,1.619218019602111,38.11801999999807,1.0,-1.5532935820163019,0.999992927864215,0.00014144271570014144,False,7021,0.95,9.0,0.5
vff_hysteresis_2rc_ekf,minus10pp,FUDS_10C,FUDS,10.0,condition,2.3548394160581503,2.3731801454309682,,0.0,-2.287406694040661,1.0,0.0,False,7021,0.95,9.0,0.5
vff_hysteresis_2rc_ekf,oracle,US06_10C,US06,10.0,condition,0.05662146989517292,0.06969490002828956,0.0,1.0,-0.05997474105076117,0.9999926210153482,0.00014757969303423848,False,6727,0.95,2.0,0.0
vff_hysteresis_2rc_ekf,minus5pp,US06_10C,US06,10.0,condition,1.854141240412201,1.8554063896482815,,0.0,-1.8904171103604428,0.9999926210153482,0.00014757969303423848,False,6727,0.95,2.0,0.0
vff_hysteresis_2rc_ekf,minus10pp,US06_10C,US06,10.0,condition,7.177567909249888,7.18748549567964,,0.0,-7.294069613072763,0.999977863046045,0.00044273907910271547,False,6727,0.95,2.0,0.0
vff_hysteresis_2rc_ekf,oracle,DST_20C,DST,20.0,condition,0.4402644164375438,0.6568137476809678,0.0,1.0,-0.23252936305417915,0.9999354825382605,0.0006846501437765302,False,7254,0.9,9.0,0.5
vff_hysteresis_2rc_ekf,minus5pp,DST_20C,DST,20.0,condition,1.22580501845427,1.318014396800759,2.0132260000000315,1.0,-0.9925457957105976,1.0,0.0,False,7254,0.9,9.0,0.5
vff_hysteresis_2rc_ekf,minus10pp,DST_20C,DST,20.0,condition,7.158924404093152,7.214606728482779,,0.0,-7.352984593577649,0.999932611217409,0.0013693002875530603,False,7254,0.9,9.0,0.5
vff_hysteresis_2rc_ekf,oracle,FUDS_20C,FUDS,20.0,condition,0.3100522565483089,0.37609216897298614,0.0,1.0,-0.2068864946193516,0.999952041655248,0.0009591668950397369,False,7249,0.95,9.0,0.5
vff_hysteresis_2rc_ekf,minus5pp,FUDS_20C,FUDS,20.0,condition,1.387938012102429,1.4207083649604042,55.1455599999972,1.0,-1.2676700576593425,0.9999862976157851,0.0002740476842970677,False,7249,0.95,9.0,0.5
vff_hysteresis_2rc_ekf,minus10pp,FUDS_20C,FUDS,20.0,condition,1.8317699258096463,1.8670383703001565,,0.0,-1.6652151169720186,0.9998766785420664,0.002466429158673609,False,7249,0.95,9.0,0.5
vff_hysteresis_2rc_ekf,oracle,US06_20C,US06,20.0,condition,0.03531021028207073,0.04360504716404185,0.0,1.0,0.00901963499303493,1.0,0.0,False,6849,0.95,2.0,0.0
vff_hysteresis_2rc_ekf,minus5pp,US06_20C,US06,20.0,condition,1.444528083013702,1.4449074147296266,15.04142000000138,1.0,-1.469609723027998,0.9999927515221804,0.00014496955639315743,False,6849,0.95,2.0,0.0
vff_hysteresis_2rc_ekf,minus10pp,US06_20C,US06,20.0,condition,8.609480530935578,8.626818392484171,,0.0,-8.76322461660437,0.9999782545665411,0.0004349086691794723,False,6849,0.95,2.0,0.0
vff_hysteresis_2rc_ekf,oracle,DST_25C,DST,25.0,condition,0.39241486961363586,0.510191574661286,0.0,1.0,-0.26187330686713306,0.9999321389793703,0.0006786102062975027,False,7319,0.9,9.0,0.5
vff_hysteresis_2rc_ekf,minus5pp,DST_25C,DST,25.0,condition,1.0445196023591214,1.0813330065410947,1.0010490000004213,1.0,-0.9087030292906251,0.9999373381665437,0.0006786102062975027,False,7319,0.9,9.0,0.5
vff_hysteresis_2rc_ekf,minus10pp,DST_25C,DST,25.0,condition,7.650669851806528,7.75763143769781,,0.0,-8.074811757301404,0.9996814685824331,0.003800217155266015,False,7319,0.9,9.0,0.5
vff_hysteresis_2rc_ekf,oracle,FUDS_25C,FUDS,25.0,condition,0.3364673073862286,0.4244374712918907,0.0,1.0,-0.20417473176208567,0.9999156902605041,0.00176342919153554,False,7323,0.95,9.0,0.5
vff_hysteresis_2rc_ekf,minus5pp,FUDS_25C,FUDS,25.0,condition,1.243810902398271,1.2599860502532383,17.060199999999895,1.0,-1.1372191143020904,0.9999525230602279,0.0009495387954422138,False,7323,0.95,9.0,0.5
vff_hysteresis_2rc_ekf,minus10pp,FUDS_25C,FUDS,25.0,condition,1.842278588875405,1.861537067009059,,0.0,-1.6196077416100851,0.9998372219207814,0.0032555615843733042,False,7323,0.95,9.0,0.5
vff_hysteresis_2rc_ekf,oracle,US06_25C,US06,25.0,condition,0.03376846536695702,0.04413887930178652,0.0,1.0,-0.008852921325031016,0.9999856259882133,0.0002874802357337933,False,6908,0.95,2.0,0.0
vff_hysteresis_2rc_ekf,minus5pp,US06_25C,US06,25.0,condition,1.5612726141488216,1.5616205839775656,,0.0,-1.5388015500357621,0.99997843898232,0.00043122035360068997,False,6908,0.95,2.0,0.0
vff_hysteresis_2rc_ekf,minus10pp,US06_25C,US06,25.0,condition,9.05935883623337,9.102135189603704,,0.0,-9.29781195799395,0.9999137559292798,0.0017248814144027599,False,6908,0.95,2.0,0.0
vff_hysteresis_2rc_ekf,oracle,DST_30C,DST,30.0,condition,0.21749145594301986,0.29329395397460867,0.0,1.0,-0.13984362585909293,1.0,0.0,False,7391,0.9,9.0,0.5
vff_hysteresis_2rc_ekf,minus5pp,DST_30C,DST,30.0,condition,0.8036525061873644,0.8325522441627664,2.0071490000000267,1.0,-0.709849031332932,1.0,0.0,False,7391,0.9,9.0,0.5
vff_hysteresis_2rc_ekf,minus10pp,DST_30C,DST,30.0,condition,8.068557190548647,8.163528962111753,,0.0,-8.509258006614473,0.9998085774175425,0.0020161290322580645,False,7391,0.9,9.0,0.5
vff_hysteresis_2rc_ekf,oracle,FUDS_30C,FUDS,30.0,condition,0.21567676769553612,0.27678750121023793,0.0,1.0,-0.2108008740891676,0.9999664249261349,0.0006715014773032501,False,7397,0.95,9.0,0.5
vff_hysteresis_2rc_ekf,minus5pp,FUDS_30C,FUDS,30.0,condition,1.0879542647082925,1.1067260153688796,45.280360000000655,1.0,-1.0839853779156972,0.9999731399409079,0.0005372011818426001,False,7397,0.95,9.0,0.5
vff_hysteresis_2rc_ekf,minus10pp,FUDS_30C,FUDS,30.0,condition,8.084217328020456,8.15822959261579,,0.0,-8.465145869400336,0.9995716724731547,0.00872951920494225,False,7397,0.95,9.0,0.5
vff_hysteresis_2rc_ekf,oracle,US06_30C,US06,30.0,condition,0.04540881858152954,0.04945105282992168,0.0,1.0,-0.02632481364760464,0.9999928591830906,0.00014281633818908883,False,6953,0.95,2.0,0.0
vff_hysteresis_2rc_ekf,minus5pp,US06_30C,US06,30.0,condition,1.506362461994388,1.5064876176998567,2.014100000000326,1.0,-1.4885126175511965,0.999985718366181,0.00028563267637817766,False,6953,0.95,2.0,0.0
vff_hysteresis_2rc_ekf,minus10pp,US06_30C,US06,30.0,condition,8.769222937333348,8.802373845177835,,0.0,-8.946365038767446,0.9999571550985432,0.000856898029134533,False,6953,0.95,2.0,0.0
vff_hysteresis_2rc_ekf,oracle,DST_40C,DST,40.0,condition,0.4218024246751715,0.4659327472069722,0.0,1.0,-0.2823745225722152,1.0,0.0,False,7397,0.9,9.0,0.5
vff_hysteresis_2rc_ekf,minus5pp,DST_40C,DST,40.0,condition,0.8104011779002055,0.83474246116621,2.0091410000004544,1.0,-0.6620866615989041,1.0,0.0,False,7397,0.9,9.0,0.5
vff_hysteresis_2rc_ekf,minus10pp,DST_40C,DST,40.0,condition,8.336782923909489,8.441303200701483,,0.0,-8.619697554275463,0.9997851195272629,0.0021488047273704003,False,7397,0.9,9.0,0.5
vff_hysteresis_2rc_ekf,oracle,FUDS_40C,FUDS,40.0,condition,0.409606285110613,0.48366968161256474,0.0,1.0,-0.2171920807944594,0.9999802058590658,0.000395882818685669,False,7529,0.95,9.0,0.5
vff_hysteresis_2rc_ekf,minus5pp,FUDS_40C,FUDS,40.0,condition,1.1785194556107008,1.2038826581785986,48.15288999999757,1.0,-1.0005006422358909,0.9999868039060438,0.0002639218791237794,False,7529,0.95,9.0,0.5
vff_hysteresis_2rc_ekf,minus10pp,FUDS_40C,FUDS,40.0,condition,1.4728971515371534,1.5033406716400985,193.76528999999937,1.0,-1.2459451901402185,0.9998680390604381,0.0026392187912377936,False,7529,0.95,9.0,0.5
vff_hysteresis_2rc_ekf,oracle,US06_40C,US06,40.0,condition,0.17560946729220583,0.1960817565055706,0.0,1.0,0.1010991173152509,0.9999930011198208,0.00013997760358342665,False,7095,0.95,2.0,0.0
vff_hysteresis_2rc_ekf,minus5pp,US06_40C,US06,40.0,condition,1.443875491408623,1.4467555450929468,2227.0582500000014,1.0,-1.516122064031622,0.9999860022396416,0.0002799552071668533,False,7095,0.95,2.0,0.0
vff_hysteresis_2rc_ekf,minus10pp,US06_40C,US06,40.0,condition,8.69941161425376,8.760575208156643,,0.0,-9.016580080356784,0.9999300111982082,0.0013997760358342665,False,7095,0.95,2.0,0.0
vff_hysteresis_2rc_ekf,oracle,DST_50C,DST,50.0,condition,0.1122173640953427,0.1355087682174428,0.0,1.0,-0.19507834416335745,1.0,0.0,False,7415,0.9,9.0,0.5
vff_hysteresis_2rc_ekf,minus5pp,DST_50C,DST,50.0,condition,0.34957252524190735,0.37753385923028643,2.0100940000002083,1.0,-0.525277839097249,1.0,0.0,False,7415,0.9,9.0,0.5
vff_hysteresis_2rc_ekf,minus10pp,DST_50C,DST,50.0,condition,8.387102190291905,8.509491272244217,,0.0,-8.970563383784391,0.999783101535949,0.002277599142550911,False,7415,0.9,9.0,0.5
vff_hysteresis_2rc_ekf,oracle,FUDS_50C,FUDS,50.0,condition,0.164898248245121,0.21001495810313314,0.0,1.0,-0.15238770791551337,0.9999605988967691,0.0007880220646178094,False,7565,0.95,9.0,0.5
vff_hysteresis_2rc_ekf,minus5pp,FUDS_50C,FUDS,50.0,condition,0.8866682812391873,0.8982603049307644,48.14299000000028,1.0,-0.8783094996008378,0.9999605988967691,0.0007880220646178094,False,7565,0.95,9.0,0.5
vff_hysteresis_2rc_ekf,minus10pp,FUDS_50C,FUDS,50.0,condition,7.143403636793964,7.244189024477444,,0.0,-7.3459863266797765,0.9996526774040848,0.007223535592329918,False,7565,0.95,9.0,0.5
vff_hysteresis_2rc_ekf,oracle,US06_50C,US06,50.0,condition,0.04503467299776755,0.05141706908880201,0.0,1.0,0.01304848629887223,1.0,0.0,False,7116,0.95,2.0,0.0
vff_hysteresis_2rc_ekf,minus5pp,US06_50C,US06,50.0,condition,1.6582043178477741,1.658964752750429,,0.0,-1.633010906189003,0.9999930216329379,0.00013956734124214934,False,7116,0.95,2.0,0.0
vff_hysteresis_2rc_ekf,minus10pp,US06_50C,US06,50.0,condition,9.34947608670017,9.430011178874151,,0.0,-9.667177431011764,0.9999720865317515,0.0005582693649685974,False,7116,0.95,2.0,0.0
hysteresis_2rc_ekf,oracle,DST_-10C,DST,-10.0,condition,0.1486646233603953,0.17397779760410104,0.0,1.0,0.017922559665706217,1.0,0.0,False,5235,,,
hysteresis_2rc_ekf,minus5pp,DST_-10C,DST,-10.0,condition,1.697700968056618,1.7021119332242243,,0.0,-1.7657324456572199,1.0,0.0,False,5235,,,
hysteresis_2rc_ekf,minus10pp,DST_-10C,DST,-10.0,condition,8.42621842504733,8.437665126298874,,0.0,-8.118233125790953,1.0,0.0,False,5235,,,
