analysis_stage,chemistry,feature,head,aux_config,holdout,seed,temperature_C,mae_pct,rmse_pct,source_file
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,DST,0,-10.0,3.364410062806796,4.342418326609378,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutdst_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,DST,0,0.0,2.6761228879926544,3.5434602696850277,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutdst_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,DST,0,10.0,2.273044003994724,2.9926083799827774,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutdst_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,DST,0,20.0,1.6610387410666492,2.1719818496514014,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutdst_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,DST,0,25.0,1.719033420460047,2.233592797853348,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutdst_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,DST,0,30.0,1.2739662479718832,1.6806346014102798,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutdst_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,DST,0,40.0,1.1819111165037084,1.5554859924208175,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutdst_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,DST,0,50.0,1.0047182606895957,1.3842938727976202,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutdst_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,DST,1,-10.0,3.622987010134356,4.526387637839486,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutdst_s012_b2048_e200_by_temperature.csv
t6_plain_review_defense_c1,LFP,RAW_W200,plain_linear,all_off,DST,1,0.0,2.4688896637828672,3.525034124146257,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/c1_baselines/runs/c1_baselines/nmc_goal_vcorr_it_train_dst_selector_results/t6plain_c1_all8_train_all8_test_gru_normal_auxoff_raw_w200_holdoutdst_s012_b2048_e200_by_temperature.csv
