chemistry,holdout,temperature_C,seed,record,reset_index,reset_soc_true,reset_band,elapsed_s,abs_err_pct
LFP,DST,-10.0,0,LFP_-10C_DST.csv,1292,83.70679,gt65,0,
LFP,DST,-10.0,0,LFP_-10C_DST.csv,1292,83.70679,gt65,30,
LFP,DST,-10.0,0,LFP_-10C_DST.csv,1292,83.70679,gt65,60,12.571413161087037
LFP,DST,-10.0,0,LFP_-10C_DST.csv,1292,83.70679,gt65,120,14.752680424057004
LFP,DST,-10.0,0,LFP_-10C_DST.csv,1292,83.70679,gt65,300,14.867611796722414
LFP,DST,-10.0,0,LFP_-10C_DST.csv,1292,83.70679,gt65,600,12.020899089813227
LFP,DST,-10.0,0,LFP_-10C_DST.csv,1292,83.70679,gt65,900,9.090737778625495
LFP,DST,-10.0,0,LFP_-10C_DST.csv,1292,83.70679,gt65,1200,6.717573655242916
LFP,DST,-10.0,0,LFP_-10C_DST.csv,1292,83.70679,gt65,1800,5.831689620895389
LFP,DST,-10.0,0,LFP_-10C_DST.csv,1292,83.70679,gt65,2400,2.3940238727798473
LFP,DST,-10.0,0,LFP_-10C_DST.csv,1535,80.09282,gt65,0,
LFP,DST,-10.0,0,LFP_-10C_DST.csv,1535,80.09282,gt65,30,
LFP,DST,-10.0,0,LFP_-10C_DST.csv,1535,80.09282,gt65,60,16.795851202316285
LFP,DST,-10.0,0,LFP_-10C_DST.csv,1535,80.09282,gt65,120,16.047531128326426
LFP,DST,-10.0,0,LFP_-10C_DST.csv,1535,80.09282,gt65,300,13.35611336082458
LFP,DST,-10.0,0,LFP_-10C_DST.csv,1535,80.09282,gt65,600,9.603776165924074
LFP,DST,-10.0,0,LFP_-10C_DST.csv,1535,80.09282,gt65,900,6.4307599871826255
LFP,DST,-10.0,0,LFP_-10C_DST.csv,1535,80.09282,gt65,1200,8.147430297927855
LFP,DST,-10.0,0,LFP_-10C_DST.csv,1535,80.09282,gt65,1800,4.424208959197998
LFP,DST,-10.0,0,LFP_-10C_DST.csv,1535,80.09282,gt65,2400,0.629470188545227
LFP,DST,-10.0,0,LFP_-10C_DST.csv,1679,78.572834,gt65,0,
LFP,DST,-10.0,0,LFP_-10C_DST.csv,1679,78.572834,gt65,30,
