chemistry,holdout,temperature_C,seed,record,n_predictions,max_abs_diff,passed_atol_1e6
LFP,DST,-10.0,0,LFP_-10C_DST.csv,5235,2.9789733901885995e-08,True
LFP,DST,-10.0,1,LFP_-10C_DST.csv,5235,2.9797363243488917e-08,True
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5235,2.9733276396548547e-08,True
LFP,DST,0.0,0,LFP_0C_DST.csv,6671,2.9723358108135756e-08,True
LFP,DST,0.0,1,LFP_0C_DST.csv,6671,2.979507440770135e-08,True
LFP,DST,0.0,2,LFP_0C_DST.csv,6671,2.9790496847148518e-08,True
LFP,DST,10.0,0,LFP_10C_DST.csv,7031,2.978439328504834e-08,True
LFP,DST,10.0,1,LFP_10C_DST.csv,7031,2.9798889134013962e-08,True
LFP,DST,10.0,2,LFP_10C_DST.csv,7031,2.979812618875144e-08,True
LFP,DST,20.0,0,LFP_20C_DST.csv,7254,2.980117796980153e-08,True
LFP,DST,20.0,1,LFP_20C_DST.csv,7254,2.979431157346113e-08,True
LFP,DST,20.0,2,LFP_20C_DST.csv,7254,2.979431157346113e-08,True
LFP,DST,25.0,0,LFP_25C_DST.csv,7319,2.9798889134013962e-08,True
LFP,DST,25.0,1,LFP_25C_DST.csv,7319,2.9782867394523294e-08,True
LFP,DST,25.0,2,LFP_25C_DST.csv,7319,2.980194091506405e-08,True
LFP,DST,30.0,0,LFP_30C_DST.csv,7391,2.9798889134013962e-08,True
LFP,DST,30.0,1,LFP_30C_DST.csv,7391,2.9797363243488917e-08,True
LFP,DST,30.0,2,LFP_30C_DST.csv,7391,2.9796600298226394e-08,True
LFP,DST,40.0,0,LFP_40C_DST.csv,7397,2.9792022737673562e-08,True
LFP,DST,40.0,1,LFP_40C_DST.csv,7397,2.979812618875144e-08,True
LFP,DST,40.0,2,LFP_40C_DST.csv,7397,2.9776763943445417e-08,True
LFP,DST,50.0,0,LFP_50C_DST.csv,7415,2.977828983397046e-08,True
LFP,DST,50.0,1,LFP_50C_DST.csv,7415,2.9800415024539006e-08,True
LFP,DST,50.0,2,LFP_50C_DST.csv,7415,2.980117796980153e-08,True
LFP,FUDS,-10.0,0,LFP_-10C_FUDS.csv,5621,2.9799652079276484e-08,True
LFP,FUDS,-10.0,1,LFP_-10C_FUDS.csv,5621,2.979431157346113e-08,True
LFP,FUDS,-10.0,2,LFP_-10C_FUDS.csv,5621,2.9786682120835906e-08,True
LFP,FUDS,0.0,0,LFP_0C_FUDS.csv,6965,2.9799652079276484e-08,True
LFP,FUDS,0.0,1,LFP_0C_FUDS.csv,6965,2.979812618875144e-08,True
LFP,FUDS,0.0,2,LFP_0C_FUDS.csv,6965,2.980194091506405e-08,True
LFP,FUDS,10.0,0,LFP_10C_FUDS.csv,7021,2.9798889134013962e-08,True
LFP,FUDS,10.0,1,LFP_10C_FUDS.csv,7021,2.9737091011838857e-08,True
LFP,FUDS,10.0,2,LFP_10C_FUDS.csv,7021,2.9785919175573383e-08,True
