analysis_stage,condition,tier,architecture,head,feature,holdout,seed,temperature_C,MAE_pct,batch_size,source_file,variant,temperature_clamped,clamped_sample_fraction,network_weight_source,measurement_asset_source
review_defense_c4_zeroshot,all8_train_all8_test,c4,gru,plain_linear,T6,DST,0,-10.0,26.662500518285242,,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_DST.csv,measurement_adapted,False,0.0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_nmc/T6/DST/0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/DST/0
review_defense_c4_zeroshot,all8_train_all8_test,c4,gru,plain_linear,T6,DST,0,0.0,14.659616530682992,,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/prepared_data_ocv_discharge_soc/0C/LFP_0C_DST.csv,measurement_adapted,False,0.0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_nmc/T6/DST/0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/DST/0
review_defense_c4_zeroshot,all8_train_all8_test,c4,gru,plain_linear,T6,DST,0,10.0,8.682057383421888,,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/prepared_data_ocv_discharge_soc/10C/LFP_10C_DST.csv,measurement_adapted,False,0.0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_nmc/T6/DST/0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/DST/0
review_defense_c4_zeroshot,all8_train_all8_test,c4,gru,plain_linear,T6,DST,0,20.0,9.587666051717646,,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/prepared_data_ocv_discharge_soc/20C/LFP_20C_DST.csv,measurement_adapted,False,0.0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_nmc/T6/DST/0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/DST/0
review_defense_c4_zeroshot,all8_train_all8_test,c4,gru,plain_linear,T6,DST,0,25.0,10.352676898198231,,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/prepared_data_ocv_discharge_soc/25C/LFP_25C_DST.csv,measurement_adapted,False,0.0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_nmc/T6/DST/0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/DST/0
review_defense_c4_zeroshot,all8_train_all8_test,c4,gru,plain_linear,T6,DST,0,30.0,10.551879174919485,,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/prepared_data_ocv_discharge_soc/30C/LFP_30C_DST.csv,measurement_adapted,False,0.0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_nmc/T6/DST/0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/DST/0
review_defense_c4_zeroshot,all8_train_all8_test,c4,gru,plain_linear,T6,DST,0,40.0,10.935040950343456,,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/prepared_data_ocv_discharge_soc/40C/LFP_40C_DST.csv,measurement_adapted,False,0.0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_nmc/T6/DST/0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/DST/0
review_defense_c4_zeroshot,all8_train_all8_test,c4,gru,plain_linear,T6,DST,0,50.0,10.739506381409578,,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/prepared_data_ocv_discharge_soc/50C/LFP_50C_DST.csv,measurement_adapted,False,0.0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_nmc/T6/DST/0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/DST/0
review_defense_c4_zeroshot,all8_train_all8_test,c4,gru,plain_linear,T6,DST,1,-10.0,26.64554233319703,,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_DST.csv,measurement_adapted,False,0.0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_nmc/T6/DST/1,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/DST/1
review_defense_c4_zeroshot,all8_train_all8_test,c4,gru,plain_linear,T6,DST,1,0.0,14.511433784667313,,${SOURCE_WORKSPACE}/LFP_REMOTE_EXACT_COPY_20260713/DL/CEMA_LFP/lfp_confirmatory_minipanel/prepared_data_ocv_discharge_soc/0C/LFP_0C_DST.csv,measurement_adapted,False,0.0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_nmc/T6/DST/1,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/DST/1
