section,chemistry,metric,value,delta_from_clean
robustness,NMC,current_noise:I_sigma_0.5_pct_reading,0.32921658306587603,5.9024128594986625e-05
robustness,NMC,current_noise:I_sigma_1_pct_reading,0.329142806659401,-1.4752277880059061e-05
robustness,NMC,current_noise:I_sigma_2_pct_reading,0.32900104227894694,-0.00015651665833410489
robustness,NMC,voltage_noise:V_sigma_10_mV,0.34280982237804064,0.013652263440759593
robustness,NMC,voltage_noise:V_sigma_1_mV,0.32943320856195585,0.0002756496246748008
robustness,NMC,voltage_noise:V_sigma_2_mV,0.32941384496707005,0.00025628602978899906
robustness,NMC,voltage_noise:V_sigma_5_mV,0.33152802724874797,0.0023704683114669223
robustness,NMC,current_bias:I_bias_+10_mA,0.3510504614614939,0.02189290252421283
robustness,NMC,current_bias:I_bias_+20_mA,0.40704185585175073,0.07788429691446969
robustness,NMC,current_bias:I_bias_-10_mA,0.34293531884325684,0.013777759905975795
robustness,NMC,current_bias:I_bias_-20_mA,0.3888192538093341,0.05966169487205303
robustness,NMC,voltage_bias:V_bias_+10_mV,1.4879219530748113,1.1587643941375303
robustness,NMC,voltage_bias:V_bias_+1_mV,0.3513780221884602,0.022220463251179157
robustness,NMC,voltage_bias:V_bias_+2_mV,0.42092276677776175,0.0917652078404807
robustness,NMC,voltage_bias:V_bias_+5_mV,0.7638813452459127,0.4347237863086316
robustness,NMC,voltage_bias:V_bias_-10_mV,1.566869358742735,1.2377117998054539
robustness,NMC,voltage_bias:V_bias_-1_mV,0.3627398800930892,0.03358232115580817
robustness,NMC,voltage_bias:V_bias_-2_mV,0.44482676211500144,0.11566920317772039
robustness,NMC,voltage_bias:V_bias_-5_mV,0.8255232613667485,0.4963657024294674
robustness,NMC,r0_scale:r0_scale_0.5,3.3462993222695654,3.017141763332284
robustness,NMC,r0_scale:r0_scale_0.8,1.3675530258827986,1.0383954669455175
robustness,NMC,r0_scale:r0_scale_1.2,1.2756715804935244,0.9465140215562433
robustness,NMC,r0_scale:r0_scale_1.5,3.234964957647291,2.90580739871001
robustness,NMC,r0_scale:r0_scale_2,6.462582492750331,6.13342493381305
robustness,LFP,current_noise:I_sigma_0.5_pct_reading,0.6495198174963975,-0.00021404197152108395
robustness,LFP,current_noise:I_sigma_1_pct_reading,0.6497160826125571,-1.777685536152873e-05
robustness,LFP,current_noise:I_sigma_2_pct_reading,0.6532559221031471,0.0035220626352284734
robustness,LFP,voltage_noise:V_sigma_10_mV,0.6705924477684588,0.020858588300540215
robustness,LFP,voltage_noise:V_sigma_1_mV,0.6501009391654636,0.00036707969754501413
robustness,LFP,voltage_noise:V_sigma_2_mV,0.6515346650056456,0.0018008055377269905
robustness,LFP,voltage_noise:V_sigma_5_mV,0.6533450200626026,0.0036111605946840264
robustness,LFP,current_bias:I_bias_+10_mA,0.9371319451433562,0.28739808567543756
robustness,LFP,current_bias:I_bias_+20_mA,1.4870269603413386,0.83729310087342
robustness,LFP,current_bias:I_bias_-10_mA,0.9021115626693872,0.2523777032014686
robustness,LFP,current_bias:I_bias_-20_mA,1.4124853721043606,0.762751512636442
robustness,LFP,voltage_bias:V_bias_+10_mV,3.9536123928271163,3.303878533359198
robustness,LFP,voltage_bias:V_bias_+1_mV,0.7640827935464225,0.11434893407850388
robustness,LFP,voltage_bias:V_bias_+2_mV,1.0174282740657696,0.367694414597851
robustness,LFP,voltage_bias:V_bias_+5_mV,2.0446308555284727,1.3948969960605542
robustness,LFP,voltage_bias:V_bias_-10_mV,3.9690041265382336,3.319270267070315
robustness,LFP,voltage_bias:V_bias_-1_mV,0.7735371347258019,0.12380327525788326
robustness,LFP,voltage_bias:V_bias_-2_mV,1.05911287366431,0.40937901419639144
robustness,LFP,voltage_bias:V_bias_-5_mV,2.112819886904119,1.4630860274362005
robustness,LFP,r0_scale:r0_scale_0.5,14.614931732252499,13.96519787278458
robustness,LFP,r0_scale:r0_scale_0.8,6.507082238960367,5.857348379492448
robustness,LFP,r0_scale:r0_scale_1.2,6.652876559725827,6.003142700257908
robustness,LFP,r0_scale:r0_scale_1.5,15.888720344557306,15.238986485089388
robustness,LFP,r0_scale:r0_scale_2,28.142464387203844,27.492730527735926
mcu,LFP,network_latency_us_median,190935.198,
mcu,NMC,network_latency_us_median,190702.328,
