initial_condition,profile,temperature_C,n_samples,n_proposed_seeds,aligned
minus10pp,DST,-10.0,5235,10,True
minus10pp,DST,0.0,6671,10,True
minus10pp,DST,10.0,7031,10,True
minus10pp,DST,20.0,7254,10,True
minus10pp,DST,25.0,7319,10,True
minus10pp,DST,30.0,7391,10,True
minus10pp,DST,40.0,7397,10,True
minus10pp,DST,50.0,7415,10,True
minus10pp,FUDS,-10.0,5621,10,True
minus10pp,FUDS,0.0,6965,10,True
minus10pp,FUDS,10.0,7021,10,True
minus10pp,FUDS,20.0,7249,10,True
minus10pp,FUDS,25.0,7323,10,True
minus10pp,FUDS,30.0,7397,10,True
minus10pp,FUDS,40.0,7529,10,True
minus10pp,FUDS,50.0,7565,10,True
minus10pp,US06,-10.0,5051,10,True
minus10pp,US06,0.0,6234,10,True
minus10pp,US06,10.0,6727,10,True
minus10pp,US06,20.0,6849,10,True
minus10pp,US06,25.0,6908,10,True
minus10pp,US06,30.0,6953,10,True
minus10pp,US06,40.0,7095,10,True
minus10pp,US06,50.0,7116,10,True
minus5pp,DST,-10.0,5235,10,True
minus5pp,DST,0.0,6671,10,True
minus5pp,DST,10.0,7031,10,True
minus5pp,DST,20.0,7254,10,True
minus5pp,DST,25.0,7319,10,True
minus5pp,DST,30.0,7391,10,True
minus5pp,DST,40.0,7397,10,True
minus5pp,DST,50.0,7415,10,True
minus5pp,FUDS,-10.0,5621,10,True
minus5pp,FUDS,0.0,6965,10,True
minus5pp,FUDS,10.0,7021,10,True
minus5pp,FUDS,20.0,7249,10,True
minus5pp,FUDS,25.0,7323,10,True
minus5pp,FUDS,30.0,7397,10,True
minus5pp,FUDS,40.0,7529,10,True
minus5pp,FUDS,50.0,7565,10,True
minus5pp,US06,-10.0,5051,10,True
minus5pp,US06,0.0,6234,10,True
minus5pp,US06,10.0,6727,10,True
minus5pp,US06,20.0,6849,10,True
minus5pp,US06,25.0,6908,10,True
minus5pp,US06,30.0,6953,10,True
minus5pp,US06,40.0,7095,10,True
minus5pp,US06,50.0,7116,10,True
oracle,DST,-10.0,5235,10,True
oracle,DST,0.0,6671,10,True
oracle,DST,10.0,7031,10,True
oracle,DST,20.0,7254,10,True
oracle,DST,25.0,7319,10,True
oracle,DST,30.0,7391,10,True
oracle,DST,40.0,7397,10,True
oracle,DST,50.0,7415,10,True
oracle,FUDS,-10.0,5621,10,True
oracle,FUDS,0.0,6965,10,True
oracle,FUDS,10.0,7021,10,True
oracle,FUDS,20.0,7249,10,True
oracle,FUDS,25.0,7323,10,True
oracle,FUDS,30.0,7397,10,True
oracle,FUDS,40.0,7529,10,True
oracle,FUDS,50.0,7565,10,True
oracle,US06,-10.0,5051,10,True
oracle,US06,0.0,6234,10,True
oracle,US06,10.0,6727,10,True
oracle,US06,20.0,6849,10,True
oracle,US06,25.0,6908,10,True
oracle,US06,30.0,6953,10,True
oracle,US06,40.0,7095,10,True
oracle,US06,50.0,7116,10,True
