chemistry,feature,fold,path,seed,samples_compared,max_abs_diff,atol,deterministic_bit_identical,passed,status
lfp,T6,DST,T6/DST/0,0,55713,2.9801177969801532e-08,1e-06,True,True,PASS
lfp,T6,DST,T6/DST/1,1,55713,2.980041502453901e-08,1e-06,True,True,PASS
lfp,T6,DST,T6/DST/2,2,55713,2.980194091506405e-08,1e-06,True,True,PASS
lfp,T6,FUDS,T6/FUDS/0,0,56670,2.980041502453901e-08,1e-06,True,True,PASS
lfp,T6,FUDS,T6/FUDS/1,1,56670,2.980194091506405e-08,1e-06,True,True,PASS
lfp,T6,FUDS,T6/FUDS/2,2,56670,2.980194091506405e-08,1e-06,True,True,PASS
lfp,T6,US06,T6/US06/0,0,52933,7.307659150024294e-08,1e-06,True,True,PASS
lfp,T6,US06,T6/US06/1,1,52933,9.176385878939541e-08,1e-06,True,True,PASS
lfp,T6,US06,T6/US06/2,2,52933,5.493186951144313e-08,1e-06,True,True,PASS
nmc,T6,DST,T6/DST/0,0,31305,2.9798126188751443e-08,1e-06,True,True,PASS
nmc,T6,DST,T6/DST/1,1,31305,2.9796600298226398e-08,1e-06,True,True,PASS
nmc,T6,DST,T6/DST/2,2,31305,2.9801177969801532e-08,1e-06,True,True,PASS
nmc,T6,FUDS,T6/FUDS/0,0,32278,2.979049684714852e-08,1e-06,True,True,PASS
nmc,T6,FUDS,T6/FUDS/1,1,32278,2.9794311573461133e-08,1e-06,True,True,PASS
nmc,T6,FUDS,T6/FUDS/2,2,32278,2.980041502453901e-08,1e-06,True,True,PASS
nmc,T6,US06,T6/US06/0,0,30899,2.980041502453901e-08,1e-06,True,True,PASS
nmc,T6,US06,T6/US06/1,1,30899,3.1025447842780724e-08,1e-06,True,True,PASS
nmc,T6,US06,T6/US06/2,2,30899,2.9793548628198607e-08,1e-06,True,True,PASS
