model,precision,clock_mhz,n_reps,cycles_median,cycles_p90,cycles_max,us_median,us_p90,estimates_per_second,includes_preprocessing,chemistry,feature,fold,seed,status
nmc_t6plain_dst_s0,fp32,250.0,1024,47686137.0,47727178.0,47759887,190744.548,190908.712,5.242613801994487,False,NMC,T6PLAIN,DST,0,PASS
nmc_t6plain_dst_s1,fp32,250.0,1024,47683370.0,47734644.0,47767738,190733.48,190938.576,5.242918023621233,False,NMC,T6PLAIN,DST,1,PASS
nmc_t6plain_dst_s2,fp32,250.0,1024,47675582.0,47719744.0,47745671,190702.328,190878.976,5.243774475579554,False,NMC,T6PLAIN,DST,2,PASS
nmc_t6plain_fuds_s0,fp32,250.0,1024,47682570.0,47725796.0,47754190,190730.28,190903.184,5.243005987303118,False,NMC,T6PLAIN,FUDS,0,PASS
nmc_t6plain_fuds_s1,fp32,250.0,1024,47670474.5,47727456.0,47741856,190681.898,190909.824,5.244336302966735,False,NMC,T6PLAIN,FUDS,1,PASS
nmc_t6plain_fuds_s2,fp32,250.0,1024,47669001.0,47714349.0,47738532,190676.004,190857.396,5.24449841103236,False,NMC,T6PLAIN,FUDS,2,PASS
nmc_t6plain_us06_s0,fp32,250.0,1024,47678636.5,47714521.0,47736731,190714.546,190858.084,5.243438536670402,False,NMC,T6PLAIN,US06,0,PASS
nmc_t6plain_us06_s1,fp32,250.0,1024,47667300.0,47703970.0,47741239,190669.2,190815.88,5.244685560121929,False,NMC,T6PLAIN,US06,1,PASS
nmc_t6plain_us06_s2,fp32,250.0,1024,47666172.0,47702942.0,47734263,190664.688,190811.768,5.244809673409478,False,NMC,T6PLAIN,US06,2,PASS
lfp_t6plain_dst_s0,fp32,250.0,1024,47718805.5,47766009.0,47785870,190875.222,191064.036,5.239024685980457,False,LFP,T6PLAIN,DST,0,PASS
lfp_t6plain_dst_s1,fp32,250.0,1024,47737178.5,47779100.0,47803547,190948.714,191116.4,5.237008299516487,False,LFP,T6PLAIN,DST,1,PASS
lfp_t6plain_dst_s2,fp32,250.0,1024,47718479.0,47772637.0,47789610,190873.916,191090.548,5.2390605325035615,False,LFP,T6PLAIN,DST,2,PASS
lfp_t6plain_fuds_s0,fp32,250.0,1024,47728080.0,47759370.0,47779858,190912.32,191037.48,5.23800664095434,False,LFP,T6PLAIN,FUDS,0,PASS
lfp_t6plain_fuds_s1,fp32,250.0,1024,47739170.0,47770080.0,47799945,190956.68,191080.32,5.236789831075823,False,LFP,T6PLAIN,FUDS,1,PASS
lfp_t6plain_fuds_s2,fp32,250.0,1024,47740490.0,47766950.0,47793692,190961.96,191067.8,5.236645036529788,False,LFP,T6PLAIN,FUDS,2,PASS
lfp_t6plain_us06_s0,fp32,250.0,1024,47726777.0,47768572.0,47784562,190907.108,191074.288,5.238149645009551,False,LFP,T6PLAIN,US06,0,PASS
lfp_t6plain_us06_s1,fp32,250.0,1024,47743095.5,47774293.0,47794410,190972.382,191097.172,5.236359255339864,False,LFP,T6PLAIN,US06,1,PASS
lfp_t6plain_us06_s2,fp32,250.0,1024,47733799.5,47769801.0,47813725,190935.198,191079.204,5.237379019032415,False,LFP,T6PLAIN,US06,2,PASS
