model,precision,window_index,repeat_index,cycles,clock_hz
nmc_t6plain_dst_s0,fp32,0,0,47607304,250000000
nmc_t6plain_dst_s0,fp32,0,1,47607304,250000000
nmc_t6plain_dst_s0,fp32,0,2,47607304,250000000
nmc_t6plain_dst_s0,fp32,0,3,47607304,250000000
nmc_t6plain_dst_s0,fp32,0,4,47607304,250000000
nmc_t6plain_dst_s0,fp32,0,5,47607304,250000000
nmc_t6plain_dst_s0,fp32,0,6,47607304,250000000
nmc_t6plain_dst_s0,fp32,0,7,47607304,250000000
nmc_t6plain_dst_s0,fp32,0,8,47607304,250000000
nmc_t6plain_dst_s0,fp32,0,9,47607304,250000000
nmc_t6plain_dst_s0,fp32,0,10,47607304,250000000
nmc_t6plain_dst_s0,fp32,0,11,47607304,250000000
nmc_t6plain_dst_s0,fp32,0,12,47607304,250000000
nmc_t6plain_dst_s0,fp32,0,13,47607304,250000000
nmc_t6plain_dst_s0,fp32,0,14,47607304,250000000
nmc_t6plain_dst_s0,fp32,0,15,47607304,250000000
nmc_t6plain_dst_s0,fp32,1,0,47625630,250000000
nmc_t6plain_dst_s0,fp32,1,1,47625584,250000000
nmc_t6plain_dst_s0,fp32,1,2,47625584,250000000
nmc_t6plain_dst_s0,fp32,1,3,47625584,250000000
nmc_t6plain_dst_s0,fp32,1,4,47625584,250000000
nmc_t6plain_dst_s0,fp32,1,5,47625584,250000000
nmc_t6plain_dst_s0,fp32,1,6,47625584,250000000
nmc_t6plain_dst_s0,fp32,1,7,47625584,250000000
nmc_t6plain_dst_s0,fp32,1,8,47625584,250000000
nmc_t6plain_dst_s0,fp32,1,9,47625584,250000000
nmc_t6plain_dst_s0,fp32,1,10,47625584,250000000
nmc_t6plain_dst_s0,fp32,1,11,47625584,250000000
nmc_t6plain_dst_s0,fp32,1,12,47625584,250000000
nmc_t6plain_dst_s0,fp32,1,13,47625584,250000000
nmc_t6plain_dst_s0,fp32,1,14,47625584,250000000
nmc_t6plain_dst_s0,fp32,1,15,47625584,250000000
nmc_t6plain_dst_s0,fp32,2,0,47645263,250000000
nmc_t6plain_dst_s0,fp32,2,1,47645215,250000000
nmc_t6plain_dst_s0,fp32,2,2,47645215,250000000
nmc_t6plain_dst_s0,fp32,2,3,47645215,250000000
nmc_t6plain_dst_s0,fp32,2,4,47645215,250000000
nmc_t6plain_dst_s0,fp32,2,5,47645215,250000000
nmc_t6plain_dst_s0,fp32,2,6,47645215,250000000
nmc_t6plain_dst_s0,fp32,2,7,47645215,250000000
nmc_t6plain_dst_s0,fp32,2,8,47645215,250000000
nmc_t6plain_dst_s0,fp32,2,9,47645215,250000000
nmc_t6plain_dst_s0,fp32,2,10,47645215,250000000
