model,precision,flash_model_bytes,flash_total_bytes,ram_arena_bytes,ram_window_buffer_bytes,ram_other_bytes,ram_total_bytes,evidence,chemistry,feature,fold,seed,flash_increment_vs_base_bytes,ram_increment_vs_base_bytes,stack_highwater_bytes,status
nmc_t6plain_dst_s0,fp32,403476,448820,54784,1800,25296,81880,firmware/h563_bench/Build/nmc_t6plain_dst_s0/cema_h563_bench.map;firmware/h563_bench/Build/nmc_t6plain_dst_s0/size.txt;stedgeai/models/nmc_t6plain_dst_s0/output/cema_generate_report.txt,NMC,T6PLAIN,DST,0,428616,69400,864,PASS
nmc_t6plain_dst_s1,fp32,403476,448820,54784,1800,25296,81880,firmware/h563_bench/Build/nmc_t6plain_dst_s1/cema_h563_bench.map;firmware/h563_bench/Build/nmc_t6plain_dst_s1/size.txt;stedgeai/models/nmc_t6plain_dst_s1/output/cema_generate_report.txt,NMC,T6PLAIN,DST,1,428616,69400,864,PASS
nmc_t6plain_dst_s2,fp32,403476,448820,54784,1800,25296,81880,firmware/h563_bench/Build/nmc_t6plain_dst_s2/cema_h563_bench.map;firmware/h563_bench/Build/nmc_t6plain_dst_s2/size.txt;stedgeai/models/nmc_t6plain_dst_s2/output/cema_generate_report.txt,NMC,T6PLAIN,DST,2,428616,69400,864,PASS
nmc_t6plain_fuds_s0,fp32,403476,448820,54784,1800,25296,81880,firmware/h563_bench/Build/nmc_t6plain_fuds_s0/cema_h563_bench.map;firmware/h563_bench/Build/nmc_t6plain_fuds_s0/size.txt;stedgeai/models/nmc_t6plain_fuds_s0/output/cema_generate_report.txt,NMC,T6PLAIN,FUDS,0,428616,69400,864,PASS
nmc_t6plain_fuds_s1,fp32,403476,448820,54784,1800,25296,81880,firmware/h563_bench/Build/nmc_t6plain_fuds_s1/cema_h563_bench.map;firmware/h563_bench/Build/nmc_t6plain_fuds_s1/size.txt;stedgeai/models/nmc_t6plain_fuds_s1/output/cema_generate_report.txt,NMC,T6PLAIN,FUDS,1,428616,69400,864,PASS
nmc_t6plain_fuds_s2,fp32,403476,448820,54784,1800,25296,81880,firmware/h563_bench/Build/nmc_t6plain_fuds_s2/cema_h563_bench.map;firmware/h563_bench/Build/nmc_t6plain_fuds_s2/size.txt;stedgeai/models/nmc_t6plain_fuds_s2/output/cema_generate_report.txt,NMC,T6PLAIN,FUDS,2,428616,69400,864,PASS
nmc_t6plain_us06_s0,fp32,403476,448820,54784,1800,25296,81880,firmware/h563_bench/Build/nmc_t6plain_us06_s0/cema_h563_bench.map;firmware/h563_bench/Build/nmc_t6plain_us06_s0/size.txt;stedgeai/models/nmc_t6plain_us06_s0/output/cema_generate_report.txt,NMC,T6PLAIN,US06,0,428616,69400,864,PASS
nmc_t6plain_us06_s1,fp32,403476,448820,54784,1800,25296,81880,firmware/h563_bench/Build/nmc_t6plain_us06_s1/cema_h563_bench.map;firmware/h563_bench/Build/nmc_t6plain_us06_s1/size.txt;stedgeai/models/nmc_t6plain_us06_s1/output/cema_generate_report.txt,NMC,T6PLAIN,US06,1,428616,69400,864,PASS
nmc_t6plain_us06_s2,fp32,403476,448820,54784,1800,25296,81880,firmware/h563_bench/Build/nmc_t6plain_us06_s2/cema_h563_bench.map;firmware/h563_bench/Build/nmc_t6plain_us06_s2/size.txt;stedgeai/models/nmc_t6plain_us06_s2/output/cema_generate_report.txt,NMC,T6PLAIN,US06,2,428616,69400,864,PASS
lfp_t6plain_dst_s0,fp32,403476,448820,54784,1800,25296,81880,firmware/h563_bench/Build/lfp_t6plain_dst_s0/cema_h563_bench.map;firmware/h563_bench/Build/lfp_t6plain_dst_s0/size.txt;stedgeai/models/lfp_t6plain_dst_s0/output/cema_generate_report.txt,LFP,T6PLAIN,DST,0,428616,69400,864,PASS
lfp_t6plain_dst_s1,fp32,403476,448820,54784,1800,25296,81880,firmware/h563_bench/Build/lfp_t6plain_dst_s1/cema_h563_bench.map;firmware/h563_bench/Build/lfp_t6plain_dst_s1/size.txt;stedgeai/models/lfp_t6plain_dst_s1/output/cema_generate_report.txt,LFP,T6PLAIN,DST,1,428616,69400,864,PASS
lfp_t6plain_dst_s2,fp32,403476,448820,54784,1800,25296,81880,firmware/h563_bench/Build/lfp_t6plain_dst_s2/cema_h563_bench.map;firmware/h563_bench/Build/lfp_t6plain_dst_s2/size.txt;stedgeai/models/lfp_t6plain_dst_s2/output/cema_generate_report.txt,LFP,T6PLAIN,DST,2,428616,69400,864,PASS
lfp_t6plain_fuds_s0,fp32,403476,448820,54784,1800,25296,81880,firmware/h563_bench/Build/lfp_t6plain_fuds_s0/cema_h563_bench.map;firmware/h563_bench/Build/lfp_t6plain_fuds_s0/size.txt;stedgeai/models/lfp_t6plain_fuds_s0/output/cema_generate_report.txt,LFP,T6PLAIN,FUDS,0,428616,69400,864,PASS
