model,precision,n_windows,max_abs_diff_pct,mean_abs_diff_pct,transport,chemistry,feature,fold,seed,status
nmc_t6plain_dst_s0,fp32,64,1.4901161193847656e-05,2.9045622795820236e-06,UART3 ST-LINK VCP 921600 8N1 little-endian float32,NMC,T6PLAIN,DST,0,PASS
nmc_t6plain_dst_s1,fp32,64,1.4156103134155273e-05,3.905734047293663e-06,UART3 ST-LINK VCP 921600 8N1 little-endian float32,NMC,T6PLAIN,DST,1,PASS
nmc_t6plain_dst_s2,fp32,64,1.1920928955078125e-05,3.3993273973464966e-06,UART3 ST-LINK VCP 921600 8N1 little-endian float32,NMC,T6PLAIN,DST,2,PASS
nmc_t6plain_fuds_s0,fp32,64,1.4901161193847656e-05,3.576860763132572e-06,UART3 ST-LINK VCP 921600 8N1 little-endian float32,NMC,T6PLAIN,FUDS,0,PASS
nmc_t6plain_fuds_s1,fp32,64,1.1920928955078125e-05,3.780587576329708e-06,UART3 ST-LINK VCP 921600 8N1 little-endian float32,NMC,T6PLAIN,FUDS,1,PASS
nmc_t6plain_fuds_s2,fp32,64,1.1920928955078125e-05,3.6117853596806526e-06,UART3 ST-LINK VCP 921600 8N1 little-endian float32,NMC,T6PLAIN,FUDS,2,PASS
nmc_t6plain_us06_s0,fp32,64,1.1920928955078125e-05,3.809691406786442e-06,UART3 ST-LINK VCP 921600 8N1 little-endian float32,NMC,T6PLAIN,US06,0,PASS
nmc_t6plain_us06_s1,fp32,64,1.1920928955078125e-05,3.0820956453680992e-06,UART3 ST-LINK VCP 921600 8N1 little-endian float32,NMC,T6PLAIN,US06,1,PASS
nmc_t6plain_us06_s2,fp32,64,1.1920928955078125e-05,3.183959051966667e-06,UART3 ST-LINK VCP 921600 8N1 little-endian float32,NMC,T6PLAIN,US06,2,PASS
lfp_t6plain_dst_s0,fp32,64,1.1920928955078125e-05,3.7049176171422005e-06,UART3 ST-LINK VCP 921600 8N1 little-endian float32,LFP,T6PLAIN,DST,0,PASS
lfp_t6plain_dst_s1,fp32,64,1.1920928955078125e-05,3.3614924177527428e-06,UART3 ST-LINK VCP 921600 8N1 little-endian float32,LFP,T6PLAIN,DST,1,PASS
lfp_t6plain_dst_s2,fp32,64,1.1920928955078125e-05,3.984314389526844e-06,UART3 ST-LINK VCP 921600 8N1 little-endian float32,LFP,T6PLAIN,DST,2,PASS
lfp_t6plain_fuds_s0,fp32,64,1.1920928955078125e-05,3.4400727599859238e-06,UART3 ST-LINK VCP 921600 8N1 little-endian float32,LFP,T6PLAIN,FUDS,0,PASS
lfp_t6plain_fuds_s1,fp32,64,1.1920928955078125e-05,4.062894731760025e-06,UART3 ST-LINK VCP 921600 8N1 little-endian float32,LFP,T6PLAIN,FUDS,1,PASS
lfp_t6plain_fuds_s2,fp32,64,1.7881393432617188e-05,3.978493623435497e-06,UART3 ST-LINK VCP 921600 8N1 little-endian float32,LFP,T6PLAIN,FUDS,2,PASS
lfp_t6plain_us06_s0,fp32,64,1.1920928955078125e-05,3.707828000187874e-06,UART3 ST-LINK VCP 921600 8N1 little-endian float32,LFP,T6PLAIN,US06,0,PASS
lfp_t6plain_us06_s1,fp32,64,1.1920928955078125e-05,3.65253072232008e-06,UART3 ST-LINK VCP 921600 8N1 little-endian float32,LFP,T6PLAIN,US06,1,PASS
lfp_t6plain_us06_s2,fp32,64,1.1920928955078125e-05,3.442983143031597e-06,UART3 ST-LINK VCP 921600 8N1 little-endian float32,LFP,T6PLAIN,US06,2,PASS
