chemistry,feature,fold,seed,onnx_file,sha256,opset,static_shape,rewrites_applied,graph_kind
NMC,T6PLAIN,DST,0,onnx/nmc_t6plain_dst_s0_static.onnx,162a770814a67d9b83534b140b9db3660706f89eea508e2e655d47526b0688fb,17,"[1, 50, 9]",none,static
NMC,T6PLAIN,DST,1,onnx/nmc_t6plain_dst_s1_static.onnx,b6113e258ed9aa15db55ce8ecfe58fc200196eb719b9ac3008d5ac789e379b81,17,"[1, 50, 9]",none,static
NMC,T6PLAIN,DST,2,onnx/nmc_t6plain_dst_s2_static.onnx,7979844f662ae314d84de9bc20e9d34b04bfb61d9d3a8dc78aae0dfc4543bef5,17,"[1, 50, 9]",none,static
NMC,T6PLAIN,FUDS,0,onnx/nmc_t6plain_fuds_s0_static.onnx,03028e84bdf38e8ab2327abb561c965ff4b4f8bd48aca239e46a5a99083164a6,17,"[1, 50, 9]",none,static
NMC,T6PLAIN,FUDS,1,onnx/nmc_t6plain_fuds_s1_static.onnx,775d7e4a1c3284b64663c2e90025135b1d1ae47da85475cbe6aeaf794ba899e4,17,"[1, 50, 9]",none,static
NMC,T6PLAIN,FUDS,2,onnx/nmc_t6plain_fuds_s2_static.onnx,32cb949aa70725cbe307a72c2b638a0434b3da55b1f30098d750d3e87297b65a,17,"[1, 50, 9]",none,static
NMC,T6PLAIN,US06,0,onnx/nmc_t6plain_us06_s0_static.onnx,1a400a13c0970d6e90fb95d3a251820aacc5b28639d32f38004c0e88da70a4ad,17,"[1, 50, 9]",none,static
NMC,T6PLAIN,US06,1,onnx/nmc_t6plain_us06_s1_static.onnx,d37f26965cbea2eac3eef933799a4939c063c81442dd5c58a8224b16bfa984b2,17,"[1, 50, 9]",none,static
NMC,T6PLAIN,US06,2,onnx/nmc_t6plain_us06_s2_static.onnx,59b87a45a0dfa04e8bead4d2ead48f28cbd6596319e2423f62764532d8c94ce3,17,"[1, 50, 9]",none,static
LFP,T6PLAIN,DST,0,onnx/lfp_t6plain_dst_s0_static.onnx,d0c150c62e7bfa3b9e127545f53149b2395466a8f4801012c018735ddf4ffb4e,17,"[1, 50, 9]",none,static
LFP,T6PLAIN,DST,1,onnx/lfp_t6plain_dst_s1_static.onnx,05947f250fe558e422bba1ce25a26d8ed62fcc24cbac0ed6a15bb37b26fe8b32,17,"[1, 50, 9]",none,static
LFP,T6PLAIN,DST,2,onnx/lfp_t6plain_dst_s2_static.onnx,96ad4e23b76ebeb54188f6883457a324f1bdeb93ad23bfe7b07e93beb22c1f9d,17,"[1, 50, 9]",none,static
LFP,T6PLAIN,FUDS,0,onnx/lfp_t6plain_fuds_s0_static.onnx,94959a3170ba500326028c6b51799462fd7ac6f2beb3ec101becaa412784d737,17,"[1, 50, 9]",none,static
LFP,T6PLAIN,FUDS,1,onnx/lfp_t6plain_fuds_s1_static.onnx,5d66cb9da690154874136893124fb1e0f42e17a47777a2015801f0647d23bdcc,17,"[1, 50, 9]",none,static
LFP,T6PLAIN,FUDS,2,onnx/lfp_t6plain_fuds_s2_static.onnx,2e53d2715c89563d84f5a127108b64e170a44d4715ba2b55fd3bafdf03eb4d5f,17,"[1, 50, 9]",none,static
LFP,T6PLAIN,US06,0,onnx/lfp_t6plain_us06_s0_static.onnx,d13be44abf20e9090fe1e690a0b6e2c8a179e3e18126c4d6db869de1ba6761e8,17,"[1, 50, 9]",none,static
LFP,T6PLAIN,US06,1,onnx/lfp_t6plain_us06_s1_static.onnx,01cc074982a873c609309400a2cf0440c9f4a38b949cffed27f22834b642e00e,17,"[1, 50, 9]",none,static
LFP,T6PLAIN,US06,2,onnx/lfp_t6plain_us06_s2_static.onnx,5dfea4948749a1b24fd6b8abae5d9c9fe8b51ff6a8ac578d03e8e6be0fb6448b,17,"[1, 50, 9]",none,static
