chemistry,feature,fold,seed,n_pred_samples,record_max_abs_pct,record_mean_abs_pct,mae_torch_pct,mae_onnx_pct,delta_mae_pct,status,static_vs_dynamic_64_max_abs_pct
NMC,T6PLAIN,DST,0,31305,2.086162567138672e-05,3.152198921737342e-06,0.2962692283990478,0.29626919478159014,-3.3617457602386214e-08,PASS,0.0
NMC,T6PLAIN,DST,1,31305,2.384185791015625e-05,3.2871804513826175e-06,0.2643908038458512,0.26439117594648154,3.721006303861879e-07,PASS,0.0
NMC,T6PLAIN,DST,2,31305,2.384185791015625e-05,3.5000057327844452e-06,0.28992309240435793,0.2899236237922373,5.313878793586357e-07,PASS,0.0
NMC,T6PLAIN,FUDS,0,32278,2.086162567138672e-05,3.171840360508997e-06,0.4208646266157853,0.42086489511183056,2.6849604527548476e-07,PASS,0.0
NMC,T6PLAIN,FUDS,1,32278,2.384185791015625e-05,3.3042071565715153e-06,0.36121378200575005,0.3612136631306956,-1.1887505446152302e-07,PASS,0.0
NMC,T6PLAIN,FUDS,2,32278,2.384185791015625e-05,3.515493139265431e-06,0.325015461731477,0.3250153724482322,-8.9283244773114e-08,PASS,0.0
NMC,T6PLAIN,US06,0,30899,2.086162567138672e-05,3.118711426989647e-06,0.3085905968405666,0.30859045945673264,-1.3738383399658494e-07,PASS,0.0
NMC,T6PLAIN,US06,1,30899,2.384185791015625e-05,3.264315915596154e-06,0.4310290614923036,0.43102897551850144,-8.597380212263528e-08,PASS,0.0
NMC,T6PLAIN,US06,2,30899,2.384185791015625e-05,3.5066665513271878e-06,0.30218180377098003,0.30218163891093575,-1.648600442792636e-07,PASS,0.0
LFP,T6PLAIN,DST,0,55713,2.086162567138672e-05,3.4199245490043225e-06,0.4707496620106664,0.4707498392817409,1.7727107446893764e-07,PASS,0.0
LFP,T6PLAIN,DST,1,55713,2.9802322387695312e-05,3.675675928360524e-06,0.537493142267718,0.5374931628289294,2.0561211327291273e-08,PASS,0.0
LFP,T6PLAIN,DST,2,55713,2.384185791015625e-05,3.609355156143457e-06,0.4284286630677092,0.42842877359341414,1.1052570490777125e-07,PASS,0.0
LFP,T6PLAIN,FUDS,0,56670,2.384185791015625e-05,3.4606908235218405e-06,0.712221448276414,0.712221772479219,3.242028049667278e-07,PASS,0.0
LFP,T6PLAIN,FUDS,1,56670,2.9802322387695312e-05,3.6584263664506106e-06,0.6720058726956158,0.6720061250141194,2.5231850350401763e-07,PASS,0.0
LFP,T6PLAIN,FUDS,2,56670,2.384185791015625e-05,3.5719795161419408e-06,0.7015869988893366,0.7015871152956197,1.1640628305026324e-07,PASS,0.0
LFP,T6PLAIN,US06,0,52933,2.384185791015625e-05,3.4351521656442183e-06,0.6634169117581559,0.6634165112540841,-4.00504071747243e-07,PASS,0.0
LFP,T6PLAIN,US06,1,52933,2.384185791015625e-05,3.6413264651144756e-06,0.654229855184729,0.6542294621371496,-3.930475794659827e-07,PASS,0.0
LFP,T6PLAIN,US06,2,52933,2.384185791015625e-05,3.5883287158983577e-06,0.6346067415489282,0.6346063625522094,-3.7899671881738706e-07,PASS,0.0
