model,precision,sample_index,repeat_index,total_cycles,network_cycles,preprocessing_window_cycles,clock_hz
nmc_t6plain_dst_s0,fp32,59,0,47942594,47919514,23080,250000000
nmc_t6plain_dst_s0,fp32,60,1,47942536,47919456,23080,250000000
nmc_t6plain_dst_s0,fp32,61,2,47942400,47919320,23080,250000000
nmc_t6plain_dst_s0,fp32,62,3,47942234,47919154,23080,250000000
nmc_t6plain_dst_s0,fp32,63,4,47942443,47919363,23080,250000000
nmc_t6plain_dst_s0,fp32,64,5,47942461,47919384,23077,250000000
nmc_t6plain_dst_s0,fp32,65,6,47942314,47919240,23074,250000000
nmc_t6plain_dst_s0,fp32,66,7,47942504,47919429,23075,250000000
nmc_t6plain_dst_s0,fp32,67,8,47942651,47919576,23075,250000000
nmc_t6plain_dst_s0,fp32,68,9,47942672,47919598,23074,250000000
nmc_t6plain_dst_s0,fp32,69,10,47942833,47919767,23066,250000000
nmc_t6plain_dst_s0,fp32,70,11,47942894,47919828,23066,250000000
nmc_t6plain_dst_s0,fp32,71,12,47943123,47920048,23075,250000000
nmc_t6plain_dst_s0,fp32,72,13,47943249,47920174,23075,250000000
nmc_t6plain_dst_s0,fp32,73,14,47943726,47920651,23075,250000000
nmc_t6plain_dst_s0,fp32,74,15,47943907,47920832,23075,250000000
nmc_t6plain_dst_s0,fp32,75,16,47944125,47921051,23074,250000000
nmc_t6plain_dst_s0,fp32,76,17,47944335,47921261,23074,250000000
nmc_t6plain_dst_s0,fp32,77,18,47944576,47921501,23075,250000000
nmc_t6plain_dst_s0,fp32,78,19,47944758,47921684,23074,250000000
nmc_t6plain_dst_s0,fp32,79,20,47944980,47921903,23077,250000000
nmc_t6plain_dst_s0,fp32,80,21,47945134,47922052,23082,250000000
nmc_t6plain_dst_s0,fp32,81,22,47945266,47922191,23075,250000000
nmc_t6plain_dst_s0,fp32,82,23,47945615,47922540,23075,250000000
nmc_t6plain_dst_s0,fp32,83,24,47945928,47922853,23075,250000000
nmc_t6plain_dst_s0,fp32,84,25,47945928,47922853,23075,250000000
nmc_t6plain_dst_s0,fp32,85,26,47945853,47922778,23075,250000000
nmc_t6plain_dst_s0,fp32,86,27,47946030,47922955,23075,250000000
nmc_t6plain_dst_s0,fp32,87,28,47945924,47922849,23075,250000000
nmc_t6plain_dst_s0,fp32,88,29,47946192,47923117,23075,250000000
nmc_t6plain_dst_s0,fp32,89,30,47946076,47923001,23075,250000000
nmc_t6plain_dst_s0,fp32,90,31,47946149,47923074,23075,250000000
nmc_t6plain_dst_s0,fp32,91,32,47946498,47923416,23082,250000000
nmc_t6plain_dst_s0,fp32,92,33,47946409,47923325,23084,250000000
nmc_t6plain_dst_s0,fp32,93,34,47946214,47923139,23075,250000000
nmc_t6plain_dst_s0,fp32,94,35,47946287,47923212,23075,250000000
nmc_t6plain_dst_s0,fp32,95,36,47946236,47923161,23075,250000000
nmc_t6plain_dst_s0,fp32,96,37,47946219,47923144,23075,250000000
nmc_t6plain_dst_s0,fp32,97,38,47946270,47923195,23075,250000000
nmc_t6plain_dst_s0,fp32,98,39,47946598,47923516,23082,250000000
nmc_t6plain_dst_s0,fp32,99,40,47946909,47923834,23075,250000000
nmc_t6plain_dst_s0,fp32,100,41,47946934,47923859,23075,250000000
nmc_t6plain_dst_s0,fp32,101,42,47946950,47923875,23075,250000000
nmc_t6plain_dst_s0,fp32,102,43,47947122,47924047,23075,250000000
nmc_t6plain_dst_s0,fp32,103,44,47946841,47923766,23075,250000000
nmc_t6plain_dst_s0,fp32,104,45,47946578,47923503,23075,250000000
nmc_t6plain_dst_s0,fp32,105,46,47946727,47923652,23075,250000000
nmc_t6plain_dst_s0,fp32,106,47,47947127,47924052,23075,250000000
nmc_t6plain_dst_s0,fp32,107,48,47947552,47924477,23075,250000000
nmc_t6plain_dst_s0,fp32,108,49,47947916,47924841,23075,250000000
nmc_t6plain_dst_s0,fp32,109,50,47948108,47925033,23075,250000000
nmc_t6plain_dst_s0,fp32,110,51,47948469,47925394,23075,250000000
nmc_t6plain_dst_s0,fp32,111,52,47948861,47925786,23075,250000000
nmc_t6plain_dst_s0,fp32,112,53,47949179,47926104,23075,250000000
nmc_t6plain_dst_s0,fp32,113,54,47949296,47926221,23075,250000000
nmc_t6plain_dst_s0,fp32,114,55,47949393,47926318,23075,250000000
nmc_t6plain_dst_s0,fp32,115,56,47949297,47926222,23075,250000000
nmc_t6plain_dst_s0,fp32,116,57,47949145,47926070,23075,250000000
nmc_t6plain_dst_s0,fp32,117,58,47949264,47926189,23075,250000000
nmc_t6plain_dst_s0,fp32,118,59,47949382,47926307,23075,250000000
nmc_t6plain_dst_s0,fp32,119,60,47949626,47926551,23075,250000000
nmc_t6plain_dst_s0,fp32,120,61,47949752,47926677,23075,250000000
nmc_t6plain_dst_s0,fp32,121,62,47949619,47926544,23075,250000000
nmc_t6plain_dst_s0,fp32,122,63,47949768,47926693,23075,250000000
nmc_t6plain_dst_s0,fp32,123,64,47950027,47926952,23075,250000000
