model,temperature_C,sample_index,expected_onnx_boundary_fraction,mcu_fraction,abs_diff_pct,total_cycles,network_cycles
nmc_t6plain_dst_s0,0,49,0.85519904,0.8551989,1.1920928955078123e-05,47931346,47919507
nmc_t6plain_dst_s0,0,50,0.85503674,0.85503674,0.0,47942111,47919036
nmc_t6plain_dst_s0,0,51,0.8548706,0.8548706,0.0,47941916,47918841
nmc_t6plain_dst_s0,0,52,0.8547007,0.8547006,5.960464477539063e-06,47941783,47918708
nmc_t6plain_dst_s0,0,53,0.854529,0.8545289,1.1920928955078123e-05,47941794,47918719
nmc_t6plain_dst_s0,0,54,0.85435414,0.8543541,5.960464477539063e-06,47941860,47918785
nmc_t6plain_dst_s0,0,55,0.8541791,0.854179,5.960464477539063e-06,47941958,47918883
nmc_t6plain_dst_s0,0,56,0.85384154,0.8538414,1.1920928955078123e-05,47942265,47919201
nmc_t6plain_dst_s0,0,57,0.8533734,0.85337347,5.960464477539063e-06,47942490,47919426
nmc_t6plain_dst_s0,0,58,0.85311973,0.8531197,5.960464477539063e-06,47942563,47919492
nmc_t6plain_dst_s0,0,59,0.85296565,0.8529656,5.960464477539063e-06,47942594,47919514
nmc_t6plain_dst_s0,0,60,0.85285807,0.85285807,0.0,47942536,47919456
nmc_t6plain_dst_s0,0,61,0.85277975,0.8527797,5.960464477539063e-06,47942400,47919320
nmc_t6plain_dst_s0,0,62,0.85272396,0.85272396,0.0,47942234,47919154
nmc_t6plain_dst_s0,0,63,0.85268545,0.85268545,0.0,47942443,47919363
nmc_t6plain_dst_s0,0,64,0.852807,0.8528069,5.960464477539063e-06,47942461,47919384
nmc_t6plain_dst_s0,0,65,0.8528739,0.85287386,5.960464477539063e-06,47942314,47919240
nmc_t6plain_dst_s0,0,66,0.85285294,0.8528531,1.7881393432617188e-05,47942504,47919429
nmc_t6plain_dst_s0,0,67,0.8528203,0.85282034,5.960464477539063e-06,47942651,47919576
nmc_t6plain_dst_s0,0,68,0.85278344,0.85278344,0.0,47942672,47919598
nmc_t6plain_dst_s0,0,69,0.8527432,0.85274327,5.960464477539063e-06,47942833,47919767
nmc_t6plain_dst_s0,0,70,0.8527026,0.85270256,5.960464477539063e-06,47942894,47919828
nmc_t6plain_dst_s0,25,49,0.8428608,0.84286076,5.960464477539063e-06,47936099,47923733
nmc_t6plain_dst_s0,25,50,0.84266955,0.8426695,5.960464477539063e-06,47948011,47924208
nmc_t6plain_dst_s0,25,51,0.8424779,0.8424779,0.0,47948307,47924504
nmc_t6plain_dst_s0,25,52,0.84228694,0.84228694,0.0,47948596,47924793
nmc_t6plain_dst_s0,25,53,0.84209526,0.8420953,5.960464477539063e-06,47948782,47924979
nmc_t6plain_dst_s0,25,54,0.8419033,0.84190345,1.1920928955078123e-05,47949036,47925233
nmc_t6plain_dst_s0,25,55,0.8417122,0.8417121,5.960464477539063e-06,47949371,47925568
nmc_t6plain_dst_s0,25,56,0.84190226,0.8419022,5.960464477539063e-06,47949585,47925783
nmc_t6plain_dst_s0,25,57,0.8417285,0.8417285,0.0,47949904,47926102
nmc_t6plain_dst_s0,25,58,0.84163713,0.8416372,5.960464477539063e-06,47950161,47926352
nmc_t6plain_dst_s0,25,59,0.841595,0.841595,0.0,47950171,47926360
nmc_t6plain_dst_s0,25,60,0.8415921,0.8415921,0.0,47950273,47926471
nmc_t6plain_dst_s0,25,61,0.8416163,0.8416163,0.0,47950385,47926583
nmc_t6plain_dst_s0,25,62,0.84165096,0.84165084,1.1920928955078123e-05,47950462,47926660
nmc_t6plain_dst_s0,25,63,0.8416959,0.8416958,1.1920928955078123e-05,47950586,47926784
nmc_t6plain_dst_s0,25,64,0.8417088,0.8417088,0.0,47950243,47926438
nmc_t6plain_dst_s0,25,65,0.8417496,0.8417496,0.0,47950110,47926307
nmc_t6plain_dst_s0,25,66,0.8417138,0.8417138,0.0,47950100,47926297
nmc_t6plain_dst_s0,25,67,0.8416606,0.8416607,5.960464477539063e-06,47950120,47926317
nmc_t6plain_dst_s0,25,68,0.8415936,0.8415936,0.0,47949975,47926172
nmc_t6plain_dst_s0,25,69,0.8415146,0.8415146,0.0,47950013,47926210
nmc_t6plain_dst_s0,25,70,0.8414346,0.8414346,0.0,47950169,47926366
nmc_t6plain_dst_s0,45,49,0.85667586,0.8566758,5.960464477539063e-06,47911320,47899481
nmc_t6plain_dst_s0,45,50,0.8564806,0.8564806,0.0,47922765,47899692
