chemistry,feature,fold,seed,model_id,status,rewrites_applied,precision,target,optimization,compression,macc,weights_bytes,activations_bytes,runtime_flash_bytes,runtime_ram_bytes,toolchain_flash_bytes,toolchain_ram_bytes,input_bytes,report,log
NMC,T6PLAIN,DST,0,nmc_t6plain_dst_s0,PASS,none,fp32,stm32h5,time,lossless,5148250,403476,54784,0,0,0,0,1800,stedgeai/models/nmc_t6plain_dst_s0/output/cema_generate_report.txt,stedgeai/models/nmc_t6plain_dst_s0/generate.log
NMC,T6PLAIN,DST,1,nmc_t6plain_dst_s1,PASS,none,fp32,stm32h5,time,lossless,5148250,403476,54784,0,0,0,0,1800,stedgeai/models/nmc_t6plain_dst_s1/output/cema_generate_report.txt,stedgeai/models/nmc_t6plain_dst_s1/generate.log
NMC,T6PLAIN,DST,2,nmc_t6plain_dst_s2,PASS,none,fp32,stm32h5,time,lossless,5148250,403476,54784,0,0,0,0,1800,stedgeai/models/nmc_t6plain_dst_s2/output/cema_generate_report.txt,stedgeai/models/nmc_t6plain_dst_s2/generate.log
NMC,T6PLAIN,FUDS,0,nmc_t6plain_fuds_s0,PASS,none,fp32,stm32h5,time,lossless,5148250,403476,54784,0,0,0,0,1800,stedgeai/models/nmc_t6plain_fuds_s0/output/cema_generate_report.txt,stedgeai/models/nmc_t6plain_fuds_s0/generate.log
NMC,T6PLAIN,FUDS,1,nmc_t6plain_fuds_s1,PASS,none,fp32,stm32h5,time,lossless,5148250,403476,54784,0,0,0,0,1800,stedgeai/models/nmc_t6plain_fuds_s1/output/cema_generate_report.txt,stedgeai/models/nmc_t6plain_fuds_s1/generate.log
NMC,T6PLAIN,FUDS,2,nmc_t6plain_fuds_s2,PASS,none,fp32,stm32h5,time,lossless,5148250,403476,54784,0,0,0,0,1800,stedgeai/models/nmc_t6plain_fuds_s2/output/cema_generate_report.txt,stedgeai/models/nmc_t6plain_fuds_s2/generate.log
NMC,T6PLAIN,US06,0,nmc_t6plain_us06_s0,PASS,none,fp32,stm32h5,time,lossless,5148250,403476,54784,0,0,0,0,1800,stedgeai/models/nmc_t6plain_us06_s0/output/cema_generate_report.txt,stedgeai/models/nmc_t6plain_us06_s0/generate.log
NMC,T6PLAIN,US06,1,nmc_t6plain_us06_s1,PASS,none,fp32,stm32h5,time,lossless,5148250,403476,54784,0,0,0,0,1800,stedgeai/models/nmc_t6plain_us06_s1/output/cema_generate_report.txt,stedgeai/models/nmc_t6plain_us06_s1/generate.log
NMC,T6PLAIN,US06,2,nmc_t6plain_us06_s2,PASS,none,fp32,stm32h5,time,lossless,5148250,403476,54784,0,0,0,0,1800,stedgeai/models/nmc_t6plain_us06_s2/output/cema_generate_report.txt,stedgeai/models/nmc_t6plain_us06_s2/generate.log
LFP,T6PLAIN,DST,0,lfp_t6plain_dst_s0,PASS,none,fp32,stm32h5,time,lossless,5148250,403476,54784,0,0,0,0,1800,stedgeai/models/lfp_t6plain_dst_s0/output/cema_generate_report.txt,stedgeai/models/lfp_t6plain_dst_s0/generate.log
LFP,T6PLAIN,DST,1,lfp_t6plain_dst_s1,PASS,none,fp32,stm32h5,time,lossless,5148250,403476,54784,0,0,0,0,1800,stedgeai/models/lfp_t6plain_dst_s1/output/cema_generate_report.txt,stedgeai/models/lfp_t6plain_dst_s1/generate.log
LFP,T6PLAIN,DST,2,lfp_t6plain_dst_s2,PASS,none,fp32,stm32h5,time,lossless,5148250,403476,54784,0,0,0,0,1800,stedgeai/models/lfp_t6plain_dst_s2/output/cema_generate_report.txt,stedgeai/models/lfp_t6plain_dst_s2/generate.log
LFP,T6PLAIN,FUDS,0,lfp_t6plain_fuds_s0,PASS,none,fp32,stm32h5,time,lossless,5148250,403476,54784,0,0,0,0,1800,stedgeai/models/lfp_t6plain_fuds_s0/output/cema_generate_report.txt,stedgeai/models/lfp_t6plain_fuds_s0/generate.log
LFP,T6PLAIN,FUDS,1,lfp_t6plain_fuds_s1,PASS,none,fp32,stm32h5,time,lossless,5148250,403476,54784,0,0,0,0,1800,stedgeai/models/lfp_t6plain_fuds_s1/output/cema_generate_report.txt,stedgeai/models/lfp_t6plain_fuds_s1/generate.log
LFP,T6PLAIN,FUDS,2,lfp_t6plain_fuds_s2,PASS,none,fp32,stm32h5,time,lossless,5148250,403476,54784,0,0,0,0,1800,stedgeai/models/lfp_t6plain_fuds_s2/output/cema_generate_report.txt,stedgeai/models/lfp_t6plain_fuds_s2/generate.log
LFP,T6PLAIN,US06,0,lfp_t6plain_us06_s0,PASS,none,fp32,stm32h5,time,lossless,5148250,403476,54784,0,0,0,0,1800,stedgeai/models/lfp_t6plain_us06_s0/output/cema_generate_report.txt,stedgeai/models/lfp_t6plain_us06_s0/generate.log
LFP,T6PLAIN,US06,1,lfp_t6plain_us06_s1,PASS,none,fp32,stm32h5,time,lossless,5148250,403476,54784,0,0,0,0,1800,stedgeai/models/lfp_t6plain_us06_s1/output/cema_generate_report.txt,stedgeai/models/lfp_t6plain_us06_s1/generate.log
LFP,T6PLAIN,US06,2,lfp_t6plain_us06_s2,PASS,none,fp32,stm32h5,time,lossless,5148250,403476,54784,0,0,0,0,1800,stedgeai/models/lfp_t6plain_us06_s2/output/cema_generate_report.txt,stedgeai/models/lfp_t6plain_us06_s2/generate.log
