feature,fold,seed,temp,reset_trial,reset_index,time_to_recover_within_1pct_s,recovered,observation_horizon_s
T6_plain,DST,0,-10.0,0,1252,2252.303443999999,True,4042.141624
T6_plain,DST,0,-10.0,1,1633,1866.0592300000008,True,3659.9274100000002
T6_plain,DST,0,-10.0,2,2760,54.15162999999984,True,2529.67128
T6_plain,DST,0,-10.0,3,3121,369.81083999999964,True,2167.69908
T6_plain,DST,0,-10.0,4,4647,283.7433200000005,True,637.5756700000002
T6_plain,DST,0,0.0,0,1499,2379.1717090000006,True,5234.889372000001
T6_plain,DST,0,0.0,1,2442,2157.0330989999984,True,4288.752458999999
T6_plain,DST,0,0.0,2,3298,936.0717769999987,True,3430.8539269999997
T6_plain,DST,0,0.0,3,4566,1447.0805,True,2158.8666699999994
T6_plain,DST,0,0.0,4,5069,582.1409899999999,True,1654.9745600000006
T6_plain,DST,0,10.0,0,1250,2964.4226820000003,True,5845.362969
T6_plain,DST,0,10.0,1,2134,2104.76022,True,4958.551092
T6_plain,DST,0,10.0,2,3187,2102.8234509999997,True,3902.6457809999997
T6_plain,DST,0,10.0,3,4948,1447.0139899999995,True,2136.7106999999996
T6_plain,DST,0,10.0,4,5575,812.4490000000005,True,1508.1848800000007
T6_plain,DST,0,20.0,0,731,3513.911682,True,6589.081189999998
T6_plain,DST,0,20.0,1,1908,2694.3893180000005,True,5408.498726999998
T6_plain,DST,0,20.0,2,4015,1033.7524190000004,True,3294.7940249999983
T6_plain,DST,0,20.0,3,4949,1492.4161460000005,True,2358.3545859999986
T6_plain,DST,0,20.0,4,5731,634.8492100000003,True,1575.0219999999981
T6_plain,DST,0,25.0,0,1348,3254.0472440000012,True,6035.080707999999
T6_plain,DST,0,25.0,1,2252,2347.9214850000008,True,5128.954948999998
T6_plain,DST,0,25.0,2,3970,49.201476999998704,True,3406.3039149999977
T6_plain,DST,0,25.0,3,4295,300.6525500000007,True,3079.681672999998
T6_plain,DST,0,25.0,4,5535,594.421800000001,True,1836.660789999999
T6_plain,DST,0,30.0,0,1155,3058.809617,True,6301.794534999999
T6_plain,DST,0,30.0,1,3084,1514.3354390000009,True,4367.160707999999
T6_plain,DST,0,30.0,2,3470,1217.964194000001,True,3980.0261409999994
T6_plain,DST,0,30.0,3,5241,435.3869960000011,True,2204.160005999999
T6_plain,DST,0,30.0,4,6092,347.04913999999917,True,1350.5837599999986
