feature,fold,seed,perturbation_type,level,temp,soc_band,mae,rmse,bias
T6_plain,DST,0,baseline,unperturbed,-10.0,35-65,1.0374118304405875,1.2989302228611472,0.21811410547396523
T6_plain,DST,0,baseline,unperturbed,-10.0,<=35,1.1255567305555556,1.490500510902571,1.0789709638888891
T6_plain,DST,0,baseline,unperturbed,-10.0,>65,0.6867619996194825,0.8413430187758764,-0.625938847412481
T6_plain,DST,0,baseline,unperturbed,0.0,35-65,0.5986201968014214,0.7334188495258611,0.06295933496223896
T6_plain,DST,0,baseline,unperturbed,0.0,<=35,0.48221693071786315,0.650039202055572,0.20678764691151919
T6_plain,DST,0,baseline,unperturbed,0.0,>65,0.6153852756385817,0.7436038415235896,-0.5503407990850172
T6_plain,DST,0,baseline,unperturbed,10.0,35-65,0.3767406326438849,0.462262053063335,-0.022751987859712223
T6_plain,DST,0,baseline,unperturbed,10.0,<=35,0.3724568507844016,0.4946142311780698,0.2929475080681309
T6_plain,DST,0,baseline,unperturbed,10.0,>65,0.5153012849378883,0.6330168563788802,-0.4619812461180124
T6_plain,DST,0,baseline,unperturbed,20.0,35-65,0.22433184137622866,0.2996008893066842,-0.0051497913315460995
T6_plain,DST,0,baseline,unperturbed,20.0,<=35,0.36606624297138046,0.45252998669955513,0.12639170795454543
T6_plain,DST,0,baseline,unperturbed,20.0,>65,0.5149582738636364,0.664912726423435,-0.4634557215909091
T6_plain,DST,0,baseline,unperturbed,25.0,35-65,0.19841677802590443,0.26909294581560395,0.06727083072800355
T6_plain,DST,0,baseline,unperturbed,25.0,<=35,0.3188080657248158,0.38303778024210383,0.2620853967649468
T6_plain,DST,0,baseline,unperturbed,25.0,>65,0.4193941046247156,0.5696892430584709,-0.2587514131918118
T6_plain,DST,0,baseline,unperturbed,30.0,35-65,0.23820809206349206,0.32971171856777903,0.1444138671201814
T6_plain,DST,0,baseline,unperturbed,30.0,<=35,0.3883791685429142,0.4530980892888869,0.2763376422355289
T6_plain,DST,0,baseline,unperturbed,30.0,>65,0.46482586572174567,0.6134959670998973,-0.28663013875419613
T6_plain,DST,0,baseline,unperturbed,40.0,35-65,0.43013017290145994,0.5410525016570092,0.40670614461678833
T6_plain,DST,0,baseline,unperturbed,40.0,<=35,0.45846136308858737,0.5459365257856093,0.41374959836392666
T6_plain,DST,0,baseline,unperturbed,40.0,>65,0.49942869544275653,0.6440767379396294,-0.23811884809188588
T6_plain,DST,0,baseline,unperturbed,50.0,35-65,0.46927512368781393,0.607753089826413,0.42276766316750347
T6_plain,DST,0,baseline,unperturbed,50.0,<=35,0.483645268821896,0.5729198690982922,0.4352289333201111
T6_plain,DST,0,baseline,unperturbed,50.0,>65,0.5066096207917129,0.6563993604934439,-0.25296717240103583
T6_plain,DST,0,current_noise,I_sigma_0.5_pct_reading,-10.0,35-65,1.0388104712202328,1.299536845119971,0.21178939031923577
T6_plain,DST,0,current_noise,I_sigma_0.5_pct_reading,-10.0,<=35,1.1270049899829016,1.4927003595754722,1.0806594048298588
T6_plain,DST,0,current_noise,I_sigma_0.5_pct_reading,-10.0,>65,0.6881476138537354,0.8434490006564631,-0.6283975187357899
T6_plain,DST,0,current_noise,I_sigma_0.5_pct_reading,0.0,35-65,0.5985907122613586,0.7331614424778446,0.06187142639506321
T6_plain,DST,0,current_noise,I_sigma_0.5_pct_reading,0.0,<=35,0.48311356836176333,0.6516203644036627,0.20906689540242235
T6_plain,DST,0,current_noise,I_sigma_0.5_pct_reading,0.0,>65,0.6148273934291191,0.7430014611624074,-0.5498817991254047
T6_plain,DST,0,current_noise,I_sigma_0.5_pct_reading,10.0,35-65,0.37860606984951284,0.46484748207983817,-0.02428608028371152
