perturbation_type,level,feature,mae,baseline_mae,delta_mae
current_noise,I_sigma_0.5_pct_reading,T6_plain,0.6495198174963975,0.6497338594679186,-0.00021404197152110065
current_noise,I_sigma_1_pct_reading,T6_plain,0.6497160826125571,0.6497338594679186,-1.7776855361654147e-05
current_noise,I_sigma_2_pct_reading,T6_plain,0.6532559221031471,0.6497338594679186,0.003522062635228429
voltage_noise,V_sigma_10_mV,T6_plain,0.6705924477684588,0.6497338594679186,0.020858588300540153
voltage_noise,V_sigma_1_mV,T6_plain,0.6501009391654636,0.6497338594679186,0.0003670796975450204
voltage_noise,V_sigma_2_mV,T6_plain,0.6515346650056456,0.6497338594679186,0.0018008055377269035
voltage_noise,V_sigma_5_mV,T6_plain,0.6533450200626026,0.6497338594679186,0.003611160594683907
current_bias,I_bias_+10_mA,T6_plain,0.9371319451433558,0.6497338594679186,0.28739808567543723
current_bias,I_bias_+20_mA,T6_plain,1.4870269603413382,0.6497338594679186,0.8372931008734197
current_bias,I_bias_-10_mA,T6_plain,0.9021115626693872,0.6497338594679186,0.25237770320146846
current_bias,I_bias_-20_mA,T6_plain,1.4124853721043606,0.6497338594679186,0.762751512636442
voltage_bias,V_bias_+10_mV,T6_plain,3.9536123928271163,0.6497338594679186,3.303878533359198
voltage_bias,V_bias_+1_mV,T6_plain,0.7640827935464226,0.6497338594679186,0.11434893407850391
voltage_bias,V_bias_+2_mV,T6_plain,1.0174282740657699,0.6497338594679186,0.367694414597851
voltage_bias,V_bias_+5_mV,T6_plain,2.0446308555284722,0.6497338594679186,1.3948969960605537
voltage_bias,V_bias_-10_mV,T6_plain,3.9690041265382336,0.6497338594679186,3.3192702670703147
voltage_bias,V_bias_-1_mV,T6_plain,0.7735371347258019,0.6497338594679186,0.12380327525788319
voltage_bias,V_bias_-2_mV,T6_plain,1.05911287366431,0.6497338594679186,0.4093790141963914
voltage_bias,V_bias_-5_mV,T6_plain,2.112819886904119,0.6497338594679186,1.4630860274362003
r0_scale,r0_scale_0.5,T6_plain,14.614931732252499,0.6497338594679186,13.965197872784582
r0_scale,r0_scale_0.8,T6_plain,6.507082238960366,0.6497338594679186,5.857348379492447
r0_scale,r0_scale_1.2,T6_plain,6.652876559725827,0.6497338594679186,6.003142700257907
r0_scale,r0_scale_1.5,T6_plain,15.888720344557308,0.6497338594679186,15.23898648508939
r0_scale,r0_scale_2,T6_plain,28.142464387203844,0.6497338594679186,27.492730527735926
