feature,fold,seed,perturbation_type,level,temp,soc_band,mae,rmse,bias
T6_plain,DST,0,baseline,unperturbed,0.0,35-65,0.34647070181526957,0.484240958798034,0.3338220258942872
T6_plain,DST,0,baseline,unperturbed,0.0,<=35,0.41928919529595016,0.5435529843857886,0.3009451876947041
T6_plain,DST,0,baseline,unperturbed,0.0,>65,0.21811688778747024,0.2852743641410487,0.1542707212529738
T6_plain,DST,0,baseline,unperturbed,25.0,35-65,0.1980647168492193,0.25079170282442537,0.007780352365415897
T6_plain,DST,0,baseline,unperturbed,25.0,<=35,0.41478070882516704,0.4739147013368378,-0.36100605737750546
T6_plain,DST,0,baseline,unperturbed,25.0,>65,0.20503477835626624,0.2610539403466751,-0.034685798066195615
T6_plain,DST,0,baseline,unperturbed,45.0,35-65,0.2543994198640116,0.29122093778856284,0.2520186044196212
T6_plain,DST,0,baseline,unperturbed,45.0,<=35,0.32424839959395446,0.376453606047212,0.3222833485675615
T6_plain,DST,0,baseline,unperturbed,45.0,>65,0.2606330162721893,0.27585256808320874,0.2589543387573964
T6_plain,DST,0,cold_start_time_since_reset,1800-3600_s,0.0,35-65,0.4734344684582258,0.5825389832949589,-0.277304253079098
T6_plain,DST,0,cold_start_time_since_reset,1800-3600_s,0.0,<=35,0.31426534127342615,0.3974925746106839,0.00977430621384071
T6_plain,DST,0,cold_start_time_since_reset,1800-3600_s,25.0,35-65,0.26186440777390196,0.31861655079082185,-0.18122111028316937
T6_plain,DST,0,cold_start_time_since_reset,1800-3600_s,25.0,<=35,0.5656892444447017,0.6312552476610405,-0.5442254423977935
T6_plain,DST,0,cold_start_time_since_reset,1800-3600_s,45.0,35-65,0.12654900692240892,0.16623629649702737,0.01627723088726794
T6_plain,DST,0,cold_start_time_since_reset,1800-3600_s,45.0,<=35,0.23459707235853305,0.30541231183984247,0.09640789023446936
T6_plain,DST,0,cold_start_time_since_reset,300-900_s,0.0,35-65,2.2057111091767014,2.4040214837338394,-2.2057111091767014
T6_plain,DST,0,cold_start_time_since_reset,300-900_s,0.0,<=35,4.126865712233403,4.26924440541139,-4.126865712233403
