feature,fold,seed,perturbation_type,level,temp,soc_band,mae,rmse,bias
T6_plain,DST,0,baseline,unperturbed,0.0,35-65,0.34647070181526957,0.484240958798034,0.3338220258942872
T6_plain,DST,0,baseline,unperturbed,0.0,<=35,0.41928919529595016,0.5435529843857886,0.3009451876947041
T6_plain,DST,0,baseline,unperturbed,0.0,>65,0.21811688778747024,0.2852743641410487,0.1542707212529738
T6_plain,DST,0,baseline,unperturbed,25.0,35-65,0.1980647168492193,0.25079170282442537,0.007780352365415897
T6_plain,DST,0,baseline,unperturbed,25.0,<=35,0.41478070882516704,0.4739147013368378,-0.36100605737750546
T6_plain,DST,0,baseline,unperturbed,25.0,>65,0.20503477835626624,0.2610539403466751,-0.034685798066195615
T6_plain,DST,0,baseline,unperturbed,45.0,35-65,0.2543994198640116,0.29122093778856284,0.2520186044196212
T6_plain,DST,0,baseline,unperturbed,45.0,<=35,0.32424839959395446,0.376453606047212,0.3222833485675615
T6_plain,DST,0,baseline,unperturbed,45.0,>65,0.2606330162721893,0.27585256808320874,0.2589543387573964
T6_plain,DST,0,r0_scale,r0_scale_0.5,0.0,35-65,4.462936604063054,4.708882688558996,-4.462936604063054
T6_plain,DST,0,r0_scale,r0_scale_0.5,0.0,<=35,4.076122821910511,4.452439567331546,-4.076062718913451
T6_plain,DST,0,r0_scale,r0_scale_0.5,0.0,>65,2.0972259856985094,2.388911010332134,-2.0964980136625573
T6_plain,DST,0,r0_scale,r0_scale_0.5,25.0,35-65,3.8772692783587175,4.116633141392839,-3.8772692783587175
T6_plain,DST,0,r0_scale,r0_scale_0.5,25.0,<=35,3.402880986809822,3.6058460753015398,-3.402596688089585
T6_plain,DST,0,r0_scale,r0_scale_0.5,25.0,>65,1.600592217668845,1.715487579379923,-1.5926511851223528
T6_plain,DST,0,r0_scale,r0_scale_0.5,45.0,35-65,3.966575236499395,4.2357696857861855,-3.966575236499395
T6_plain,DST,0,r0_scale,r0_scale_0.5,45.0,<=35,2.5849855572733587,2.994485022455598,-2.5375487104778305
