feature,fold,seed,perturbation_type,level,temp,soc_band,mae,rmse,bias
T6_plain,DST,0,baseline,unperturbed,0.0,35-65,0.34647070181526957,0.484240958798034,0.3338220258942872
T6_plain,DST,0,baseline,unperturbed,0.0,<=35,0.41928919529595016,0.5435529843857886,0.3009451876947041
T6_plain,DST,0,baseline,unperturbed,0.0,>65,0.21811688778747024,0.2852743641410487,0.1542707212529738
T6_plain,DST,0,baseline,unperturbed,25.0,35-65,0.1980647168492193,0.25079170282442537,0.007780352365415897
T6_plain,DST,0,baseline,unperturbed,25.0,<=35,0.41478070882516704,0.4739147013368378,-0.36100605737750546
T6_plain,DST,0,baseline,unperturbed,25.0,>65,0.20503477835626624,0.2610539403466751,-0.034685798066195615
T6_plain,DST,0,baseline,unperturbed,45.0,35-65,0.2543994198640116,0.29122093778856284,0.2520186044196212
T6_plain,DST,0,baseline,unperturbed,45.0,<=35,0.32424839959395446,0.376453606047212,0.3222833485675615
T6_plain,DST,0,baseline,unperturbed,45.0,>65,0.2606330162721893,0.27585256808320874,0.2589543387573964
T6_plain,DST,0,current_bias,I_bias_+10_mA,0.0,35-65,0.2600968635361137,0.375209744774301,0.15867094484869756
T6_plain,DST,0,current_bias,I_bias_+10_mA,0.0,<=35,0.33711576484840267,0.45151655521182543,0.11450015033750933
T6_plain,DST,0,current_bias,I_bias_+10_mA,0.0,>65,0.21505126585313147,0.2564907344310971,0.05990402819090922
T6_plain,DST,0,current_bias,I_bias_+10_mA,25.0,35-65,0.22924380930811625,0.28865165495254147,-0.13135627911756917
T6_plain,DST,0,current_bias,I_bias_+10_mA,25.0,<=35,0.5123934467524593,0.5693890905254239,-0.4869005705438309
T6_plain,DST,0,current_bias,I_bias_+10_mA,25.0,>65,0.22763059590527407,0.2811306601210862,-0.101168064574696
T6_plain,DST,0,current_bias,I_bias_+10_mA,45.0,35-65,0.14589189734805103,0.18886207039767341,0.10192369207993222
T6_plain,DST,0,current_bias,I_bias_+10_mA,45.0,<=35,0.215838193942416,0.2816537364658597,0.20292990628380103
