feature,fold,seed,perturbation_type,level,temp,soc_band,mae,rmse,bias
T6_plain,DST,0,baseline,unperturbed,0.0,35-65,0.34647070181526957,0.484240958798034,0.3338220258942872
T6_plain,DST,0,baseline,unperturbed,0.0,<=35,0.41928919529595016,0.5435529843857886,0.3009451876947041
T6_plain,DST,0,baseline,unperturbed,0.0,>65,0.21811688778747024,0.2852743641410487,0.1542707212529738
T6_plain,DST,0,baseline,unperturbed,25.0,35-65,0.1980647168492193,0.25079170282442537,0.007780352365415897
T6_plain,DST,0,baseline,unperturbed,25.0,<=35,0.41478070882516704,0.4739147013368378,-0.36100605737750546
T6_plain,DST,0,baseline,unperturbed,25.0,>65,0.20503477835626624,0.2610539403466751,-0.034685798066195615
T6_plain,DST,0,baseline,unperturbed,45.0,35-65,0.2543994198640116,0.29122093778856284,0.2520186044196212
T6_plain,DST,0,baseline,unperturbed,45.0,<=35,0.32424839959395446,0.376453606047212,0.3222833485675615
T6_plain,DST,0,baseline,unperturbed,45.0,>65,0.2606330162721893,0.27585256808320874,0.2589543387573964
T6_plain,DST,0,current_noise,I_sigma_0.5_pct_reading,0.0,35-65,0.34752781416365947,0.4852785721128308,0.335278903740268
T6_plain,DST,0,current_noise,I_sigma_0.5_pct_reading,0.0,<=35,0.4196474718138575,0.544076448374735,0.3017902806966232
T6_plain,DST,0,current_noise,I_sigma_0.5_pct_reading,0.0,>65,0.2183916856881629,0.2858525555403694,0.15499565009125138
T6_plain,DST,0,current_noise,I_sigma_0.5_pct_reading,25.0,35-65,0.19825606487030584,0.2508992422283534,0.00741712776691456
T6_plain,DST,0,current_noise,I_sigma_0.5_pct_reading,25.0,<=35,0.4151731940316225,0.4742147192135252,-0.3615746908989435
T6_plain,DST,0,current_noise,I_sigma_0.5_pct_reading,25.0,>65,0.20503567062271427,0.26098041528212046,-0.034700331751876326
T6_plain,DST,0,current_noise,I_sigma_0.5_pct_reading,45.0,35-65,0.25403088689850517,0.2908882235703454,0.25161646246369823
T6_plain,DST,0,current_noise,I_sigma_0.5_pct_reading,45.0,<=35,0.3237301704947674,0.37591129771844484,0.32177164696799326
