chemistry,feature,fold,seed,temperature_C,samples_compared,reevaluated_mae_pct,locked_mae_pct,abs_mae_delta_pct,max_abs_prediction_delta_fraction,deterministic_bit_identical,atol,passed,package_path,locked_prediction_path
LFP,T6,DST,0,-10.0,5235,0.8674451476815763,0.8674451463228271,1.3587492242450594e-09,2.9789733901885995e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/DST/0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutdst_s0123456789_b2048_e200_seed0_sel200_condinv_trainDST25_selected_seed0_ep200_base_test_prediction_rows.csv.gz
LFP,T6,DST,0,0.0,6671,0.5738560219339232,0.5738560134162793,8.517643812488984e-09,2.9723358108135756e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/DST/0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutdst_s0123456789_b2048_e200_seed0_sel200_condinv_trainDST25_selected_seed0_ep200_base_test_prediction_rows.csv.gz
LFP,T6,DST,0,10.0,7031,0.4261468621479517,0.4261468512444886,1.0903463132372337e-08,2.978439328504834e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/DST/0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutdst_s0123456789_b2048_e200_seed0_sel200_condinv_trainDST25_selected_seed0_ep200_base_test_prediction_rows.csv.gz
LFP,T6,DST,0,20.0,7254,0.37652574951885637,0.37652576472291144,1.5204055070494604e-08,2.980117796980153e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/DST/0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutdst_s0123456789_b2048_e200_seed0_sel200_condinv_trainDST25_selected_seed0_ep200_base_test_prediction_rows.csv.gz
LFP,T6,DST,0,25.0,7319,0.31823281961594846,0.31823283378876893,1.417282047277979e-08,2.9798889134013962e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/DST/0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutdst_s0123456789_b2048_e200_seed0_sel200_condinv_trainDST25_selected_seed0_ep200_base_test_prediction_rows.csv.gz
LFP,T6,DST,0,30.0,7391,0.371307929852832,0.3713079158706535,1.3982178526106281e-08,2.9798889134013962e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/DST/0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutdst_s0123456789_b2048_e200_seed0_sel200_condinv_trainDST25_selected_seed0_ep200_base_test_prediction_rows.csv.gz
LFP,T6,DST,0,40.0,7397,0.46501385920643645,0.4650138656076788,6.401242369502569e-09,2.9792022737673562e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/DST/0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutdst_s0123456789_b2048_e200_seed0_sel200_condinv_trainDST25_selected_seed0_ep200_base_test_prediction_rows.csv.gz
LFP,T6,DST,0,50.0,7415,0.4877703548161899,0.4877703740660823,1.924989240231767e-08,2.977828983397046e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/DST/0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutdst_s0123456789_b2048_e200_seed0_sel200_condinv_trainDST25_selected_seed0_ep200_base_test_prediction_rows.csv.gz
LFP,T6,DST,1,-10.0,5235,0.8432175123863245,0.8432175316141356,1.922781112106975e-08,2.9797363243488917e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/DST/1,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutdst_s0123456789_b2048_e200_seed1_sel200_condinv_trainDST25_selected_seed1_ep200_base_test_prediction_rows.csv.gz
LFP,T6,DST,1,0.0,6671,0.5583492897501531,0.5583493044521062,1.4701953099383047e-08,2.979507440770135e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/DST/1,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutdst_s0123456789_b2048_e200_seed1_sel200_condinv_trainDST25_selected_seed1_ep200_base_test_prediction_rows.csv.gz
