feature,gap,mean_core4_minus_all8_MAE_pct,median_core4_minus_all8_MAE_pct,n_matched_rows
G0,0_to_25_gap,0.10856542850148647,0.06484484798346202,18
G0,25_to_50_gap,0.022487194569921605,-0.011267902202575009,18
G0,seen_temperature,0.012288942957892478,-0.05755513604474716,36
G4,0_to_25_gap,0.26375348821645705,0.21745179559571645,18
G4,25_to_50_gap,0.08801853965079855,0.10351293938247286,18
G4,seen_temperature,0.04748269018518381,0.07129748556056292,36
T6,0_to_25_gap,0.34176659847059887,0.3405548813496402,18
T6,25_to_50_gap,0.12248298941687527,0.13763107676319103,18
T6,seen_temperature,0.05008565451738419,0.046144352154510404,36
T7,0_to_25_gap,0.3859208739538936,0.3808407134988412,18
T7,25_to_50_gap,0.2514369504833249,0.25081882205136435,18
T7,seen_temperature,0.17137305380836912,0.16111141272825846,36
