fold,selected,order,temperature_C,bounds_name,fit_profiles,validation_profile,validation_voltage_rmse_V
US06,True,1,0.0,conservative,FUDS,DST,0.02910640283672675
US06,True,1,0.0,conservative,DST,FUDS,0.02538667075341502
US06,True,1,0.0,conservative,CV_MEAN,CV_MEAN,0.027246536795070886
US06,False,1,0.0,broad,FUDS,DST,0.029106430658860653
US06,False,1,0.0,broad,DST,FUDS,0.025386676312284476
US06,False,1,0.0,broad,CV_MEAN,CV_MEAN,0.027246553485572565
US06,False,2,0.0,conservative,FUDS,DST,0.029035445159789907
US06,False,2,0.0,conservative,DST,FUDS,0.025010426643265516
US06,False,2,0.0,conservative,CV_MEAN,CV_MEAN,0.02702293590152771
US06,True,2,0.0,broad,FUDS,DST,0.02902220374339996
US06,True,2,0.0,broad,DST,FUDS,0.025010409147501505
US06,True,2,0.0,broad,CV_MEAN,CV_MEAN,0.027016306445450732
US06,False,1,25.0,conservative,FUDS,DST,0.031197647524739216
US06,False,1,25.0,conservative,DST,FUDS,0.023963636258423404
US06,False,1,25.0,conservative,CV_MEAN,CV_MEAN,0.027580641891581312
US06,True,1,25.0,broad,FUDS,DST,0.031197652925846697
US06,True,1,25.0,broad,DST,FUDS,0.023963627538174073
US06,True,1,25.0,broad,CV_MEAN,CV_MEAN,0.027580640232010387
US06,True,2,25.0,conservative,FUDS,DST,0.030885572981556197
US06,True,2,25.0,conservative,DST,FUDS,0.023661672400655556
US06,True,2,25.0,conservative,CV_MEAN,CV_MEAN,0.027273622691105878
US06,False,2,25.0,broad,FUDS,DST,0.030885574906282198
US06,False,2,25.0,broad,DST,FUDS,0.023661672358672732
US06,False,2,25.0,broad,CV_MEAN,CV_MEAN,0.027273623632477463
US06,False,1,45.0,conservative,FUDS,DST,0.03350396146341208
US06,False,1,45.0,conservative,DST,FUDS,0.04661044473745888
US06,False,1,45.0,conservative,CV_MEAN,CV_MEAN,0.04005720310043548
US06,True,1,45.0,broad,FUDS,DST,0.03350395933812426
US06,True,1,45.0,broad,DST,FUDS,0.04661043738884365
US06,True,1,45.0,broad,CV_MEAN,CV_MEAN,0.04005719836348395
US06,True,2,45.0,conservative,FUDS,DST,0.03350545359231847
US06,True,2,45.0,conservative,DST,FUDS,0.04660107761852134
US06,True,2,45.0,conservative,CV_MEAN,CV_MEAN,0.040053265605419906
US06,False,2,45.0,broad,FUDS,DST,0.03350345429314943
US06,False,2,45.0,broad,DST,FUDS,0.04660934876264878
US06,False,2,45.0,broad,CV_MEAN,CV_MEAN,0.040056401527899105
DST,True,1,0.0,conservative,US06,FUDS,0.025344802683819154
DST,True,1,0.0,conservative,FUDS,US06,0.0376151287565872
DST,True,1,0.0,conservative,CV_MEAN,CV_MEAN,0.031479965720203174
DST,False,1,0.0,broad,US06,FUDS,0.02534481681049328
DST,False,1,0.0,broad,FUDS,US06,0.03761511674994559
DST,False,1,0.0,broad,CV_MEAN,CV_MEAN,0.031479966780219436
DST,True,2,0.0,conservative,US06,FUDS,0.02486421852997284
DST,True,2,0.0,conservative,FUDS,US06,0.03719357658574063
DST,True,2,0.0,conservative,CV_MEAN,CV_MEAN,0.031028897557856733
DST,False,2,0.0,broad,US06,FUDS,0.02487754240870431
DST,False,2,0.0,broad,FUDS,US06,0.037184866684207
DST,False,2,0.0,broad,CV_MEAN,CV_MEAN,0.031031204546455655
DST,True,1,25.0,conservative,US06,FUDS,0.02903404700720706
DST,True,1,25.0,conservative,FUDS,US06,0.039958312020736984
DST,True,1,25.0,conservative,CV_MEAN,CV_MEAN,0.03449617951397202
DST,False,1,25.0,broad,US06,FUDS,0.029034186647254673
DST,False,1,25.0,broad,FUDS,US06,0.03995831587528149
DST,False,1,25.0,broad,CV_MEAN,CV_MEAN,0.03449625126126808
DST,False,2,25.0,conservative,US06,FUDS,0.029023023152459308
DST,False,2,25.0,conservative,FUDS,US06,0.040092000905681345
DST,False,2,25.0,conservative,CV_MEAN,CV_MEAN,0.03455751202907033
DST,True,2,25.0,broad,US06,FUDS,0.029022985265365096
DST,True,2,25.0,broad,FUDS,US06,0.04009199976544908
DST,True,2,25.0,broad,CV_MEAN,CV_MEAN,0.03455749251540709
DST,True,1,45.0,conservative,US06,FUDS,0.04676475328413308
DST,True,1,45.0,conservative,FUDS,US06,0.0426151847225961
DST,True,1,45.0,conservative,CV_MEAN,CV_MEAN,0.04468996900336459
DST,False,1,45.0,broad,US06,FUDS,0.04676476709368659
DST,False,1,45.0,broad,FUDS,US06,0.04261518300698194
DST,False,1,45.0,broad,CV_MEAN,CV_MEAN,0.044689975050334264
DST,True,2,45.0,conservative,US06,FUDS,0.04675568710587668
DST,True,2,45.0,conservative,FUDS,US06,0.042608372637167345
DST,True,2,45.0,conservative,CV_MEAN,CV_MEAN,0.04468202987152201
DST,False,2,45.0,broad,US06,FUDS,0.04676285119684528
DST,False,2,45.0,broad,FUDS,US06,0.04261432301028859
DST,False,2,45.0,broad,CV_MEAN,CV_MEAN,0.044688587103566935
FUDS,False,1,0.0,conservative,US06,DST,0.028429574805441123
FUDS,False,1,0.0,conservative,DST,US06,0.03732382873846682
FUDS,False,1,0.0,conservative,CV_MEAN,CV_MEAN,0.03287670177195397
FUDS,True,1,0.0,broad,US06,DST,0.028429572805934247
FUDS,True,1,0.0,broad,DST,US06,0.03732380973340674
FUDS,True,1,0.0,broad,CV_MEAN,CV_MEAN,0.032876691269670494
