fold,train_profiles,order,temperature_C,R0_ohm,R1_ohm,tau1_s,R2_ohm,tau2_s,fit_bounds_name,fit_voltage_rmse_V,C1_F,C2_F
US06,DST+FUDS,1,0.0,0.10824456465268717,0.03649712139347545,32.13479285322672,0.0,1.0,conservative,0.027233051353931365,880.4747231098457,
US06,DST+FUDS,2,0.0,0.10366253710360496,0.007879390251199034,1.8764752422555178,0.03376003719631739,39.745724938732025,broad,0.02693392022258138,238.14980378335343,1177.3009818563696
US06,DST+FUDS,1,25.0,0.07560912973833953,0.03180165785486049,59.89277233851588,0.0,1.0,broad,0.02813252764525837,1883.3223290389565,
US06,DST+FUDS,2,25.0,0.07341094098812327,0.01249011666068769,13.642313204507214,0.023033450165506696,176.45596823054987,conservative,0.027837404463164656,1092.248661491372,7660.857012849866
US06,DST+FUDS,1,45.0,0.0755804254267245,0.004859119349782011,3.783169414831755,0.0,1.0,broad,0.04068150834384272,778.5710007311253,
US06,DST+FUDS,2,45.0,0.07553313548143391,0.004583287271590987,3.4938556900400517,0.0005000000000339515,30.000000000000153,conservative,0.040676845523167235,762.3034479414678,59999.999995926126
DST,FUDS+US06,1,0.0,0.10906880755572687,0.04088713668277212,32.040558640710074,0.0,1.0,conservative,0.03130970668300295,783.6341999025436,
DST,FUDS+US06,2,0.0,0.10442098239177618,0.009238824477283502,2.0000000000000404,0.03684405804099006,45.340419574378494,conservative,0.03089799333854442,216.47775698279113,1230.6033044442606
DST,FUDS+US06,1,25.0,0.07394930594874442,0.015892538841711323,18.01241096305303,0.0,1.0,conservative,0.03185082271433603,1133.3878836135307,
DST,FUDS+US06,2,25.0,0.07322423691655869,0.004785124814981212,5.69841825437242,0.012116759145025026,29.057305993091514,broad,0.03183706774670867,1190.8609440096275,2398.1087389214995
DST,FUDS+US06,1,45.0,0.07537687614963232,0.004516745259517642,3.4479382761312816,0.0,1.0,conservative,0.044569498798521685,763.3678850640999,
DST,FUDS+US06,2,45.0,0.07533311441359879,0.004237887358866718,3.193423121043792,0.0005000000002407553,30.0000000000003,conservative,0.04456137459408734,753.5412932489473,59999.99997110996
FUDS,DST+US06,1,0.0,0.11034840751415359,0.040170649499917055,35.12415779575162,0.0,1.0,broad,0.032804565669682095,874.3736592017051,
FUDS,DST+US06,2,0.0,0.10547524719180518,0.009034790073251477,2.0000000000000004,0.03652796862366751,44.14723858387893,conservative,0.03246877496321883,221.3665158553299,1208.5872893373732
FUDS,DST+US06,1,25.0,0.07468315788042207,0.016338156923819024,22.209579875632844,0.0,1.0,conservative,0.03612337403068661,1359.3687451522765,
FUDS,DST+US06,2,25.0,0.07357855256160896,0.004466571855530242,4.700926303789481,0.013304036176335729,32.42330859802863,broad,0.03610577114681867,1052.4685275059608,2437.103159393155
FUDS,DST+US06,1,45.0,0.07547810783858101,0.004251346361363353,2.892417718736471,0.0,1.0,conservative,0.037921555204508316,680.3533452421198,
FUDS,DST+US06,2,45.0,0.07542683245535695,0.004161756958646566,2.7860109597910436,0.0005000000000004154,3999.999999998332,conservative,0.03792673113121914,669.4314414499291,7999999.999990018
