fold,temperature_C,selected,method,order,noise_name,validation_profile,innovation_rmse_V,diverged,adaptive_beta
US06,0.0,False,1RC_EKF,1.0,qlow_rlow,DST,0.0175957615389229,False,
US06,0.0,False,1RC_EKF,1.0,qlow_rlow,FUDS,0.017869783726377618,False,
US06,0.0,False,1RC_EKF,1.0,qlow_rlow,CV_MEAN,0.01773277263265026,False,
US06,0.0,False,1RC_EKF,1.0,qlow_rmid,DST,0.014858537838887895,False,
US06,0.0,False,1RC_EKF,1.0,qlow_rmid,FUDS,0.01614519027967004,False,
US06,0.0,False,1RC_EKF,1.0,qlow_rmid,CV_MEAN,0.015501864059278968,False,
US06,0.0,False,1RC_EKF,1.0,qmid_rlow,DST,0.011000009030207236,False,
US06,0.0,False,1RC_EKF,1.0,qmid_rlow,FUDS,0.013182576767241478,False,
US06,0.0,False,1RC_EKF,1.0,qmid_rlow,CV_MEAN,0.012091292898724357,False,
US06,0.0,False,1RC_EKF,1.0,qmid_rmid,DST,0.009072563891247661,False,
US06,0.0,False,1RC_EKF,1.0,qmid_rmid,FUDS,0.011553976236259186,False,
US06,0.0,False,1RC_EKF,1.0,qmid_rmid,CV_MEAN,0.010313270063753424,False,
US06,0.0,False,1RC_EKF,1.0,qhigh_rmid,DST,0.008182637142152886,False,
US06,0.0,False,1RC_EKF,1.0,qhigh_rmid,FUDS,0.010647233345946748,False,
US06,0.0,False,1RC_EKF,1.0,qhigh_rmid,CV_MEAN,0.009414935244049818,False,
US06,0.0,True,1RC_EKF,1.0,qhigh_rhigh,DST,0.007634482664575871,False,
US06,0.0,True,1RC_EKF,1.0,qhigh_rhigh,FUDS,0.010008112221716419,False,
US06,0.0,True,1RC_EKF,1.0,qhigh_rhigh,CV_MEAN,0.008821297443146145,False,
US06,0.0,False,2RC_EKF,2.0,qlow_rlow,DST,0.016875703581076176,False,
US06,0.0,False,2RC_EKF,2.0,qlow_rlow,FUDS,0.016983669461252356,False,
US06,0.0,False,2RC_EKF,2.0,qlow_rlow,CV_MEAN,0.016929686521164264,False,
US06,0.0,False,2RC_EKF,2.0,qlow_rmid,DST,0.014198642172018085,False,
US06,0.0,False,2RC_EKF,2.0,qlow_rmid,FUDS,0.015116197641350105,False,
US06,0.0,False,2RC_EKF,2.0,qlow_rmid,CV_MEAN,0.014657419906684094,False,
US06,0.0,False,2RC_EKF,2.0,qmid_rlow,DST,0.010546517712686889,False,
US06,0.0,False,2RC_EKF,2.0,qmid_rlow,FUDS,0.01210117607378167,False,
US06,0.0,False,2RC_EKF,2.0,qmid_rlow,CV_MEAN,0.01132384689323428,False,
US06,0.0,False,2RC_EKF,2.0,qmid_rmid,DST,0.00879771906313366,False,
US06,0.0,False,2RC_EKF,2.0,qmid_rmid,FUDS,0.010561545038625065,False,
US06,0.0,False,2RC_EKF,2.0,qmid_rmid,CV_MEAN,0.009679632050879364,False,
US06,0.0,False,2RC_EKF,2.0,qhigh_rmid,DST,0.00783235938269807,False,
US06,0.0,False,2RC_EKF,2.0,qhigh_rmid,FUDS,0.01048384803241271,False,
